EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
54,0.41286384794447156,0.2839713667711356,0.34480896923277116,0.25617204012565326,1.0000021272235446,9.141894298151361e-07,1.0000020689434475,1.0840905842211674e-06
55,0.41700103680292766,0.2879746978916263,0.3355873465538025,0.26031655945520243,1.0000023550457424,1.0273882747536555e-06,1.000002415974935,9.782494345446115e-07
56,0.390026851495107,0.25735374611292594,0.32975456449720597,0.24002196581802454,1.0000021245744493,1.0726435401333553e-06,1.000002113978068,1.0498545795902485e-06
57,0.39141750203238596,0.2661500159955565,0.3391474299960666,0.26255967947058456,1.0000023815366956,1.1214287026505494e-06,1.0000020821889242,1.127201325379063e-06
58,0.3773902787102593,0.2532526797492361,0.3159310751491123,0.2270500619187105,1.0000024212731256,1.0629330630082645e-06,1.0000024318695069,1.0485629573977624e-06
59,0.4016467346085442,0.2536826646041745,0.3314392328262329,0.24350055356878458,1.0000024106767442,1.0400905599646216e-06,1.000002344449361,1.0091095071205934e-06
60,0.3970717403623793,0.24030064283254554,0.32636016607284546,0.23625252452151754,1.000002177556356,9.783021071239234e-07,1.0000023232565987,1.0711056132019296e-06
61,0.4087169117397732,0.281099265038519,0.3506080706914266,0.27481286496249285,1.0000019364886814,9.915747005198149e-07,1.0000020530488756,9.287006512425626e-07
62,0.3989478270212809,0.2603920884048757,0.3325135191281637,0.2527530718047145,1.0000019921196832,1.0557365737437704e-06,1.000002270274692,1.1348570479825956e-06
63,0.38575176265504624,0.24360351707631817,0.3202333476808336,0.2544895546208976,1.0000025007459852,1.0156088912313914e-06,1.0000025192896524,1.1461400318187272e-06
64,0.38929268783993193,0.23754554918445123,0.3258877303865221,0.23784757705772272,1.0000023603439332,9.215891135544941e-07,1.0000020768907336,8.61169510257135e-07
65,0.3967357410324944,0.22519958651667568,0.32853149705462986,0.23543304821786099,1.0000023497475519,1.1667594208173745e-06,1.0000020451015896,8.816644342691537e-07
66,0.4098555816544427,0.2704252936129651,0.34914178318447536,0.2807209987263658,1.0000020609961615,9.760248510051947e-07,1.0000020954344007,9.357908607869941e-07
67,0.38717730707592435,0.2564949678654368,0.3288249002562629,0.2482878372358885,1.0000021961000232,1.029877076049159e-06,1.0000019020504423,9.39083376666025e-07
68,0.40054128964742025,0.2586495397480964,0.32733218007617526,0.24539405414046947,1.0000023232565987,1.2692010786800463e-06,1.0000022358364529,9.764741483202446e-07
69,0.37052983707851833,0.2409685909542815,0.3162781463729011,0.22515792758186767,1.000002426571316,1.2231564772077532e-06,1.0000019947687784,1.0920091939129758e-06
70,0.41346395942899916,0.2504299584621123,0.3508563107914395,0.2588313771389107,1.0000022225909764,9.229506468193888e-07,1.0000022172927856,1.0729113326030273e-06
71,0.3883891132142809,0.2909824768468918,0.33108289771609833,0.25967745804340714,1.0000021431181165,8.32533896942671e-07,1.0000022066964043,1.1635984365985715e-06
