model,common_tail_length,mean_GR,std_GR,median_GR,n_runs
binary_base,0,3.1600351691246034,0.36797156659039276,3.039658546447754,20
binary_base,1,3.725043702125549,0.4459288004065515,3.651481032371521,20
binary_base,2,3.3754073858261107,0.19624089288552996,3.3500934839248657,20
binary_base,3,2.8198321580886843,0.37801052947445635,2.8089743852615356,20
binary_base,4,2.340385985374451,0.41726124717424806,2.2107369899749756,20
binary_base,5,1.9860671699047088,0.39927753479393113,1.839206039905548,20
binary_base,7,1.570100450515747,0.36947563909893005,1.4336758852005005,20
binary_base,10,1.2764663636684417,0.25472408693329607,1.1738906502723694,20
cel_randN,0,18.08991208076477,1.56049982848777,17.85435390472412,20
cel_randN,1,22.586082172393798,2.65401686427452,22.480636596679688,20
cel_randN,2,21.046931171417235,2.2497009163856934,20.784707069396973,20
cel_randN,3,18.225913047790527,1.9856846751662474,18.23414897918701,20
cel_randN,4,15.471162509918212,1.797127666033554,15.643718242645264,20
cel_randN,5,13.117594337463379,1.5988077424003984,13.432610034942627,20
cel_randN,7,9.965136837959289,1.373043297073426,9.783082008361816,20
cel_randN,10,7.43568229675293,1.623534717091643,7.435338020324707,20
er_randN,0,22.811565017700197,1.3417713864952934,23.062840461730957,20
er_randN,1,28.20372076034546,3.1682156690190215,29.032804489135742,20
er_randN,2,26.74467248916626,1.9798153889224557,27.155492782592773,20
er_randN,3,24.07248659133911,1.7818549695417298,24.104808807373047,20
er_randN,4,21.30658941268921,1.7736151854619921,21.5352783203125,20
er_randN,5,18.677546787261964,1.6372090445358822,18.700840950012207,20
er_randN,7,14.783693885803222,1.5779225641469237,15.037417888641357,20
er_randN,10,11.11845006942749,1.7066386477330633,11.111921787261963,20
global_sign_pres,0,5.595451378822327,0.6526545635566535,5.553210496902466,20
global_sign_pres,1,6.721251463890075,0.9067834623593011,6.790493726730347,20
global_sign_pres,2,5.921879386901855,0.5616007334942403,5.9260077476501465,20
global_sign_pres,3,4.941249024868012,0.700721562999275,4.8930792808532715,20
global_sign_pres,4,4.107167077064514,0.8423050774545232,3.932502508163452,20
global_sign_pres,5,3.447079968452454,0.8948796430402103,3.3954848051071167,20
global_sign_pres,7,2.5237026870250703,0.9047759205407021,2.119149684906006,20
global_sign_pres,10,1.781992894411087,0.6694663651287904,1.4269821047782898,20
global_sign_pres_real_weight,0,9.188736867904662,2.417196723073645,8.612238883972168,20
global_sign_pres_real_weight,1,11.748077058792115,3.0058651636540796,11.037065029144287,20
global_sign_pres_real_weight,2,10.31344132423401,2.380623736417474,9.810309410095215,20
global_sign_pres_real_weight,3,8.226970434188843,2.054316683062581,7.770222187042236,20
global_sign_pres_real_weight,4,6.411361420154572,1.7155709359361573,5.9306111335754395,20
global_sign_pres_real_weight,5,5.166252446174622,1.5234230131401187,4.68276309967041,20
global_sign_pres_real_weight,7,3.5800877511501312,1.192382370649265,3.508068323135376,20
global_sign_pres_real_weight,10,2.3427967727184296,0.784896185777146,2.26021146774292,20
local_sign,0,12.555989933013915,2.9966062968153233,11.477056980133057,20
local_sign,1,15.071276426315308,3.0997847205235454,14.441624641418457,20
local_sign,2,13.231840515136719,3.1511552819106683,12.161664485931396,20
local_sign,3,10.711930274963379,2.8325732023366,10.074918746948242,20
local_sign,4,8.680450630187988,2.5538351275207214,7.666156530380249,20
local_sign,5,7.132068181037903,2.3639727838504085,6.234142303466797,20
local_sign,7,5.019679999351501,1.984800366986144,4.481441020965576,20
local_sign,10,3.329363089799881,1.4560351988724891,3.16955029964447,20
local_sign+binary,0,8.703169775009155,1.6543090381366214,8.462021350860596,20
local_sign+binary,1,10.36483063697815,1.9369451419434962,10.264832019805908,20
local_sign+binary,2,8.633292150497436,1.3577273967840076,8.669124126434326,20
local_sign+binary,3,6.689906072616577,1.0422527797742278,6.437286853790283,20
local_sign+binary,4,5.251304852962494,0.9256104035961006,5.258520603179932,20
local_sign+binary,5,4.253223264217377,0.8518778677469133,4.171792149543762,20
local_sign+binary,7,2.9765541315078736,0.7854566617936153,2.6338958740234375,20
local_sign+binary,10,2.005378359556198,0.5378604024999756,1.763602077960968,20
local_sign+flat,0,10.657996249198913,2.007437060075525,10.347073078155518,20
local_sign+flat,1,12.920906734466552,2.753389019466232,12.203481197357178,20
local_sign+flat,2,11.084880208969116,2.000594224675004,10.434659957885742,20
local_sign+flat,3,8.721739363670348,1.432742416976105,8.578588008880615,20
local_sign+flat,4,6.914274406433106,1.2799203978156528,7.119314670562744,20
local_sign+flat,5,5.584658455848694,1.2135324986456997,5.583219528198242,20
local_sign+flat,7,3.8237154722213744,1.1106320200510036,3.55486261844635,20
local_sign+flat,10,2.4754474341869352,0.8579317312907323,2.213813066482544,20
real,0,5.9721115827560425,0.7047483514146281,5.652881622314453,20
real,1,7.865886569023132,1.3801507014554348,7.8547656536102295,20
real,2,7.0797300100326535,0.8922120190595317,7.083276271820068,20
real,3,5.964243865013122,0.740313521882999,6.037921905517578,20
real,4,5.13476300239563,0.6104652528154949,5.007962703704834,20
real,5,4.495218563079834,0.4641661066662362,4.493703842163086,20
real,7,3.6809384703636168,0.38941461039460296,3.522299647331238,20
real,10,2.950968837738037,0.36801138380342335,2.9893887042999268,20
ws_p01_randN,0,23.881725883483888,1.8475327764625953,24.004643440246582,20
ws_p01_randN,1,29.472301483154297,3.3238635815104494,30.23150634765625,20
ws_p01_randN,2,28.243167304992674,2.759243910956641,28.23386859893799,20
ws_p01_randN,3,25.06065559387207,2.4060521259150143,24.415449142456055,20
ws_p01_randN,4,21.86437177658081,2.2988795393968418,21.70612335205078,20
ws_p01_randN,5,19.251513528823853,2.219561357683635,19.254385948181152,20
ws_p01_randN,7,15.298327159881591,2.238169610902686,15.043670654296875,20
ws_p01_randN,10,11.512508010864257,2.0630574571574805,11.20325231552124,20
