common_tail_length,reference_tail_length,pearson_model_means_vs_reference,spearman_model_means_vs_reference,n_models
0,3,0.9927897955829884,0.9999999999999999,10
1,3,0.9946015118552551,0.9999999999999999,10
2,3,0.9985224470727466,0.9999999999999999,10
3,3,1.0,1.0,10
4,3,0.9990059462590988,0.9999999999999999,10
5,3,0.9970375789615505,0.9878787878787878,10
7,3,0.9916405090299512,0.9636363636363635,10
10,3,0.9840690146582532,0.9272727272727272,10
