mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity
weight_test0.0,0,0.6,0.6,0.1,4.23724889755249,4.562434136867523,1.4301743507385254,1.4804303646087646,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.6,0.5,3.614165782928467,4.770116984844208,1.780147910118103,2.2535221576690674,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.6,1.0,2.66467833518982,3.909333527088165,1.9573934078216555,2.989520788192749,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.6,1.5,1.7178598642349243,2.5230194330215454,2.127695083618164,3.692137479782105,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.8,0.1,4.398417472839356,4.729459285736084,1.5816999673843384,1.6389284133911133,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.8,0.5,4.389166355133057,5.656866133213043,1.8259963989257808,2.3426201343536377,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.8,1.0,2.9111969470977783,5.036546885967255,2.139113426208496,3.42614483833313,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,0.8,1.5,2.0910370349884038,3.253840386867523,2.2747905254364014,3.774502992630005,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,1.0,0.1,4.7425217628479,5.5163697600364685,1.5289500951766968,1.5908840894699097,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,1.0,0.5,3.673481702804565,5.254199147224426,1.953352451324463,2.642392873764038,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,1.0,1.0,2.9170517921447754,5.440251529216766,2.265420913696289,3.728334188461304,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.6,1.0,1.5,3.065843105316162,5.278040587902069,2.4367563724517822,4.270960330963135,chunk_0,0.0013699823757633,1.000000238418579
weight_test0.0,0,0.8,0.6,0.1,5.103029251098633,5.462925612926483,2.167125940322876,2.218205690383911,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.6,0.5,3.683679819107056,5.523288369178772,1.920743465423584,2.582188367843628,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.6,1.0,1.1458685398101809,1.8454754948616028,2.721858501434326,4.229739189147949,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.6,1.5,2.444487333297729,3.632947862148285,2.690096616744995,4.759484767913818,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.8,0.1,5.609586238861084,6.188343822956085,1.946555256843567,2.02485990524292,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.8,0.5,4.015676498413086,5.746843099594116,1.936299443244934,2.4798741340637207,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.8,1.0,2.9523701667785645,4.057097673416138,2.553652286529541,4.342122554779053,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,0.8,1.5,2.6988930702209477,3.619116961956024,2.7299246788024902,5.203728675842285,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,1.0,0.1,6.037187576293945,6.728792130947113,2.15132212638855,2.222303628921509,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,1.0,0.5,4.533942699432373,7.358440697193146,2.5940964221954346,3.604483366012573,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,1.0,1.0,2.953411102294922,4.676682233810425,2.5959150791168213,4.386722564697266,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.8,1.0,1.5,3.321593999862671,3.2510820627212524,3.1458611488342285,6.085779190063477,chunk_0,0.00182664336171,1.0000003576278689
weight_test0.0,0,0.95,0.6,0.1,5.180544853210449,5.40136855840683,2.2075228691101074,2.330474853515625,chunk_0,0.002169138751924,1.000000238418579
weight_test0.0,0,0.95,0.6,0.5,4.414347171783447,6.733331382274628,2.5120389461517334,3.37870717048645,chunk_0,0.002169138751924,1.000000238418579
weight_test0.0,0,0.95,0.6,1.0,3.673145294189453,5.480038702487946,3.0395054817199707,4.95097541809082,chunk_0,0.002169138751924,1.000000238418579
