dataset,summary,metric_group,sign_frac,value
matched_er,cv_delta_pct,Kernel,0.0,-51.03502717069706
matched_er,cv_delta_pct,Kernel,0.2,-3.6282227100902054
matched_er,cv_delta_pct,Kernel,0.4,17.5676048008272
matched_er,cv_delta_pct,Kernel,0.6,17.759585861806737
matched_er,cv_delta_pct,Kernel,0.8,-6.1080119603846565
matched_er,cv_delta_pct,Kernel,1.0,-44.34657122680227
matched_er,raw_rho_relative,diagnostic,0.0,0.9999999410163142
matched_er,raw_rho_relative,diagnostic,0.2,0.5996006745484417
matched_er,raw_rho_relative,diagnostic,0.4,0.2974244344959764
matched_er,raw_rho_relative,diagnostic,0.6,0.29832644919662193
matched_er,raw_rho_relative,diagnostic,0.8,0.6000820903481664
matched_er,raw_rho_relative,diagnostic,1.0,1.0
removed_cel,performance_delta_pct,All metrics,0.0,-4.9751447836055585
removed_cel,performance_delta_pct,All metrics,0.2,44.0919996489763
removed_cel,performance_delta_pct,All metrics,0.2425287356321839,53.822989061236676
removed_cel,performance_delta_pct,All metrics,0.4,66.04827908291409
removed_cel,performance_delta_pct,All metrics,0.6,66.30382103490946
removed_cel,performance_delta_pct,All metrics,0.8,36.94392306472779
removed_cel,performance_delta_pct,All metrics,1.0,-5.381855949343517
removed_cel,cv_delta_pct,All metrics,0.0,-3.2508848515485713
removed_cel,cv_delta_pct,All metrics,0.2,11.091280523337847
removed_cel,cv_delta_pct,All metrics,0.2425287356321839,12.557472673627299
removed_cel,cv_delta_pct,All metrics,0.4,16.12223888308837
removed_cel,cv_delta_pct,All metrics,0.6,16.24896076214099
removed_cel,cv_delta_pct,All metrics,0.8,9.122960078214224
removed_cel,cv_delta_pct,All metrics,1.0,-1.2562296095348175
removed_cel,performance_delta_pct,Memory,0.0,-1.0101269416596081
removed_cel,performance_delta_pct,Memory,0.2,16.061944274270026
removed_cel,performance_delta_pct,Memory,0.2425287356321839,19.96385541771508
removed_cel,performance_delta_pct,Memory,0.4,24.783451758234463
removed_cel,performance_delta_pct,Memory,0.6,25.11794075026192
removed_cel,performance_delta_pct,Memory,0.8,14.366082306878665
removed_cel,performance_delta_pct,Memory,1.0,-1.8162101999563278
removed_cel,cv_delta_pct,Memory,0.0,-1.1079584448538766
removed_cel,cv_delta_pct,Memory,0.2,15.89204303468402
removed_cel,cv_delta_pct,Memory,0.2425287356321839,17.80056975817439
removed_cel,cv_delta_pct,Memory,0.4,23.60535242926623
removed_cel,cv_delta_pct,Memory,0.6,23.46747504946595
removed_cel,cv_delta_pct,Memory,0.8,12.537085977771174
removed_cel,cv_delta_pct,Memory,1.0,1.226092474576041
removed_cel,performance_delta_pct,Kernel,0.0,-8.940162625551508
removed_cel,performance_delta_pct,Kernel,0.2,72.12205502368256
