dataset,normalization,sign_fraction,rho_target,mean_effective_rho,sd_effective_rho,n_repeats,mean_raw_rho,mean_reference_rho,sem_effective_rho
cel_matched,original_radius,0.0,0.6,0.874230495095253,0.03922767042075894,100,106.5088882446289,73.24662330627442,0.003922767042075894
cel_matched,original_radius,0.0,0.8,1.1656408631801605,0.052303321750141935,100,106.5088882446289,73.24662330627442,0.005230332175014193
cel_matched,original_radius,0.0,0.95,1.3841987466812133,0.06211033848414485,100,106.5088882446289,73.24662330627442,0.006211033848414485
cel_matched,original_radius,0.0,1.05,1.5299036633968353,0.06864840551446016,100,106.5088882446289,73.24662330627442,0.006864840551446016
cel_matched,original_radius,0.2,0.6,0.545599410533905,0.0964518403037546,100,66.48166263580322,73.24662330627442,0.00964518403037546
cel_matched,original_radius,0.2,0.8,0.7274659568071365,0.12860246550037605,100,66.48166263580322,73.24662330627442,0.012860246550037605
cel_matched,original_radius,0.2,0.95,0.8638657432794571,0.15271555379682505,100,66.48166263580322,73.24662330627442,0.015271555379682505
cel_matched,original_radius,0.2,1.05,0.95479905128479,0.16879069212076628,100,66.48166263580322,73.24662330627442,0.016879069212076627
cel_matched,original_radius,0.2425083240843507,0.6,0.49315337926149366,0.09814036302619347,100,60.03005382537842,73.24662330627442,0.009814036302619348
cel_matched,original_radius,0.2425083240843507,0.8,0.6575379660725593,0.13085386756306686,100,60.03005382537842,73.24662330627442,0.013085386756306685
cel_matched,original_radius,0.2425083240843507,0.95,0.7808263570070266,0.15538895102000325,100,60.03005382537842,73.24662330627442,0.015538895102000325
cel_matched,original_radius,0.2425083240843507,1.05,0.863018496632576,0.1717456525818505,100,60.03005382537842,73.24662330627442,0.017174565258185052
cel_matched,original_radius,0.4,0.6,0.42197910368442537,0.07441755160215484,100,51.39748500823975,73.24662330627442,0.007441755160215484
cel_matched,original_radius,0.4,0.8,0.5626388564705849,0.09922351523776754,100,51.39748500823975,73.24662330627442,0.009922351523776754
cel_matched,original_radius,0.4,0.95,0.66813352227211,0.11782780532091015,100,51.39748500823975,73.24662330627442,0.011782780532091015
cel_matched,original_radius,0.4,1.05,0.7384634986519814,0.13023084065712337,100,51.39748500823975,73.24662330627442,0.013023084065712337
cel_matched,original_radius,0.6,0.6,0.4140857261419296,0.06591886891260196,100,50.42406909942627,73.24662330627442,0.006591886891260196
cel_matched,original_radius,0.6,0.8,0.5521142649650573,0.0878917358316136,100,50.42406909942627,73.24662330627442,0.00878917358316136
cel_matched,original_radius,0.6,0.95,0.6556356564164162,0.10437147236539256,100,50.42406909942627,73.24662330627442,0.010437147236539256
cel_matched,original_radius,0.6,1.05,0.724649885892868,0.11535800883642607,100,50.42406909942627,73.24662330627442,0.011535800883642606
cel_matched,original_radius,0.8,0.6,0.5592935717105866,0.09551261447363038,100,68.15275863647462,73.24662330627442,0.009551261447363037
cel_matched,original_radius,0.8,0.8,0.7457248079776764,0.12735017424447662,100,68.15275863647462,73.24662330627442,0.012735017424447662
cel_matched,original_radius,0.8,0.95,0.8855482894182205,0.15122815170945653,100,68.15275863647462,73.24662330627442,0.015122815170945653
cel_matched,original_radius,0.8,1.05,0.9787638914585114,0.16714708558204674,100,68.15275863647462,73.24662330627442,0.016714708558204675
cel_matched,original_radius,1.0,0.6,0.8742304867506028,0.03922764593601242,100,106.50869750976562,73.24662330627442,0.0039227645936012415
cel_matched,original_radius,1.0,0.8,1.1656407237052917,0.05230342646742143,100,106.50869750976562,73.24662330627442,0.005230342646742143
cel_matched,original_radius,1.0,0.95,1.384198534488678,0.06211033096920721,100,106.50869750976562,73.24662330627442,0.006211033096920721
