dataset,normalization,sign_fraction,rho_target,mean_effective_rho,sd_effective_rho,n_repeats,mean_raw_rho,mean_reference_rho,sem_effective_rho
cel_matched,original_radius,1.0,1.05,1.5299037563800812,0.06864825103435745,100,106.50869750976562,73.24662330627442,0.006864825103435746
cel_removed,original_radius,0.0,0.6,0.6550938487052917,0.0,100,78.14213562011719,71.5705795288086,0.0
cel_removed,original_radius,0.0,0.8,0.873457670211792,0.0,100,78.14213562011719,71.5705795288086,0.0
cel_removed,original_radius,0.0,0.95,1.0372310876846311,0.0,100,78.14213562011719,71.5705795288086,0.0
cel_removed,original_radius,0.0,1.05,1.146412372589111,0.0,100,78.14213562011719,71.5705795288086,0.0
cel_removed,original_radius,0.2,0.6,0.41943036407232287,0.07844851169468758,100,50.031462326049805,71.5705795288086,0.007844851169468758
cel_removed,original_radius,0.2,0.8,0.5592405435442924,0.10459800948462264,100,50.031462326049805,71.5705795288086,0.010459800948462264
cel_removed,original_radius,0.2,0.95,0.6640980285406113,0.12421022867570486,100,50.031462326049805,71.5705795288086,0.012421022867570486
cel_removed,original_radius,0.2,1.05,0.7340030768513679,0.13728491102300538,100,50.031462326049805,71.5705795288086,0.013728491102300538
cel_removed,original_radius,0.2425287356321839,0.6,0.3896271109580994,0.06810993518752782,100,46.476382369995115,71.5705795288086,0.0068109935187527825
cel_removed,original_radius,0.2425287356321839,0.8,0.5195027440786362,0.09081322518647177,100,46.476382369995115,71.5705795288086,0.009081322518647177
cel_removed,original_radius,0.2425287356321839,0.95,0.6169094258546829,0.10784074145083954,100,46.476382369995115,71.5705795288086,0.010784074145083953
cel_removed,original_radius,0.2425287356321839,1.05,0.6818473297357559,0.11919236912937116,100,46.476382369995115,71.5705795288086,0.011919236912937116
cel_removed,original_radius,0.4,0.6,0.3648060020804405,0.056950269931929524,100,43.51563564300537,71.5705795288086,0.005695026993192952
cel_removed,original_radius,0.4,0.8,0.48640805929899217,0.07593374593808312,100,43.51563564300537,71.5705795288086,0.007593374593808312
cel_removed,original_radius,0.4,0.95,0.5776095828413963,0.09017105935451626,100,43.51563564300537,71.5705795288086,0.009017105935451627
cel_removed,original_radius,0.4,1.05,0.6384105858206749,0.0996629838077332,100,43.51563564300537,71.5705795288086,0.00996629838077332
cel_removed,original_radius,0.6,0.6,0.3627693849802017,0.0562749971562273,100,43.27268880844116,71.5705795288086,0.0056274997156227306
cel_removed,original_radius,0.6,0.8,0.4836923825740814,0.0750332991072675,100,43.27268880844116,71.5705795288086,0.00750332991072675
cel_removed,original_radius,0.6,0.95,0.5743848305940628,0.08910226449089292,100,43.27268880844116,71.5705795288086,0.008910226449089292
cel_removed,original_radius,0.6,1.05,0.6348464629054069,0.0984813001832453,100,43.27268880844116,71.5705795288086,0.00984813001832453
cel_removed,original_radius,0.8,0.6,0.4392617264389992,0.07890298484442015,100,52.397028045654295,71.5705795288086,0.007890298484442015
cel_removed,original_radius,0.8,0.8,0.5856823468208313,0.10520414097800482,100,52.397028045654295,71.5705795288086,0.010520414097800482
cel_removed,original_radius,0.8,0.95,0.6954977771639824,0.1249297867257829,100,52.397028045654295,71.5705795288086,0.01249297867257829
cel_removed,original_radius,0.8,1.05,0.7687080132961274,0.1380804188856466,100,52.397028045654295,71.5705795288086,0.01380804188856466
cel_removed,original_radius,1.0,0.6,0.6550925374031067,0.0,100,78.14221954345703,71.5705795288086,0.0
cel_removed,original_radius,1.0,0.8,0.8734574913978577,0.0,100,78.14221954345703,71.5705795288086,0.0
cel_removed,original_radius,1.0,0.95,1.037229061126709,0.0,100,78.14221954345703,71.5705795288086,0.0
cel_removed,original_radius,1.0,1.05,1.1464132070541382,0.0,100,78.14221954345703,71.5705795288086,0.0
matched_er,original_radius,0.0,0.6,1.1683784055709838,0.020269215020409074,100,12.126330947875976,6.229074440002441,0.002026921502040907
matched_er,original_radius,0.0,0.8,1.5578379261493682,0.02702576911991315,100,12.126330947875976,6.229074440002441,0.002702576911991315
matched_er,original_radius,0.0,0.95,1.8499323272705077,0.032093052393192524,100,12.126330947875976,6.229074440002441,0.0032093052393192523
matched_er,original_radius,0.0,1.05,2.0446620845794676,0.03547132915447574,100,12.126330947875976,6.229074440002441,0.0035471329154475742
matched_er,original_radius,0.2,0.6,0.7004679811000823,0.008404149408145762,100,7.270956645011902,6.229074440002441,0.0008404149408145761
matched_er,original_radius,0.2,0.8,0.9339573657512665,0.011205494147069138,100,7.270956645011902,6.229074440002441,0.0011205494147069138
matched_er,original_radius,0.2,0.95,1.1090743279457091,0.013306637252609268,100,7.270956645011902,6.229074440002441,0.0013306637252609268
matched_er,original_radius,0.2,1.05,1.2258190989494324,0.014707226236158593,100,7.270956645011902,6.229074440002441,0.0014707226236158593
matched_er,original_radius,0.4,0.6,0.347494378387928,0.007999927927070525,100,3.6066673374176026,6.229074440002441,0.0007999927927070525
matched_er,original_radius,0.4,0.8,0.46332588136196134,0.01066659545617321,100,3.6066673374176026,6.229074440002441,0.001066659545617321
matched_er,original_radius,0.4,0.95,0.550199549794197,0.01266661359277455,100,3.6066673374176026,6.229074440002441,0.001266661359277455
matched_er,original_radius,0.4,1.05,0.6081151217222214,0.013999814765434512,100,3.6066673374176026,6.229074440002441,0.0013999814765434512
matched_er,original_radius,0.6,0.6,0.34855568200349807,0.009150831423358239,100,3.6176054668426514,6.229074440002441,0.0009150831423358239
matched_er,original_radius,0.6,0.8,0.4647409525513649,0.012200966215932613,100,3.6176054668426514,6.229074440002441,0.0012200966215932612
matched_er,original_radius,0.6,0.95,0.5518798393011093,0.014488736572318958,100,3.6176054668426514,6.229074440002441,0.001448873657231896
matched_er,original_radius,0.6,1.05,0.6099725145101548,0.016013811793893207,100,3.6176054668426514,6.229074440002441,0.0016013811793893207
matched_er,original_radius,0.8,0.6,0.7011303371191024,0.01630870817059119,100,7.276794452667236,6.229074440002441,0.001630870817059119
matched_er,original_radius,0.8,0.8,0.9348402857780457,0.021744866549491208,100,7.276794452667236,6.229074440002441,0.0021744866549491208
matched_er,original_radius,0.8,0.95,1.1101228785514832,0.02582212117452597,100,7.276794452667236,6.229074440002441,0.002582212117452597
matched_er,original_radius,0.8,1.05,1.2269780051708221,0.02854026650231502,100,7.276794452667236,6.229074440002441,0.0028540266502315023
matched_er,original_radius,1.0,0.6,1.1683784675598146,0.02026927908785548,100,12.126331663131714,6.229074440002441,0.002026927908785548
matched_er,original_radius,1.0,0.8,1.5578378546237945,0.0270257086308263,100,12.126331663131714,6.229074440002441,0.00270257086308263
matched_er,original_radius,1.0,0.95,1.849932506084442,0.0320930260354996,100,12.126331663131714,6.229074440002441,0.00320930260354996
matched_er,original_radius,1.0,1.05,2.044662082195282,0.03547137312667939,100,12.126331663131714,6.229074440002441,0.003547137312667939
