model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.482222650237157
real,0,0.95,0.8,1.0,0.0,0.0,2,even,0.1755973454976889
real,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.084691265455149
real,0,0.95,0.8,1.0,0.0,0.0,4,even,0.1788792692339598
real,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.9430719929218867
real,0,0.95,0.8,1.0,0.0,0.0,6,even,0.18389967813891417
real,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.4906374945853713
real,0,0.95,0.8,1.0,0.0,0.0,8,even,0.19526477091153538
real,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.1930589655205921
real,0,0.95,0.8,1.0,0.0,0.0,10,even,0.15152452356346657
real,0,0.95,0.8,1.0,0.0,0.001,1,odd,4.474240736104548
real,0,0.95,0.8,1.0,0.0,0.001,2,even,0.15977159584872425
real,0,0.95,0.8,1.0,0.0,0.001,3,odd,2.0728772251168266
real,0,0.95,0.8,1.0,0.0,0.001,4,even,0.16300271824002266
real,0,0.95,0.8,1.0,0.0,0.001,5,odd,0.9295434666564688
real,0,0.95,0.8,1.0,0.0,0.001,6,even,0.17014105012640357
real,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.4777416797587648
real,0,0.95,0.8,1.0,0.0,0.001,8,even,0.18245050020050257
real,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.18287590518593788
real,0,0.95,0.8,1.0,0.0,0.001,10,even,0.1366530853556469
real,0,0.95,0.8,1.0,0.0,0.005,1,odd,4.420470539946109
real,0,0.95,0.8,1.0,0.0,0.005,2,even,0.0717980288900435
real,0,0.95,0.8,1.0,0.0,0.005,3,odd,2.0165816713124514
real,0,0.95,0.8,1.0,0.0,0.005,4,even,0.11700969003140926
real,0,0.95,0.8,1.0,0.0,0.005,5,odd,0.8747739656828344
real,0,0.95,0.8,1.0,0.0,0.005,6,even,0.09235714608803391
real,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.42290280805900693
real,0,0.95,0.8,1.0,0.0,0.005,8,even,0.10591449728235602
real,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.11370069207623601
real,0,0.95,0.8,1.0,0.0,0.005,10,even,0.0629729088395834
real,0,0.95,0.8,1.0,0.0,0.01,1,odd,4.37933649495244
real,0,0.95,0.8,1.0,0.0,0.01,2,even,0.03714695945382118
real,0,0.95,0.8,1.0,0.0,0.01,3,odd,1.9774222010746598
real,0,0.95,0.8,1.0,0.0,0.01,4,even,0.057143185287714005
real,0,0.95,0.8,1.0,0.0,0.01,5,odd,0.8060641586780548
real,0,0.95,0.8,1.0,0.0,0.01,6,even,0.036372438073158264
real,0,0.95,0.8,1.0,0.0,0.01,7,odd,0.3504576403647661
real,0,0.95,0.8,1.0,0.0,0.01,8,even,0.04256101418286562
real,0,0.95,0.8,1.0,0.0,0.01,9,odd,0.05636995192617178
real,0,0.95,0.8,1.0,0.0,0.01,10,even,0.013649438507854939
real,0,0.95,0.8,1.0,0.1,0.0,1,odd,5.578601702101025
real,0,0.95,0.8,1.0,0.1,0.0,2,even,2.1574640132767513
real,0,0.95,0.8,1.0,0.1,0.0,3,odd,2.2161833384718648
real,0,0.95,0.8,1.0,0.1,0.0,4,even,0.45242710368006556
real,0,0.95,0.8,1.0,0.1,0.0,5,odd,1.606630628305254
real,0,0.95,0.8,1.0,0.1,0.0,6,even,0.15142321813550552
real,0,0.95,0.8,1.0,0.1,0.0,7,odd,0.6120556853643677
real,0,0.95,0.8,1.0,0.1,0.0,8,even,0.17127792511240614
real,0,0.95,0.8,1.0,0.1,0.0,9,odd,0.2297850158312542
real,0,0.95,0.8,1.0,0.1,0.0,10,even,0.1691538972745974
real,0,0.95,0.8,1.0,0.1,0.001,1,odd,5.568633971270174
real,0,0.95,0.8,1.0,0.1,0.001,2,even,2.146746842074208
real,0,0.95,0.8,1.0,0.1,0.001,3,odd,2.203039570245892
real,0,0.95,0.8,1.0,0.1,0.001,4,even,0.4417618673760444
real,0,0.95,0.8,1.0,0.1,0.001,5,odd,1.5928403864381835
real,0,0.95,0.8,1.0,0.1,0.001,6,even,0.1371307015651837
real,0,0.95,0.8,1.0,0.1,0.001,7,odd,0.6030039069009945
real,0,0.95,0.8,1.0,0.1,0.001,8,even,0.16127593663986772
real,0,0.95,0.8,1.0,0.1,0.001,9,odd,0.2150476381648332
real,0,0.95,0.8,1.0,0.1,0.001,10,even,0.15439868927933276
real,0,0.95,0.8,1.0,0.1,0.005,1,odd,5.502575004007667
real,0,0.95,0.8,1.0,0.1,0.005,2,even,2.074826676864177
real,0,0.95,0.8,1.0,0.1,0.005,3,odd,2.1420770566910505
real,0,0.95,0.8,1.0,0.1,0.005,4,even,0.3672009822912514
real,0,0.95,0.8,1.0,0.1,0.005,5,odd,1.5206915689632297
real,0,0.95,0.8,1.0,0.1,0.005,6,even,0.07869558315724134
real,0,0.95,0.8,1.0,0.1,0.005,7,odd,0.525823020376265
real,0,0.95,0.8,1.0,0.1,0.005,8,even,0.08196352189406753
real,0,0.95,0.8,1.0,0.1,0.005,9,odd,0.1501748994924128
real,0,0.95,0.8,1.0,0.1,0.005,10,even,0.07506616460159421
real,0,0.95,0.8,1.0,0.1,0.01,1,odd,5.435720112174749
real,0,0.95,0.8,1.0,0.1,0.01,2,even,1.9913171045482159
real,0,0.95,0.8,1.0,0.1,0.01,3,odd,2.1109506292268634
real,0,0.95,0.8,1.0,0.1,0.01,4,even,0.31703311018645763
real,0,0.95,0.8,1.0,0.1,0.01,5,odd,1.4823334123939276
real,0,0.95,0.8,1.0,0.1,0.01,6,even,0.04551645182073116
real,0,0.95,0.8,1.0,0.1,0.01,7,odd,0.49176327511668205
real,0,0.95,0.8,1.0,0.1,0.01,8,even,0.04353225231170654
real,0,0.95,0.8,1.0,0.1,0.01,9,odd,0.055957574397325516
real,0,0.95,0.8,1.0,0.1,0.01,10,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.222257646188041
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,2,even,0.12626945489290264
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.76593491843813
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,4,even,0.1798580839388526
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.2461809343622008
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,6,even,0.16288183686219782
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.46596277429053146
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,8,even,0.2200942727454276
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.41021775689023343
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,10,even,0.14575723210987235
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,1,odd,4.211839881492779
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,2,even,0.11021711374633014
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,3,odd,1.7567022946896031
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,4,even,0.16815991746261716
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,5,odd,1.229635868803598
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,6,even,0.15164432919118553
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.45515374070964754
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,8,even,0.20561146887484938
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.4013175896834582
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,10,even,0.13398019061423838
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,1,odd,4.135954805184156
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,2,even,0.047274223528802395
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,3,odd,1.7014574953354895
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,4,even,0.08988665416836739
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,5,odd,1.1636650157161057
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,6,even,0.056692956015467644
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.3875927091576159
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,8,even,0.15087862964719534
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.32404616521671414
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,10,even,0.05479291686788201
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,1,odd,4.123292092233896
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,2,even,0.011284852400422096
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,3,odd,1.6180264614522457
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,4,even,0.054797747172415257
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,5,odd,1.1290858695283532
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,6,even,0.031939064152538776
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,7,odd,0.31776881217956543
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,8,even,0.08248704671859741
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,9,odd,0.25822098553180695
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,10,even,0.011397277005016804
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,1,odd,4.051308094206661
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,2,even,1.8121842018208554
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,3,odd,2.311436405939844
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,4,even,0.6018755222173979
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,5,odd,1.0834785156703788
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,6,even,0.2562098207942549
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,7,odd,0.2681162505715555
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,8,even,0.22450933898673497
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,9,odd,0.19954252132436068
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,10,even,0.2175052721545967
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,1,odd,4.042125980718993
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,2,even,1.8015612236922607
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,3,odd,2.2972903025802225
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,4,even,0.5903093871893361
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,5,odd,1.0733344790060073
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,6,even,0.24473403138108552
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,7,odd,0.25822000426705927
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,8,even,0.21238971792627126
