rho_target,leak,input_scale,MC,IPC,KR,GR
0.9,0.2,0.5,1.6027179956436157,1.7758705615997314,4.023904323577881,5.630314826965332
0.9,0.2,1.0,0.8926308751106262,1.271897315979004,4.265624523162842,7.242600440979004
0.9,0.2,2.0,0.39586347341537476,0.44122880697250366,4.509725570678711,9.299312591552734
0.9,0.5,0.5,3.1297428607940674,4.073277950286865,5.025068283081055,7.255164623260498
0.9,0.5,1.0,1.3529984951019287,1.9217429161071777,5.8381147384643555,11.398284912109375
0.9,0.5,2.0,0.930282711982727,1.0911041498184204,6.965989112854004,17.039705276489258
0.9,0.8,0.5,4.5718584060668945,6.439311981201172,6.3640594482421875,10.580507278442383
0.9,0.8,1.0,4.024447917938232,4.829387664794922,9.323406219482422,20.785873413085938
0.9,0.8,2.0,2.9528250694274902,3.683009624481201,10.387222290039062,27.9073429107666
1.0,0.2,0.5,1.3970810174942017,1.775266170501709,6.219658374786377,8.338912010192871
1.0,0.2,1.0,1.3296809196472168,1.7914526462554932,5.372722148895264,9.672165870666504
1.0,0.2,2.0,0.20571446418762207,0.367378294467926,5.188178062438965,11.26714038848877
1.0,0.5,0.5,2.1594831943511963,2.1727359294891357,6.919625282287598,11.125020027160645
1.0,0.5,1.0,1.05484139919281,1.8409640789031982,8.579434394836426,17.18206024169922
1.0,0.5,2.0,0.8800879120826721,1.0103371143341064,8.62043571472168,21.201478958129883
1.0,0.8,0.5,3.8418025970458984,5.405704975128174,11.19586181640625,19.74632453918457
1.0,0.8,1.0,3.843613386154175,5.355708122253418,12.225542068481445,27.095958709716797
1.0,0.8,2.0,3.7302651405334473,4.430998802185059,11.103887557983398,30.862403869628906
1.1,0.2,0.5,0.33701831102371216,0.33541131019592285,7.233338832855225,8.417905807495117
1.1,0.2,1.0,0.9042040109634399,0.9083841443061829,6.493147373199463,11.642504692077637
1.1,0.2,2.0,0.013702929019927979,0.028383255004882812,6.236632823944092,13.699729919433594
1.1,0.5,0.5,1.4646892547607422,1.463357925415039,11.290311813354492,17.58515167236328
1.1,0.5,1.0,0.49941790103912354,0.5007390379905701,10.181368827819824,20.8302059173584
1.1,0.5,2.0,2.0769906044006348,2.075618267059326,9.303936004638672,23.32721710205078
1.1,0.8,0.5,4.721221923828125,5.624494552612305,13.929614067077637,22.87537956237793
1.1,0.8,1.0,4.932312488555908,7.301095008850098,15.142399787902832,34.45225524902344
1.1,0.8,2.0,2.9471981525421143,4.42685604095459,14.011401176452637,38.54047775268555
