rho_target,leak,input_scale,MC,IPC,KR,GR
0.9,0.2,0.5,2.184610366821289,2.613962173461914,3.480400323867798,4.695135116577148
0.9,0.2,1.0,1.9122623205184937,2.848451614379883,3.833897590637207,6.714965343475342
0.9,0.2,2.0,0.75294429063797,1.2198526859283447,4.097197532653809,8.744738578796387
0.9,0.5,0.5,1.953120470046997,2.307173728942871,3.8620643615722656,5.628746032714844
0.9,0.5,1.0,1.3054317235946655,1.8861336708068848,5.664530277252197,10.694137573242188
0.9,0.5,2.0,1.2359259128570557,1.2875115871429443,5.212767601013184,12.251716613769531
0.9,0.8,0.5,4.000265598297119,4.6568427085876465,5.6867852210998535,9.34910774230957
0.9,0.8,1.0,2.4625139236450195,3.21996808052063,7.349236965179443,15.436920166015625
0.9,0.8,2.0,1.4590214490890503,1.457028865814209,7.275460720062256,18.842586517333984
1.0,0.2,0.5,0.9961768984794617,1.0660126209259033,4.853506565093994,6.712100028991699
1.0,0.2,1.0,0.502007007598877,0.7593913674354553,5.281606197357178,8.941608428955078
1.0,0.2,2.0,0.6539868116378784,0.8564414381980896,4.312302589416504,9.123636245727539
1.0,0.5,0.5,0.501227080821991,0.5601226091384888,5.474936485290527,8.10465145111084
1.0,0.5,1.0,0.1902974247932434,0.32807672023773193,7.202253818511963,14.546151161193848
1.0,0.5,2.0,0.558998703956604,0.748067319393158,5.941207408905029,14.852288246154785
1.0,0.8,0.5,3.9698870182037354,4.770871639251709,6.899781703948975,11.571578025817871
1.0,0.8,1.0,2.9402735233306885,3.8674066066741943,9.237527847290039,20.07558822631836
1.0,0.8,2.0,1.970654010772705,1.9662097692489624,10.086828231811523,27.751426696777344
1.1,0.2,0.5,0.6325199007987976,1.6309707164764404,5.893429279327393,8.16036319732666
1.1,0.2,1.0,0.08421128988265991,0.14860886335372925,5.439286231994629,9.493951797485352
1.1,0.2,2.0,0.38848596811294556,0.48845887184143066,5.188136577606201,11.207290649414062
1.1,0.5,0.5,1.23469877243042,1.5339114665985107,8.217880249023438,12.849855422973633
1.1,0.5,1.0,1.4807956218719482,1.6672084331512451,7.963815689086914,16.3115234375
1.1,0.5,2.0,1.1413264274597168,1.3141276836395264,7.667087078094482,19.60223960876465
1.1,0.8,0.5,3.1590137481689453,4.940573215484619,9.553899765014648,16.68116569519043
1.1,0.8,1.0,3.3421430587768555,5.205527305603027,13.587567329406738,29.820119857788086
1.1,0.8,2.0,3.563575029373169,4.868276119232178,13.174338340759277,34.96224594116211
