config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.19213245511054994,0.19213245511054994,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.20064159631729128,0.19213245511054994,0.008509141206741344,91,91,100.0,0,0,0,0
t_train_x0.25,0.20160360336303712,0.19213245511054994,0.009471148252487183,91,91,100.0,0,0,0,0
t_test_x0.25,0.19027203917503357,0.19213245511054994,-0.001860415935516363,91,91,100.0,0,0,0,0
washout_x0.75,0.20140336751937868,0.19213245511054994,0.009270912408828741,91,91,100.0,0,0,0,0
t_train_x0.75,0.2008639454841614,0.19213245511054994,0.008731490373611456,91,91,100.0,0,0,0,0
t_test_x0.75,0.1975068211555481,0.19213245511054994,0.005374366044998163,91,91,100.0,0,0,0,0
washout_x1.25,0.1929288923740387,0.19213245511054994,0.0007964372634887695,91,91,100.0,0,0,0,0
t_train_x1.25,0.19314822554588318,0.19213245511054994,0.0010157704353332409,91,91,100.0,0,0,0,0
t_test_x1.25,0.19603979587554932,0.19213245511054994,0.0039073407649993785,91,91,100.0,0,0,0,0
