model,order,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
real,1,3.3359064996242522,0.6758627918171569,3.40875506401062,2.1599176867295777
real,2,0.008623087406158447,0.022695594974251606,0.00035315752029418945,0.005583237721103572
real,3,1.5444600135087967,0.6538775355434814,1.6955526769161224,1.0
real,4,9.404122829437256e-05,0.00040991621066160786,0.0,6.0889390124593816e-05
real,5,0.4728859543800354,0.38465961413041777,0.49145856499671936,0.30618206379180046
real,6,9.19729471206665e-05,0.0004009007820385955,0.0,5.955022876359023e-05
real,7,0.0918885201215744,0.13424034109978875,0.0,0.059495564351204254
real,8,0.0004292666912078857,0.001302222663621511,0.0,0.0002779396601098477
real,9,0.013732400536537171,0.0302655416629171,0.0,0.00889139273042044
real,10,0.00038646459579467775,0.0014000591764369962,0.0,0.00025022635252089457
shuffle_weights,1,3.3985268473625183,0.5190577839507531,3.3849533796310425,2.2268903001017013
shuffle_weights,2,0.0037499457597732545,0.006970263988067213,0.0004970431327819824,0.0024571581197974867
shuffle_weights,3,1.526131236553192,0.5409647396488351,1.3948774337768555,1.0
shuffle_weights,4,0.0,0.0,0.0,0.0
shuffle_weights,5,0.43134836554527284,0.33432823943843154,0.5327000916004181,0.2826417251765874
shuffle_weights,6,0.0,0.0,0.0,0.0
shuffle_weights,7,0.012985554337501527,0.056602719083025395,0.0,0.008508805813338665
shuffle_weights,8,0.0,0.0,0.0,0.0
shuffle_weights,9,0.0,0.0,0.0,0.0
shuffle_weights,10,0.0,0.0,0.0,0.0
cel_randN,1,7.2587494313716885,0.8658165393634657,7.299594193696976,2.071531963496268
cel_randN,2,0.0003779411315917969,0.0011726094845371155,4.0531158447265625e-06,0.00010785840478645758
cel_randN,3,3.504048964381218,0.3830825748217324,3.524242550134659,1.0
cel_randN,4,0.0,0.0,0.0,0.0
cel_randN,5,1.0509385585784912,0.268726543144369,1.1529565453529358,0.2999211966674321
cel_randN,6,0.0,0.0,0.0,0.0
cel_randN,7,0.06121800541877746,0.07296582780707275,0.03469425439834595,0.01747064782514761
cel_randN,8,0.0,0.0,0.0,0.0
cel_randN,9,0.0018595457077026367,0.008105571820770617,0.0,0.0005306848524678122
cel_randN,10,0.0,0.0,0.0,0.0
er_randN,1,8.314736229181289,0.33774288008209896,8.225638270378113,2.1822733327863393
er_randN,2,2.133846282958984e-06,3.954425675121626e-06,0.0,5.60046129091116e-07
er_randN,3,3.8101259380578996,0.20765536016728556,3.83040714263916,1.0
er_randN,4,0.0,0.0,0.0,0.0
er_randN,5,0.8541614085435867,0.15949186641305427,0.8624031841754913,0.22418193582833917
er_randN,6,0.0,0.0,0.0,0.0
er_randN,7,0.013459020853042602,0.02544215650382265,0.0,0.0035324346417543733
er_randN,8,0.0,0.0,0.0,0.0
er_randN,9,0.0,0.0,0.0,0.0
er_randN,10,0.0,0.0,0.0,0.0
ws_p01_randN,1,8.394507515430451,0.4064299506025998,8.372320175170898,2.2116567078019465
ws_p01_randN,2,2.068281173706055e-06,3.4221112820255976e-06,2.9802322387695312e-08,5.449191537489401e-07
ws_p01_randN,3,3.7955743700265883,0.28117832297274875,3.7666659355163574,1.0
ws_p01_randN,4,0.0,0.0,0.0,0.0
ws_p01_randN,5,0.8109430611133576,0.18391057240757694,0.8065797984600067,0.21365489964241613
ws_p01_randN,6,0.0,0.0,0.0,0.0
ws_p01_randN,7,0.016837358474731445,0.04315129213663683,0.0,0.004436050208288633
ws_p01_randN,8,0.0,0.0,0.0,0.0
ws_p01_randN,9,0.0,0.0,0.0,0.0
ws_p01_randN,10,0.0,0.0,0.0,0.0
conn_shuf,1,3.32436617910862,0.550857199230743,3.537319630384445,2.0328541902597004
conn_shuf,2,0.001305815577507019,0.002837381112842297,0.0,0.0007985079035888003
conn_shuf,3,1.6353195399045943,0.44585018029091267,1.6558871865272522,1.0
conn_shuf,4,0.0,0.0,0.0,0.0
conn_shuf,5,0.44014727175235746,0.3793375441951015,0.3718537390232086,0.26915062225578
conn_shuf,6,0.00039165019989013673,0.0017071636425386105,0.0,0.00023949460049439993
conn_shuf,7,0.04923123717308044,0.10737054095394764,0.0,0.0301049647923565
conn_shuf,8,0.0,0.0,0.0,0.0
conn_shuf,9,0.0,0.0,0.0,0.0
conn_shuf,10,0.0,0.0,0.0,0.0
local_sign,1,3.2879858314990997,0.5753332855123322,3.242319256067276,2.0102131435468618
local_sign,2,0.0032775312662124633,0.006749820688566305,0.0,0.0020038214175400366
local_sign,3,1.635640400648117,0.6867325218479058,1.8545393347740173,1.0
local_sign,4,0.0,0.0,0.0,0.0
local_sign,5,0.3931985378265381,0.393285837181273,0.3939797878265381,0.2403942441570497
local_sign,6,0.0,0.0,0.0,0.0
local_sign,7,0.05795809924602509,0.1034697322777265,0.0,0.035434499675515096
local_sign,8,0.0,0.0,0.0,0.0
local_sign,9,0.004259911179542541,0.013061132812388073,0.0,0.0026044301533849163
local_sign,10,0.0,0.0,0.0,0.0
conn_shuf_only,1,3.5718203842639924,0.7546459589773518,3.5381361544132233,2.25118121155358
conn_shuf_only,2,0.0008645236492156982,0.001307352906194716,0.00011748075485229492,0.000544876053855421
conn_shuf_only,3,1.5866427659988402,0.5817050697164678,1.5588808953762054,1.0
conn_shuf_only,4,0.0,0.0,0.0,0.0
conn_shuf_only,5,0.495880189538002,0.3197451706058375,0.5272954106330872,0.3125342390640972
conn_shuf_only,6,0.0,0.0,0.0,0.0
conn_shuf_only,7,0.028671085834503174,0.0806768305408401,0.0,0.018070284281322676
conn_shuf_only,8,0.0,0.0,0.0,0.0
conn_shuf_only,9,0.00206662118434906,0.009008192897157893,0.0,0.0013025119633959057
conn_shuf_only,10,0.0,0.0,0.0,0.0
cel_sample,1,3.5477072477340696,0.709033744123327,3.573004812002182,2.399562923102529
cel_sample,2,0.00550922155380249,0.009584747485298977,0.001524895429611206,0.0037262724493700074
cel_sample,3,1.4784806072711945,0.5890859932829603,1.585383653640747,1.0
cel_sample,4,0.0,0.0,0.0,0.0
cel_sample,5,0.3332123428583145,0.3017662736561568,0.258725643157959,0.22537484848943581
cel_sample,6,0.0,0.0,0.0,0.0
cel_sample,7,0.015493819117546081,0.061630368171274846,0.0,0.01047955518749938
cel_sample,8,0.0,0.0,0.0,0.0
cel_sample,9,0.01003623902797699,0.030804708287883703,0.0,0.00678821147779591
cel_sample,10,0.0,0.0,0.0,0.0
local_sign+flat,1,2.993095523118973,0.8082323720822806,2.903573989868164,1.8047566277418408
local_sign+flat,2,0.014989185333251952,0.04196268960752668,0.00013652443885803223,0.009038078259008497
local_sign+flat,3,1.6584482789039612,0.4853493939210023,1.663776695728302,1.0
local_sign+flat,4,0.0,0.0,0.0,0.0
local_sign+flat,5,0.4652373343706131,0.370780656947307,0.4599098265171051,0.28052568192122346
