config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20367014408111572,0.20367014408111572,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.20622153282165528,0.20367014408111572,0.002551388740539562,91,91,100.0,0,0,0,0
t_train_x0.25,0.20589272975921633,0.20367014408111572,0.0022225856781006026,91,91,100.0,0,0,0,0
t_test_x0.25,0.20733586549758912,0.20367014408111572,0.0036657214164733942,91,91,100.0,0,0,0,0
washout_x0.75,0.20316035747528077,0.20367014408111572,-0.0005097866058349498,91,91,100.0,0,0,0,0
t_train_x0.75,0.21053788661956788,0.20367014408111572,0.006867742538452154,91,91,100.0,0,0,0,0
t_test_x0.75,0.20694985389709475,0.20367014408111572,0.003279709815979026,91,91,100.0,0,0,0,0
washout_x1.25,0.20526872873306276,0.20367014408111572,0.0015985846519470381,91,91,100.0,0,0,0,0
t_train_x1.25,0.20405181646347048,0.20367014408111572,0.00038167238235475853,91,91,100.0,0,0,0,0
t_test_x1.25,0.20483286380767823,0.20367014408111572,0.001162719726562511,91,91,100.0,0,0,0,0
