mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,seed,src
real,40,0.6,0.6,0.1,4.359709739685059,4.755293130874634,1.8629157543182373,1.91575026512146,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.6,0.5,4.561604976654053,6.454918146133423,2.161221504211426,2.812918186187744,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.6,1.0,3.1681790351867676,5.048681259155273,2.4198672771453857,3.8390908241271973,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.6,1.5,2.6575703620910645,4.613943636417389,2.552910327911377,4.519655704498291,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.8,0.1,4.800689697265625,5.290918231010437,2.00156569480896,2.0598981380462646,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.8,0.5,4.883062362670898,7.310022056102753,2.360463857650757,3.1190662384033203,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.8,1.0,3.4799180030822754,5.19099235534668,2.667282819747925,4.327057838439941,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,0.8,1.5,2.1215968132019043,3.9804468154907227,2.816307306289673,5.121795654296875,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,1.0,0.1,5.3253021240234375,6.011666357517242,2.219231605529785,2.287992477416992,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,1.0,0.5,5.536154270172119,8.403237223625183,2.662402629852295,3.5858356952667236,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,1.0,1.0,3.0605320930480957,5.8833730816841125,3.030365228652954,5.048626899719238,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.6,1.0,1.5,3.2560839653015137,5.302097856998444,3.198981761932373,6.000320911407471,0.0009280519443564117,0.5628097057342529,4012468,chunk_8
real,40,0.8,0.6,0.1,5.122627258300781,5.644736170768738,2.395824670791626,2.4515633583068848,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.6,0.5,5.035250663757324,7.048666477203369,2.7592530250549316,3.654020071029663,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.6,1.0,4.032745838165283,6.476314067840576,3.0237789154052734,4.9771409034729,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.6,1.5,2.3398914337158203,3.8755269050598145,3.134141683578491,5.830271244049072,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.8,0.1,5.809720039367676,6.488851249217987,2.594022750854492,2.6629650592803955,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.8,0.5,5.602364540100098,8.190705597400665,3.07767391204834,4.160757064819336,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.8,1.0,4.048910140991211,6.79635089635849,3.424633502960205,5.812327861785889,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,0.8,1.5,1.6707711219787598,3.3341947197914124,3.5573301315307617,6.857883930206299,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,1.0,0.1,6.626277446746826,7.528281629085541,2.9264166355133057,3.018003225326538,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,1.0,0.5,6.223665237426758,9.493254244327545,3.577889919281006,4.9713945388793945,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,1.0,1.0,3.5273890495300293,5.809056758880615,4.024995803833008,7.0649094581604,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.8,1.0,1.5,2.4124960899353027,3.94028502702713,4.183358192443848,8.36074161529541,0.0012374025536701083,0.5628095865249634,4012468,chunk_8
real,40,0.95,0.6,0.1,5.395998954772949,6.011835038661957,3.0529730319976807,3.16876482963562,0.0014694154961034656,0.5628095865249634,4012468,chunk_8
real,40,0.95,0.6,0.5,5.153353214263916,7.1263651847839355,3.4449572563171387,4.6846466064453125,0.0014694154961034656,0.5628095865249634,4012468,chunk_8
real,40,0.95,0.6,1.0,3.8893849849700928,6.311711668968201,3.648263931274414,6.182772159576416,0.0014694154961034656,0.5628095865249634,4012468,chunk_8
real,40,0.95,0.6,1.5,1.7380621433258057,2.759000539779663,3.7013423442840576,7.12977409362793,0.0014694154961034656,0.5628095865249634,4012468,chunk_8
real,40,0.95,0.8,0.1,6.174032211303711,7.049691081047058,3.3153228759765625,3.449409246444702,0.0014694154961034656,0.5628095865249634,4012468,chunk_8
real,40,0.95,0.8,0.5,5.832243919372559,8.639693439006805,3.882612705230713,5.402566432952881,0.0014694154961034656,0.5628095865249634,4012468,chunk_8
