config,model,washout,t_train,t_test,mean_score,std_score,cv_score,mean_capture_pct,std_capture_pct,n_runs
baseline,real,500,1500,500,3.613130424171686,1.6320782879239708,0.4517075489457667,100.0,0.0,48
baseline,shuffle_weights,500,1500,500,4.126164051393668,1.9211137237395068,0.4655931513655218,100.0,0.0,48
baseline,cel_randN,500,1500,500,8.03524042914311,4.511846053852935,0.5615072870114585,100.0,0.0,48
baseline,er_randN,500,1500,500,10.440513091782728,5.972686258283807,0.5720682696125967,100.0,0.0,48
baseline,ws_p01_randN,500,1500,500,10.928478457033634,5.938891000723948,0.5434325577959704,100.0,0.0,48
baseline,conn_shuf,500,1500,500,4.2293569060663385,1.9449503379052966,0.45986904891274966,100.0,0.0,48
baseline,local_sign,500,1500,500,3.7931457832455635,1.7812149695845327,0.4695877963489333,100.0,0.0,48
baseline,conn_shuf_only,500,1500,500,4.090326650689046,1.9084743918293279,0.46658239177739785,100.0,0.0,48
baseline,cel_sample,500,1500,500,3.9872923406461873,1.9069420714053749,0.47825489291721524,100.0,0.0,48
baseline,local_sign+flat,500,1500,500,3.8190349340438843,1.652604235388095,0.43272823211339206,100.0,0.0,48
baseline,local_sign+sample,500,1500,500,3.931336898356676,1.785381247701721,0.45414099423736026,100.0,0.0,48
baseline,local_sign+binary,500,1500,500,3.600758370012045,1.5284709952165634,0.42448585496489466,100.0,0.0,48
baseline,global_sign_pres,500,1500,500,3.5941461448868117,1.4911923482772258,0.41489474500046714,100.0,0.0,48
baseline,binary+shuffle,500,1500,500,3.524539259572824,1.3932628750274842,0.39530354818528773,100.0,0.0,48
washout_x0.25,real,125,1500,500,3.579229967047771,1.7006017069464137,0.47513060703084914,103.63166793002621,40.33274060798442,48
washout_x0.25,shuffle_weights,125,1500,500,4.063787630448739,2.0380279123745946,0.5015094531771946,100.07728039905044,26.49930661130346,48
washout_x0.25,cel_randN,125,1500,500,7.990550932784875,4.575447098594609,0.5726072128295626,104.01505146599845,29.604499614575246,48
washout_x0.25,er_randN,125,1500,500,10.457718335092068,5.9119935974211035,0.5653234680822044,104.76057349198338,41.984681076440374,48
washout_x0.25,ws_p01_randN,125,1500,500,10.963371137777964,5.992889822600636,0.5466283816617435,100.7581365767118,10.651349745561934,48
washout_x0.25,conn_shuf,125,1500,500,4.096224742631118,1.8735240779664393,0.45737824354896683,101.25955786390756,27.232430978171816,48
washout_x0.25,local_sign,125,1500,500,3.8453782685101032,1.7729980251501465,0.4610724618873703,119.55349670212387,87.57650300969127,48
washout_x0.25,conn_shuf_only,125,1500,500,3.9035915695130825,1.8769524273371412,0.48082705219369665,104.92057864973218,62.40975225029856,48
washout_x0.25,cel_sample,125,1500,500,4.144429040451844,1.9045102948904071,0.4595350231120784,113.29956513246833,51.6648679701697,48
washout_x0.25,local_sign+flat,125,1500,500,3.8445814723769822,1.5601084048975662,0.40579408086597285,105.12644088085749,31.28724512155045,48
washout_x0.25,local_sign+sample,125,1500,500,4.0598778414229555,1.935540412785027,0.47674843637823233,105.10538346490365,28.763002263696546,48
washout_x0.25,local_sign+binary,125,1500,500,3.6636206855376563,1.4687883398873653,0.40091168435790525,109.26495959296881,41.38149416119772,48
washout_x0.25,global_sign_pres,125,1500,500,3.553131485978762,1.404503861473231,0.39528620514485124,100.934940900352,16.66670168254351,48
washout_x0.25,binary+shuffle,125,1500,500,3.6764987943073115,1.5384081019344575,0.41844379340380244,107.48968144912578,34.19993213607311,48
t_train_x0.25,real,500,375,500,3.500932284941276,1.516795651696452,0.4332547813680134,102.8798877032209,43.93238198424361,48
t_train_x0.25,shuffle_weights,500,375,500,4.180829445521037,1.9773517541618129,0.47295680915187027,104.53284459609041,36.92151618288804,48
t_train_x0.25,cel_randN,500,375,500,6.814747174580892,4.3502107533234415,0.6383524790985339,85.89607968208718,27.272466403968362,48
t_train_x0.25,er_randN,500,375,500,7.662404350936413,5.652855207054718,0.7377390892147175,74.61066803633092,37.888284085645374,48
t_train_x0.25,ws_p01_randN,500,375,500,8.109539256741604,5.77311101052096,0.7118913698730381,71.83072150812052,23.409422568722466,48
t_train_x0.25,conn_shuf,500,375,500,4.162638388574123,1.9091755803958226,0.4586455517337874,101.25678022276843,30.57756575446368,48
t_train_x0.25,local_sign,500,375,500,3.772012864549955,1.6097966263698775,0.4267738961070444,110.66647832027515,49.09496068858651,48
t_train_x0.25,conn_shuf_only,500,375,500,3.9759895615279675,1.808425791970484,0.454836654871777,112.18630082317732,100.94794197455946,48
t_train_x0.25,cel_sample,500,375,500,4.0205291124681635,1.7133535831700624,0.42615126896028155,115.10935080604123,69.89173811766227,48
t_train_x0.25,local_sign+flat,500,375,500,3.9287289530038834,1.4979886407470717,0.3812909107923361,108.27328654789589,31.62326177963647,48
t_train_x0.25,local_sign+sample,500,375,500,4.165972506006558,1.7092492079421229,0.4102881633226583,112.63463748208777,39.20923440812823,48
t_train_x0.25,local_sign+binary,500,375,500,3.568850706020991,1.5471276067932769,0.4335086374398137,107.00818633881488,50.116345813959725,48
t_train_x0.25,global_sign_pres,500,375,500,3.605444165567557,1.5187544239485031,0.4212392022189105,101.64500477978739,29.11677161690463,48
t_train_x0.25,binary+shuffle,500,375,500,3.6488092318177223,1.3466270041543507,0.36905930636540935,107.12812349600254,25.50418554988078,48
t_test_x0.25,real,500,1500,125,3.595879045625528,1.614924897377209,0.449104343301481,103.32929014930937,36.8037627622401,48
t_test_x0.25,shuffle_weights,500,1500,125,4.107227868090074,2.060771965849647,0.501742789062234,99.00922584799366,33.27258737570616,48
t_test_x0.25,cel_randN,500,1500,125,7.762861609458923,4.621793324821109,0.5953723713417134,98.1858559593706,23.338350293060248,48
t_test_x0.25,er_randN,500,1500,125,10.409404799342155,5.952392103835382,0.5718282859180916,103.4638129634735,39.07679741746801,48
t_test_x0.25,ws_p01_randN,500,1500,125,10.992468426624933,5.850434516466784,0.532222089653349,101.05280973678036,6.175754729556083,48
t_test_x0.25,conn_shuf,500,1500,125,4.116630998750527,1.9548117048224973,0.4748571599970506,102.27357806794372,33.105691023774774,48
t_test_x0.25,local_sign,500,1500,125,3.7994070822993913,1.799635077395105,0.4736620842181435,107.54606153474242,45.58988572268859,48
t_test_x0.25,conn_shuf_only,500,1500,125,4.101050401727359,1.8637551370153003,0.4544579935497228,116.26699677083786,103.83025503995825,48
t_test_x0.25,cel_sample,500,1500,125,4.170684417088826,1.7492687667727758,0.419420073982433,118.19488894474183,61.35120202468909,48
t_test_x0.25,local_sign+flat,500,1500,125,3.7470275734861693,1.6880418396288865,0.45050157932474505,101.28136856348242,30.972302116793276,48
t_test_x0.25,local_sign+sample,500,1500,125,4.017093102137248,1.7854064892007422,0.4444523549257141,107.99756030147942,35.84183725793767,48
t_test_x0.25,local_sign+binary,500,1500,125,3.575336324671904,1.5932979696587026,0.4456358297439092,107.91661591038593,57.78922662900669,48
t_test_x0.25,global_sign_pres,500,1500,125,3.535395140449206,1.5108448309978606,0.42734822303509,99.62583589317205,20.067803864793436,48
t_test_x0.25,binary+shuffle,500,1500,125,3.6268122320373855,1.3228860834175662,0.36475174306843733,108.85008751233386,32.46471817284555,48
washout_x0.75,real,375,1500,500,3.6553156189620495,1.7075649597350868,0.4671456962230695,102.7721864475527,26.92048453686922,48
washout_x0.75,shuffle_weights,375,1500,500,4.14447532966733,1.9890418519655226,0.479926092870525,103.90248723838654,31.488335283625545,48
washout_x0.75,cel_randN,375,1500,500,7.863376468420029,4.60223722313467,0.5852749441181706,98.64949395049057,19.40303194039294,48
washout_x0.75,er_randN,375,1500,500,10.510644393662611,5.921489301815089,0.563380234363694,104.82363186820135,31.624041701175617,48
