config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.2094202518463135,0.2094202518463135,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.20868037939071657,0.2094202518463135,-0.0007398724555969238,91,91,100.0,0,0,0,0
t_train_x0.25,0.20722223520278932,0.2094202518463135,-0.0021980166435241755,91,91,100.0,0,0,0,0
t_test_x0.25,0.2079478979110718,0.2094202518463135,-0.0014723539352416992,91,91,100.0,0,0,0,0
washout_x0.75,0.2059078812599182,0.2094202518463135,-0.0035123705863952803,91,91,100.0,0,0,0,0
t_train_x0.75,0.21435445547103882,0.2094202518463135,0.004934203624725325,91,91,100.0,0,0,0,0
t_test_x0.75,0.21161311864852905,0.2094202518463135,0.0021928668022155595,91,91,100.0,0,0,0,0
washout_x1.25,0.21079877614974976,0.2094202518463135,0.0013785243034362682,91,91,100.0,0,0,0,0
t_train_x1.25,0.20692079067230226,0.2094202518463135,-0.0024994611740112305,91,91,100.0,0,0,0,0
t_test_x1.25,0.2078716516494751,0.2094202518463135,-0.00154860019683839,91,91,100.0,0,0,0,0
