model,neuron_bias,capacity_threshold,order,parity,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
binary_base,0.0,0.0,1,odd,3.3358536922943065,0.43985431099153516,3.323965938322763,2.0822506883286183
binary_base,0.0,0.0,2,even,0.04192411865373183,0.0034922430094928092,0.042297769642547056,0.026169170766078675
binary_base,0.0,0.0,3,odd,1.6020423049887094,0.4063077854056602,1.6281590536369612,1.0
binary_base,0.0,0.0,4,even,0.04092183243682879,0.007235971845697037,0.03838650804177046,0.025543540460448197
binary_base,0.0,0.0,5,odd,0.5629928850569534,0.32538144322574947,0.4111249006899884,0.35142198386635065
binary_base,0.0,0.0,6,even,0.04175255801912882,0.0048270249699310175,0.041412742675625225,0.026062082061823626
binary_base,0.0,0.0,7,odd,0.18253211592210045,0.10280668587240645,0.1535901038530305,0.11393713845989034
binary_base,0.0,0.0,8,even,0.04061298625704494,0.006080350112104935,0.03930842366249454,0.02535075767386253
binary_base,0.0,0.0,9,odd,0.09146972895409482,0.04623049048892888,0.07951363822689406,0.05709570132402931
binary_base,0.0,0.0,10,even,0.04074533280491323,0.0064390137016105565,0.041001172119446316,0.025433368818060263
binary_base,0.0,0.001,1,odd,3.321874195325654,0.440366942718236,3.3081719691399485,2.0934725071288223
binary_base,0.0,0.001,2,even,0.024504460144089534,0.004029621343183316,0.0242677015485242,0.015442912824895938
binary_base,0.0,0.001,3,odd,1.586777081625769,0.4062484539587897,1.6137114076991566,1.0
binary_base,0.0,0.001,4,even,0.024627712095389144,0.008342735420078018,0.02246443775948137,0.015520587220831458
binary_base,0.0,0.001,5,odd,0.5472236487432383,0.32515095915494585,0.3957362587098032,0.3448648553598768
binary_base,0.0,0.001,6,even,0.024504041753243656,0.0057703731819370345,0.023948513611685485,0.015442649151535185
binary_base,0.0,0.001,7,odd,0.16654535746201873,0.10272428303771391,0.13435421523172408,0.10495825745818112
binary_base,0.0,0.001,8,even,0.02269100759876892,0.00666347259713164,0.019951159658376127,0.014300060078710191
binary_base,0.0,0.001,9,odd,0.07527870059129782,0.045858094620337374,0.0640565607463941,0.04744125779417566
binary_base,0.0,0.001,10,even,0.024283094180282204,0.00679852053889161,0.024301497847773135,0.01530340616931674
binary_base,0.0,0.005,1,odd,3.293381061893888,0.44032328132366655,3.277414089301601,2.106738904119284
binary_base,0.0,0.005,2,even,0.0007618332980200649,0.001813651521291342,0.0,0.00048733621079044255
binary_base,0.0,0.005,3,odd,1.5632601911202073,0.40301226291244235,1.5911733631510288,1.0
binary_base,0.0,0.005,4,even,0.0011415402172133327,0.002287405520308249,0.0,0.0007302304655985152
binary_base,0.0,0.005,5,odd,0.5236698713619262,0.32656581307299765,0.38155701104551554,0.3349857396334469
binary_base,0.0,0.005,6,even,0.0005122046219184995,0.00153661395901086,0.0,0.00032765154823744463
binary_base,0.0,0.005,7,odd,0.1407698031514883,0.10466443385774327,0.10475933086127043,0.09004886323537407
binary_base,0.0,0.005,8,even,0.0,0.0,0.0,0.0
binary_base,0.0,0.005,9,odd,0.048791723884642126,0.04522230592966801,0.03875479567795992,0.031211518186028107
binary_base,0.0,0.005,10,even,0.0013804832706227899,0.0033475282263901156,0.0,0.0008830796552386827
binary_base,0.0,0.01,1,odd,3.280015796376392,0.44220062552754796,3.2650378993712366,2.1091457269597784
binary_base,0.0,0.01,2,even,0.0,0.0,0.0,0.0
binary_base,0.0,0.01,3,odd,1.5551394834648817,0.4013461052318627,1.585533894598484,1.0
binary_base,0.0,0.01,4,even,0.0,0.0,0.0,0.0
binary_base,0.0,0.01,5,odd,0.517572527192533,0.32671459834025374,0.37301821541041136,0.3328142155064902
binary_base,0.0,0.01,6,even,0.0,0.0,0.0,0.0
binary_base,0.0,0.01,7,odd,0.1383640408050269,0.1055732938409613,0.10475933086127043,0.08897210975362098
binary_base,0.0,0.01,8,even,0.0,0.0,0.0,0.0
binary_base,0.0,0.01,9,odd,0.046332909865304826,0.04565171938570328,0.03875479567795992,0.02979341104636748
binary_base,0.0,0.01,10,even,0.0,0.0,0.0,0.0
binary_base,0.1,0.0,1,odd,2.9866454094027914,0.4751525220410686,3.083510159220083,2.11333159822042
binary_base,0.1,0.0,2,even,1.1191256981844107,0.3860016058897609,1.1710908473357762,0.7918863394052946
binary_base,0.1,0.0,3,odd,1.4132403130288524,0.33534478413469715,1.4071814416461166,1.0
binary_base,0.1,0.0,4,even,0.2804596515176662,0.1277078975172468,0.24830232806750985,0.19845149401136591
binary_base,0.1,0.0,5,odd,0.5033512090755294,0.25600191054621774,0.5216790160460456,0.35616816505661986
binary_base,0.1,0.0,6,even,0.09337187444852665,0.048719646921868934,0.07822168201803947,0.06606935394335896
binary_base,0.1,0.0,7,odd,0.14531236386897112,0.0855493181816159,0.10524965645714701,0.10282211916070955
binary_base,0.1,0.0,8,even,0.05066074318172964,0.011579648811223895,0.04985753911363133,0.035847224788793125
binary_base,0.1,0.0,9,odd,0.06502271766880618,0.02307171435545674,0.05599062350468342,0.04600966804396465
binary_base,0.1,0.0,10,even,0.04399486343367891,0.0074352571951842765,0.044156226539314836,0.0311304900009463
binary_base,0.1,0.001,1,odd,2.9726496288843918,0.47504479064255234,3.0703169445623644,2.1263892244950005
binary_base,0.1,0.001,2,even,1.104043363238452,0.38632449242741634,1.1540231968974695,0.7897418815033734
binary_base,0.1,0.001,3,odd,1.3979800097935366,0.33590934714732495,1.390536098740995,1.0
binary_base,0.1,0.001,4,even,0.26440382302971555,0.12822846883441638,0.23215252970112488,0.18913276382883654
binary_base,0.1,0.001,5,odd,0.48718337654718197,0.2563004130103436,0.5039266634266824,0.3484909463184188
binary_base,0.1,0.001,6,even,0.07587047130218708,0.049737716244200536,0.06037001282675192,0.05427149942823013
binary_base,0.1,0.001,7,odd,0.12892285211710258,0.08551724659088747,0.09097443363862112,0.09222081232487923
binary_base,0.1,0.001,8,even,0.034299463196657595,0.012388786697893018,0.03379685018444434,0.024535016921825067
binary_base,0.1,0.001,9,odd,0.047928072343347596,0.02325843039297144,0.03965734608937055,0.03428380377944456
binary_base,0.1,0.001,10,even,0.027073353313608096,0.007905904599213528,0.02970779308816418,0.019366051820445183
binary_base,0.1,0.005,1,odd,2.945457272767089,0.4742262382801355,3.041107681579888,2.146717468769304
binary_base,0.1,0.005,2,even,1.07858472391963,0.3865176339991953,1.1327587922569364,0.7860975237338225
binary_base,0.1,0.005,3,odd,1.372074954258278,0.3312612528168928,1.3726041256450117,1.0
binary_base,0.1,0.005,4,even,0.23878445134032517,0.1289412967542127,0.21123025380074978,0.17403163770262703
binary_base,0.1,0.005,5,odd,0.46294236413668843,0.2536901893188253,0.4891074791084975,0.33740311540556306
binary_base,0.1,0.005,6,even,0.050802945718169214,0.04905707986347366,0.03220631182193756,0.037026363290504405
binary_base,0.1,0.005,7,odd,0.10265900085214526,0.0858072285138693,0.0682217669673264,0.07482025711025465
binary_base,0.1,0.005,8,even,0.009636894334107637,0.01195585640971461,0.006722966209053993,0.007023591753642344
binary_base,0.1,0.005,9,odd,0.024717583553865552,0.023271537456728327,0.021161585114896297,0.018014747282685796
binary_base,0.1,0.005,10,even,0.0024684912757948043,0.004773948306951241,0.0,0.0017990936050058808
binary_base,0.1,0.01,1,odd,2.930168076744303,0.47771947138547294,3.0285635413601995,2.148893028395585
binary_base,0.1,0.01,2,even,1.069379953853786,0.38277229693301906,1.1196773815900087,0.7842495950251673
binary_base,0.1,0.01,3,odd,1.3635709353722631,0.3311406510022154,1.3645470710471272,1.0
binary_base,0.1,0.01,4,even,0.23353773639537395,0.1292315463318656,0.19952724780887365,0.1712692243118373
