model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.779254624516941
real,0,0.95,0.8,1.0,0.0,0.0,2,even,0.04403385162891027
real,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.8432393981436235
real,0,0.95,0.8,1.0,0.0,0.0,4,even,0.0355452984791782
real,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.7085789553747617
real,0,0.95,0.8,1.0,0.0,0.0,6,even,0.046810066077171086
real,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.40206238901614455
real,0,0.95,0.8,1.0,0.0,0.0,8,even,0.039618061126077464
real,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.13705933736831644
real,0,0.95,0.8,1.0,0.0,0.0,10,even,0.03135668471569275
real,0,0.95,0.8,1.0,0.0,0.001,1,odd,4.765628180117346
real,0,0.95,0.8,1.0,0.0,0.001,2,even,0.023844934883527458
real,0,0.95,0.8,1.0,0.0,0.001,3,odd,2.827594489324838
real,0,0.95,0.8,1.0,0.0,0.001,4,even,0.01968185033183545
real,0,0.95,0.8,1.0,0.0,0.001,5,odd,0.6920201828470454
real,0,0.95,0.8,1.0,0.0,0.001,6,even,0.026279253768734634
real,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.3861811758251861
real,0,0.95,0.8,1.0,0.0,0.001,8,even,0.020809956127777696
real,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.12070747488178313
real,0,0.95,0.8,1.0,0.0,0.001,10,even,0.013872835668735206
real,0,0.95,0.8,1.0,0.0,0.005,1,odd,4.7477337419986725
real,0,0.95,0.8,1.0,0.0,0.005,2,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,3,odd,2.81349328905344
real,0,0.95,0.8,1.0,0.0,0.005,4,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,5,odd,0.6655710712075233
real,0,0.95,0.8,1.0,0.0,0.005,6,even,0.012656320352107286
real,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.3546877820044756
real,0,0.95,0.8,1.0,0.0,0.005,8,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.08648520428687334
real,0,0.95,0.8,1.0,0.0,0.005,10,even,0.0
