EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
160,5.4134749505254955,3.2296288929497536,8.160417921013302,4.802292657073559,8.700748655531141,4.10623066139544,19.101544892346418,11.8667453596423
161,5.389933930502997,3.046436956476309,8.201836683132031,4.59897277614803,9.006379904570403,3.873142933065102,19.564983226634837,11.364460589060513
162,5.055046085958128,2.9463875622052442,7.699476096365187,4.484471670911525,8.957807337796247,4.393884777506327,19.42878634841354,11.693051414964778
163,5.368284351295895,3.057030086858312,8.014816555711958,4.3600795234503344,8.975376526514689,4.1577256371005005,19.75363975101047,11.922457668321066
164,4.660085353586409,2.5137696411330728,7.069036430782742,3.748108043779053,7.533970064587063,3.3263057190375154,16.170645113344545,10.191242441081064
165,5.630312067491037,3.090294401268991,8.614454715340226,4.607889282986658,9.188199634905216,4.078402303782294,20.15260191316958,12.142746600255228
166,4.952397251570666,2.8227678595315573,7.242815827881849,4.306132217383206,8.0158999937552,3.298787554164622,17.29042074415419,10.341763155417425
167,5.039966450797187,2.8544602114808364,7.3033562832408485,4.16611330418731,7.542285557146426,3.076837544952412,16.20259662910744,9.365387643353001
168,5.510106587851489,3.001689082162692,8.236965987417433,4.448093525572928,9.920185424663403,4.766714471988311,21.781965167434127,13.482994361034985
169,5.349086152182685,2.9957217976326276,8.12891215527499,4.565998957656379,8.619678046968248,3.7067549136512112,18.862816510377108,10.993135191066743
170,5.128878560331133,3.1954307782094165,7.602144934512951,4.785483691867359,8.236774497561985,3.119271629444101,18.123760258709943,9.865532297272592
171,4.8610579194845975,2.736378629880583,7.374643292691973,4.146336449937045,7.687059455447727,3.446566786834302,16.953577783372666,10.382437327046937
172,5.126138499489537,3.045933114485399,7.790548139148289,4.5609349257386995,8.860744997307107,4.426018835821457,19.43758641348945,12.409321171626745
173,5.406604883847414,2.742957955348588,8.209658861160278,3.9772943152889337,9.93592248139558,4.947487236137501,21.876645282462793,13.846741761148381
174,4.831348633324659,3.0377681740214846,7.329832390502647,4.427058171610751,9.76042726304796,4.512944521335741,21.323859797583687,12.505415759859536
175,5.562807988237451,3.183652064678069,8.074354407963929,4.666072581786742,8.967455722667554,4.423937191890523,19.736164781782364,12.446464239836402
176,4.991989992283009,2.976608886882578,7.643695703259221,4.477433530724638,8.284087419509888,3.7808396679460547,17.937510737666376,11.028676876924807
177,5.326471472228015,3.0745274754187224,7.82428056663937,4.549414048994052,8.966940720876059,4.231031479578926,19.67268959681193,11.719437407884726
178,5.090081614476663,3.1396059523651765,7.372497072926274,4.657977011312918,8.368446164660984,3.6482790413777066,17.94766632715861,10.453382281436774
179,5.27286990042086,3.272589713019776,7.811899187388243,4.867116227315333,9.28623738112273,4.192020225447478,20.276824209425186,11.649146196576268
