config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.21020467281341554,0.21020467281341554,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.21285834312438967,0.21020467281341554,0.002653670310974132,91,91,100.0,0,0,0,0
t_train_x0.25,0.20444644689559938,0.21020467281341554,-0.005758225917816162,91,91,100.0,0,0,0,0
t_test_x0.25,0.2111900806427002,0.21020467281341554,0.0009854078292846624,91,91,100.0,0,0,0,0
washout_x0.75,0.20736477375030518,0.21020467281341554,-0.002839899063110357,91,91,100.0,0,0,0,0
t_train_x0.75,0.2037899732589722,0.21020467281341554,-0.006414699554443348,91,91,100.0,0,0,0,0
t_test_x0.75,0.205512273311615,0.21020467281341554,-0.0046923995018005316,91,91,100.0,0,0,0,0
washout_x1.25,0.20993139743804934,0.21020467281341554,-0.00027327537536619984,91,91,100.0,0,0,0,0
t_train_x1.25,0.20876084566116335,0.21020467281341554,-0.0014438271522521917,91,91,100.0,0,0,0,0
t_test_x1.25,0.21094231605529787,0.21020467281341554,0.0007376432418823298,91,91,100.0,0,0,0,0
