config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.2119839668273926,0.2119839668273926,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.2069030284881592,0.2119839668273926,-0.0050809383392333984,91,91,100.0,0,0,0,0
t_train_x0.25,0.20819991827011108,0.2119839668273926,-0.003784048557281511,91,91,100.0,0,0,0,0
t_test_x0.25,0.20779136419296265,0.2119839668273926,-0.004192602634429943,91,91,100.0,0,0,0,0
washout_x0.75,0.20288887023925783,0.2119839668273926,-0.00909509658813476,91,91,100.0,0,0,0,0
t_train_x0.75,0.20463625192642212,0.2119839668273926,-0.00734771490097047,91,91,100.0,0,0,0,0
t_test_x0.75,0.20426911115646362,0.2119839668273926,-0.007714855670928972,91,91,100.0,0,0,0,0
washout_x1.25,0.20420116186141968,0.2119839668273926,-0.007782804965972917,91,91,100.0,0,0,0,0
t_train_x1.25,0.20752437114715577,0.2119839668273926,-0.004459595680236822,91,91,100.0,0,0,0,0
t_test_x1.25,0.21038149595260622,0.2119839668273926,-0.001602470874786377,91,91,100.0,0,0,0,0
