model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.0,0.0,1,odd,3.653236739539364
real,0,0.95,0.8,1.0,0.0,0.0,2,even,0.12518897342067703
real,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.797017924892316
real,0,0.95,0.8,1.0,0.0,0.0,4,even,0.0963629340735439
real,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.8053533344348125
real,0,0.95,0.8,1.0,0.0,0.0,6,even,0.10506119958427007
real,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.3783395634399085
real,0,0.95,0.8,1.0,0.0,0.0,8,even,0.09470380203936202
real,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.13411844278493845
real,0,0.95,0.8,1.0,0.0,0.0,10,even,0.16761795329753681
cel_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,7.953292224251015
cel_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.05171005556749719
cel_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,4.209747622050145
cel_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.16015007900671208
cel_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.491058280755908
cel_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.11422079453556433
cel_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.4194073507521807
cel_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.1619699925849769
cel_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.18873834736245954
cel_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.14568569916864504
er_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,9.089992175522639
er_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.10578160732438846
er_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,4.06804625542577
er_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.13459136627170665
er_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.2409742156028294
er_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.16003754950952498
er_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.38420139789081986
er_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.1300960906615103
er_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.2167882050780463
er_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.10416386436918401
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,8.855134471250949
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.0979370378114679
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,3.8055983285572808
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.11109933292621577
