model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
local_sign,2,0.95,0.8,1.0,50,6.303980827331543,99.04329512467235
local_sign,2,0.95,0.8,1.0,80,6.364873886108398,100.0
local_sign+flat,2,0.95,0.8,1.0,30,4.306483268737793,97.93031418353561
local_sign+flat,2,0.95,0.8,1.0,50,4.352853775024414,98.98478902208048
local_sign+flat,2,0.95,0.8,1.0,80,4.397497653961182,100.0
local_sign+binary,2,0.95,0.8,1.0,30,3.1962499618530273,96.90649125343357
local_sign+binary,2,0.95,0.8,1.0,50,3.2433223724365234,98.3336706664739
local_sign+binary,2,0.95,0.8,1.0,80,3.2982826232910156,100.0
global_sign_pres,2,0.95,0.8,1.0,30,3.3400120735168457,96.35492386228115
global_sign_pres,2,0.95,0.8,1.0,50,3.3829853534698486,97.59464606293301
global_sign_pres,2,0.95,0.8,1.0,80,3.4663636684417725,100.0
global_sign_pres_real_weight,2,0.95,0.8,1.0,30,4.005560398101807,96.20813505357133
global_sign_pres_real_weight,2,0.95,0.8,1.0,50,4.081155776977539,98.02383365688009
global_sign_pres_real_weight,2,0.95,0.8,1.0,80,4.1634321212768555,100.0
binary_base,2,0.95,0.8,1.0,30,3.342778205871582,96.61057463559565
binary_base,2,0.95,0.8,1.0,50,3.3990626335144043,98.23726673501685
binary_base,2,0.95,0.8,1.0,80,3.4600541591644287,100.0
real,3,0.95,0.8,1.0,30,4.711519718170166,98.27046570987099
real,3,0.95,0.8,1.0,50,4.737241268157959,98.80695262858897
real,3,0.95,0.8,1.0,80,4.794441223144531,100.0
cel_randN,3,0.95,0.8,1.0,30,7.667730331420898,98.97175312325741
cel_randN,3,0.95,0.8,1.0,50,7.700096607208252,99.38952303929352
cel_randN,3,0.95,0.8,1.0,80,7.747392654418945,100.0
er_randN,3,0.95,0.8,1.0,30,8.553982734680176,98.76175379802461
er_randN,3,0.95,0.8,1.0,50,8.58635425567627,99.13550580172249
er_randN,3,0.95,0.8,1.0,80,8.661230087280273,100.0
ws_p01_randN,3,0.95,0.8,1.0,30,8.813250541687012,99.13510937795672
ws_p01_randN,3,0.95,0.8,1.0,50,8.839438438415527,99.42968173741481
ws_p01_randN,3,0.95,0.8,1.0,80,8.890140533447266,100.0
local_sign,3,0.95,0.8,1.0,30,5.618528366088867,98.77434358516699
local_sign,3,0.95,0.8,1.0,50,5.63955545425415,99.14400209638299
local_sign,3,0.95,0.8,1.0,80,5.688246726989746,100.0
local_sign+flat,3,0.95,0.8,1.0,30,5.7332539558410645,97.81784175213741
local_sign+flat,3,0.95,0.8,1.0,50,5.783694744110107,98.67843663991968
local_sign+flat,3,0.95,0.8,1.0,80,5.861153602600098,100.0
local_sign+binary,3,0.95,0.8,1.0,30,3.437919855117798,96.2852116531989
local_sign+binary,3,0.95,0.8,1.0,50,3.4721999168395996,97.24528726213288
local_sign+binary,3,0.95,0.8,1.0,80,3.570558547973633,100.0
global_sign_pres,3,0.95,0.8,1.0,30,4.592265605926514,97.53710351633434
global_sign_pres,3,0.95,0.8,1.0,50,4.628905296325684,98.31530965289974
global_sign_pres,3,0.95,0.8,1.0,80,4.708224296569824,100.0
global_sign_pres_real_weight,3,0.95,0.8,1.0,30,4.200954437255859,98.06947606425491
global_sign_pres_real_weight,3,0.95,0.8,1.0,50,4.221925735473633,98.55904200916618
global_sign_pres_real_weight,3,0.95,0.8,1.0,80,4.283651351928711,100.0
binary_base,3,0.95,0.8,1.0,30,3.3958795070648193,97.159490231868
binary_base,3,0.95,0.8,1.0,50,3.4387989044189453,98.3874568777135
binary_base,3,0.95,0.8,1.0,80,3.495159864425659,100.0
real,4,0.95,0.8,1.0,30,4.2483439445495605,97.77758340496106
real,4,0.95,0.8,1.0,50,4.273935317993164,98.36658059633483
real,4,0.95,0.8,1.0,80,4.344905853271484,100.0
cel_randN,4,0.95,0.8,1.0,30,6.955935955047607,98.51323747222074
cel_randN,4,0.95,0.8,1.0,50,7.0089263916015625,99.26371296448119
cel_randN,4,0.95,0.8,1.0,80,7.060914993286133,100.0
er_randN,4,0.95,0.8,1.0,30,8.7099609375,98.58430439123298
er_randN,4,0.95,0.8,1.0,50,8.767583847045898,99.23651333859156
er_randN,4,0.95,0.8,1.0,80,8.835038185119629,100.0
ws_p01_randN,4,0.95,0.8,1.0,30,9.192621231079102,98.50271038850435
ws_p01_randN,4,0.95,0.8,1.0,50,9.255717277526855,99.17881042935996
ws_p01_randN,4,0.95,0.8,1.0,80,9.332353591918945,100.0
local_sign,4,0.95,0.8,1.0,30,5.554145812988281,97.99030451991356
local_sign,4,0.95,0.8,1.0,50,5.579107284545898,98.43069306597516
local_sign,4,0.95,0.8,1.0,80,5.668056488037109,100.0
local_sign+flat,4,0.95,0.8,1.0,30,3.5862815380096436,97.09715308642963
local_sign+flat,4,0.95,0.8,1.0,50,3.6211605072021484,98.0414873712
local_sign+flat,4,0.95,0.8,1.0,80,3.693498134613037,100.0
local_sign+binary,4,0.95,0.8,1.0,30,4.533748149871826,96.74969287334903
local_sign+binary,4,0.95,0.8,1.0,50,4.5792765617370605,97.72126423535715
local_sign+binary,4,0.95,0.8,1.0,80,4.686059474945068,100.0
global_sign_pres,4,0.95,0.8,1.0,30,3.3363661766052246,97.14095153432378
global_sign_pres,4,0.95,0.8,1.0,50,3.384747266769409,98.54960540684291
global_sign_pres,4,0.95,0.8,1.0,80,3.4345619678497314,100.0
global_sign_pres_real_weight,4,0.95,0.8,1.0,30,2.9151880741119385,94.10552157929257
global_sign_pres_real_weight,4,0.95,0.8,1.0,50,3.0038435459136963,96.96741906331827
global_sign_pres_real_weight,4,0.95,0.8,1.0,80,3.0977864265441895,100.0
binary_base,4,0.95,0.8,1.0,30,4.237091064453125,97.19588793965029
binary_base,4,0.95,0.8,1.0,50,4.298623561859131,98.60740013788832
binary_base,4,0.95,0.8,1.0,80,4.3593316078186035,100.0
real,5,0.95,0.8,1.0,30,3.630156993865967,97.26536188941095
real,5,0.95,0.8,1.0,50,3.659668445587158,98.05608307210191
