model,d_max,mean_mc,std_mc,mean_capture_pct,std_capture_pct,n_runs
real,30,4.123964381217957,0.5596043184384132,97.44552295642907,0.5504235667563436,20
real,50,4.163377487659455,0.557562629892834,98.40051412901272,0.42164487363956277,20
real,80,4.230536925792694,0.5619697146752768,100.0,0.0,20
cel_randN,30,7.674370360374451,0.5966465139719368,98.53158303592781,0.3088942089453309,20
cel_randN,50,7.7162761926651005,0.5964070352749751,99.07347557030104,0.2559078642204579,20
cel_randN,80,7.788186764717102,0.5987933608243611,100.0,0.0,20
er_randN,30,8.898568487167358,0.41692362723680393,98.78648096708699,0.2804322594621137,20
er_randN,50,8.935145664215089,0.42286243481559366,99.19026847970675,0.24116497415943391,20
er_randN,80,9.008496475219726,0.434297660011639,100.0,0.0,20
ws_p01_randN,30,8.972792148590088,0.22343100335708596,98.88640158644345,0.23741509392756618,20
ws_p01_randN,50,9.015996551513672,0.23094529301728026,99.360565592437,0.14740329398002108,20
ws_p01_randN,80,9.074120235443115,0.23595087154820676,100.0,0.0,20
local_sign,30,5.442461013793945,0.7927942629126788,98.05507929089211,0.5241435099084333,20
local_sign,50,5.477589285373687,0.7937789782335051,98.70093676413398,0.4090656334774699,20
local_sign,80,5.548158001899719,0.7943933371025828,100.0,0.0,20
local_sign+flat,30,4.887342834472657,0.9743876185070799,97.61514075703664,0.7272685976603515,20
local_sign+flat,50,4.932471263408661,0.9792838414900169,98.53620296917255,0.5628667493372091,20
local_sign+flat,80,5.002243149280548,0.9752735463019863,100.0,0.0,20
local_sign+binary,30,4.276586782932282,0.6763021979222398,97.40693769770171,0.8996003458670654,20
local_sign+binary,50,4.319175171852112,0.6735171270614171,98.41285562193674,0.6257788287738293,20
local_sign+binary,80,4.386240804195404,0.6679642057561759,100.0,0.0,20
global_sign_pres,30,3.932356131076813,0.46584666979849443,97.24904506563578,0.717291025792481,20
global_sign_pres,50,3.9718727111816405,0.4663474230027181,98.2393946628307,0.652506507988581,20
global_sign_pres,80,4.04173002243042,0.4648675667593894,100.0,0.0,20
global_sign_pres_real_weight,30,4.159027147293091,0.7056946211118077,97.2099751614281,1.0815763377241978,20
global_sign_pres_real_weight,50,4.209033894538879,0.7001356850429221,98.43682453433577,0.577627232486238,20
global_sign_pres_real_weight,80,4.273058891296387,0.6940899104842617,100.0,0.0,20
binary_base,30,3.512174892425537,0.4484590264343693,96.89981277409002,0.5801885799354284,20
binary_base,50,3.556849730014801,0.4536039055756502,98.13527925580419,0.47056499784183076,20
binary_base,80,3.6231659650802612,0.45415408925018513,100.0,0.0,20
