metric,mode_a,mode_b,bound_ref,pval_v11,sig_v11,pval_frac025,sig_frac025,preserved_sig
GR,local_sign+binary,local_sign+flat,0.027211801315171476,0.9999996801744659,False,0.9830150010389738,False,False
GR,local_sign+binary,local_sign+sample,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+binary,real,0.027211801315171476,4.351039656099874e-62,True,5.9200442594768845e-09,True,True
GR,local_sign+binary,shuffle,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+binary,ws_p0.1+randN,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+flat,local_sign+sample,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+flat,real,0.027211801315171476,0.9974340581337847,False,0.24957684408180003,False,False
GR,local_sign+flat,shuffle,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+flat,ws_p0.1+randN,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+sample,real,0.027211801315171476,1.0,False,1.0,False,False
GR,local_sign+sample,shuffle,0.027211801315171476,5.425170192367405e-22,True,9.324124700693255e-06,True,True
GR,local_sign+sample,ws_p0.1+randN,0.027211801315171476,1.0,False,1.0,False,False
GR,real,shuffle,0.027211801315171476,1.0,False,1.0,False,False
GR,real,ws_p0.1+randN,0.027211801315171476,1.0,False,1.0,False,False
GR,shuffle,ws_p0.1+randN,0.027211801315171476,1.0,False,1.0,False,False
IPC,cel+randN,celW+connShuf,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,cel_sample,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,conn_shuf_only,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,er+randN,0.018328465587898697,0.14876855063979605,False,1.0,False,False
IPC,cel+randN,global_sign_pres,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,local_sign,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,local_sign+binary,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,local_sign+flat,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,local_sign+sample,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,real,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,shuffle,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel+randN,ws_p0.1+randN,0.018328465587898697,0.03624604777991577,True,1.0,False,False
IPC,celW+connShuf,cel_sample,0.018328465587898697,4.671479323695541e-10,True,0.042854326301050516,True,True
IPC,celW+connShuf,conn_shuf_only,0.018328465587898697,0.08537054367292221,False,0.0006247259198703122,True,False
IPC,celW+connShuf,er+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,celW+connShuf,global_sign_pres,0.018328465587898697,1.0,False,0.9794380659637174,False,False
IPC,celW+connShuf,local_sign,0.018328465587898697,0.9999999524407979,False,0.2359221657074912,False,False
IPC,celW+connShuf,local_sign+binary,0.018328465587898697,1.0,False,0.9990011430982801,False,False
IPC,celW+connShuf,local_sign+flat,0.018328465587898697,1.0,False,0.5564957038064231,False,False
IPC,celW+connShuf,local_sign+sample,0.018328465587898697,2.9083700466251428e-12,True,0.01699271556289712,True,True
IPC,celW+connShuf,real,0.018328465587898697,1.0,False,0.9999999999983781,False,False
IPC,celW+connShuf,shuffle,0.018328465587898697,4.618124219700352e-09,True,0.008577041369291662,True,True
IPC,celW+connShuf,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel_sample,conn_shuf_only,0.018328465587898697,0.0030401056552948995,True,0.00291818467843688,True,True
IPC,cel_sample,er+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,cel_sample,global_sign_pres,0.018328465587898697,1.0,False,0.38467901371267765,False,False
IPC,cel_sample,local_sign,0.018328465587898697,0.9999999999687118,False,0.0005333826821322812,True,False
IPC,cel_sample,local_sign+binary,0.018328465587898697,1.0,False,0.8217413697558582,False,False
IPC,cel_sample,local_sign+flat,0.018328465587898697,1.0,False,0.010134614273264047,True,False
IPC,cel_sample,local_sign+sample,0.018328465587898697,9.509176619498428e-08,True,0.00017191611551290234,True,True
IPC,cel_sample,real,0.018328465587898697,1.0,False,0.9999999812558068,False,False
IPC,cel_sample,shuffle,0.018328465587898697,2.939874610944007e-12,True,0.0005736904323017376,True,True
IPC,cel_sample,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,conn_shuf_only,er+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,conn_shuf_only,global_sign_pres,0.018328465587898697,1.0,False,0.9241275515269437,False,False
IPC,conn_shuf_only,local_sign,0.018328465587898697,1.0,False,0.05144773899520363,False,False
IPC,conn_shuf_only,local_sign+binary,0.018328465587898697,1.0,False,0.9955775172152441,False,False
IPC,conn_shuf_only,local_sign+flat,0.018328465587898697,1.0,False,0.2513911629020755,False,False
IPC,conn_shuf_only,local_sign+sample,0.018328465587898697,0.2960087233855646,False,0.0009360454872427158,True,False
IPC,conn_shuf_only,real,0.018328465587898697,1.0,False,0.9999999999984024,False,False
IPC,conn_shuf_only,shuffle,0.018328465587898697,0.0008343413877623022,True,0.0003577722556964673,True,True
IPC,conn_shuf_only,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,global_sign_pres,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,local_sign,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,local_sign+binary,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,local_sign+flat,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,local_sign+sample,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,real,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,shuffle,0.018328465587898697,1.0,False,1.0,False,False
IPC,er+randN,ws_p0.1+randN,0.018328465587898697,2.2646780285125838e-12,True,0.30842636681651325,False,False
IPC,global_sign_pres,local_sign,0.018328465587898697,0.9982862156158356,False,0.08578856884312415,False,False
IPC,global_sign_pres,local_sign+binary,0.018328465587898697,1.1404680914431884e-10,True,0.0005999495146368254,True,True
IPC,global_sign_pres,local_sign+flat,0.018328465587898697,0.0433673265360284,True,0.010814098100199733,True,True
IPC,global_sign_pres,local_sign+sample,0.018328465587898697,1.0,False,0.6119816883098035,False,False
IPC,global_sign_pres,real,0.018328465587898697,0.0029210232889966725,True,0.9430874081701905,False,False
IPC,global_sign_pres,shuffle,0.018328465587898697,1.0,False,0.7239160555111459,False,False
IPC,global_sign_pres,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,local_sign,local_sign+binary,0.018328465587898697,0.9999873568100273,False,0.4307245899559508,False,False
IPC,local_sign,local_sign+flat,0.018328465587898697,0.0004084126130205784,True,0.0005059561321554079,True,True
IPC,local_sign,local_sign+sample,0.018328465587898697,0.9999942078617876,False,0.0056404396591735045,True,False
IPC,local_sign,real,0.018328465587898697,0.014963030304220703,True,0.9999949640284371,False,False
IPC,local_sign,shuffle,0.018328465587898697,0.9999999999981481,False,0.01340511856681888,True,False
IPC,local_sign,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,local_sign+binary,local_sign+flat,0.018328465587898697,0.3797340799597727,False,0.13174412812297967,False,False
IPC,local_sign+binary,local_sign+sample,0.018328465587898697,1.0,False,0.9207641238049944,False,False
IPC,local_sign+binary,real,0.018328465587898697,0.08680140544836085,False,0.6483248604442677,False,False
IPC,local_sign+binary,shuffle,0.018328465587898697,1.0,False,0.9560002607366301,False,False
IPC,local_sign+binary,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,local_sign+flat,local_sign+sample,0.018328465587898697,1.0,False,0.05048302620650479,False,False
IPC,local_sign+flat,real,0.018328465587898697,3.152596015074852e-11,True,0.9997656355361373,False,False
IPC,local_sign+flat,shuffle,0.018328465587898697,1.0,False,0.09236754115163778,False,False
IPC,local_sign+flat,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,local_sign+sample,real,0.018328465587898697,1.0,False,0.9999999919994874,False,False
IPC,local_sign+sample,shuffle,0.018328465587898697,6.613353983250264e-07,True,0.00018534500684250297,True,True
IPC,local_sign+sample,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,real,shuffle,0.018328465587898697,1.0,False,0.9999999979249787,False,False
IPC,real,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
IPC,shuffle,ws_p0.1+randN,0.018328465587898697,1.0,False,1.0,False,False
KR,cel+randN,celW+connShuf,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,cel_sample,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,conn_shuf_only,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,er+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,global_sign_pres,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,local_sign,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,local_sign+binary,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,local_sign+flat,0.016923423084470788,1.0,False,1.0,False,False
