model,order,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
cel,1,2.6487447291612627,0.6349590189516525,2.6293477416038513,2.27121225013661
cel,2,0.007387739419937134,0.01962128895982483,0.0009222328662872314,0.006334745695441756
cel,3,1.1662250980734825,0.5437149373122588,1.2381201386451721,1.0
cel,4,3.505498170852661e-05,5.243265673192571e-05,4.26173210144043e-06,3.005850394270784e-05
cel,5,0.2520660847425461,0.29454977739571264,0.1504034698009491,0.21613844973748259
cel,6,0.0016768380999565124,0.005437466595105308,0.0,0.0014378340019662798
cel,7,0.021384556591510773,0.05826224389557423,0.0007504820823669434,0.018336560091903764
cel,8,0.005553187429904937,0.010448399122621445,0.0003756582736968994,0.004761677174568093
cel,9,0.0038045614957809447,0.016549976720602606,0.0,0.0032622874452503197
cel,10,0.0028838515281677246,0.007797260093832955,0.00015422701835632324,0.0024728086652667943
er,1,5.216419357061386,0.3322924266918271,5.2264708280563354,3.146652648432534
er,2,5.3763389587402344e-05,7.883337560504514e-05,1.5288591384887695e-05,3.243119478208755e-05
er,3,1.6577677741646766,0.3198934276395721,1.6108495593070984,1.0
er,4,8.195638656616211e-07,1.2513249558009844e-06,0.0,4.943779692391394e-07
er,5,0.0008352607488632202,0.004928240242139967,0.0,0.0005038466556536214
er,6,6.072968244552612e-05,0.00011357327322364746,0.0,3.663340752062023e-05
er,7,9.310394525527955e-05,0.00013091416094626173,9.626150131225586e-06,5.616223617460122e-05
er,8,7.645934820175171e-05,0.00011267413925784843,5.8710575103759766e-06,4.612186905387179e-05
er,9,8.707344532012939e-05,0.00012780428679812656,4.857778549194336e-06,5.252451319003613e-05
er,10,4.8500299453735354e-05,7.69439152863154e-05,0.0,2.925638935053729e-05
