dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,48,4812345,0.0,requested,297,3604,0,0.0,106.5088882446289,77.47783660888672,0.5999988317489624,0.005633332671935548,1000,100,0.5,1.0,85010,0.2862289562289562,85.01,61.98312518587465,195,36047,0.12137037037037036,closed,6527,3.8929063888463307,0.818883549422692,0.03667719408504558,0.02911175922533852,0.005633332766592503,0.2722777525583903,0.7175819986832869,0.31270514310059905,0.0,1.7674418613592404
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,48,4812345,0.5,requested,297,3604,1802,0.5,48.24325180053711,77.47783660888672,0.6000001430511475,0.012436972583869646,1000,100,0.5,1.0,92357,0.31096632996632995,92.357,59.10218794274557,211,39548,0.13315824915824917,closed,6527,3.8929063888463307,0.818883549422692,0.08097396117163393,0.06427139596501741,0.012436972931027412,0.6011203626791636,0.7175819979466148,0.3127051430888583,0.0,1.7674418612751042
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,48,4812345,0.0,requested,297,3604,0,0.0,106.5088882446289,77.47783660888672,0.7999996542930603,0.007511110229247398,1000,100,0.5,1.0,87627,0.29504040404040405,87.627,61.214549676462475,202,37330,0.12569023569023569,closed,6527,3.8929063888463307,0.818883549422692,0.048902923108724586,0.03881567710664619,0.007511110045015812,0.36303699016571045,0.717581997325698,0.3127051428218198,0.0,1.7674418557709644
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,48,4812345,0.5,requested,297,3604,1802,0.5,48.24325180053711,77.47783660888672,0.7999998927116394,0.016582630111826195,1000,100,0.5,1.0,97871,0.3295319865319865,97.871,57.17898035812457,220,41079,0.1383131313131313,closed,6527,3.8929063888463307,0.818883549422692,0.10796528110045389,0.08569519397175981,0.016582630574703217,0.8014938135941824,0.7175819988674854,0.3127051444350482,0.0,1.767441867755007
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,48,4812345,0.0,requested,297,3604,0,0.0,106.5088882446289,77.47783660888672,0.9500000476837158,0.008919443397231283,1000,100,0.5,1.0,89944,0.30284175084175086,89.944,60.34063188147648,208,38151,0.12845454545454546,closed,6527,3.8929063888463307,0.818883549422692,0.05807221956990268,0.04609361545604587,0.008919443003833294,0.43110641837120056,0.7175819976717622,0.31270514557947854,0.0,1.7674418621592463
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,48,4812345,0.5,requested,297,3604,1802,0.5,48.24325180053711,77.47783660888672,0.9500008821487427,0.019691873257793608,1000,100,0.5,1.0,102059,0.3436329966329966,102.059,55.61268101152191,230,42225,0.14217171717171717,closed,6527,3.8929063888463307,0.818883549422692,0.12820876771414355,0.10176304032988093,0.019691873341798782,0.951773871978124,0.7175819977279521,0.3127051451541725,0.0,1.7674418655808293
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,48,4812345,0.0,requested,297,3604,0,0.0,106.5088882446289,77.47783660888672,1.0499987602233887,0.009858332175887208,1000,100,0.5,1.0,91636,0.30853872053872056,91.636,59.65479191312462,208,38705,0.1303198653198653,closed,6527,3.8929063888463307,0.818883549422692,0.06418509076268439,0.05094557949617685,0.009858332574367523,0.47648607691129047,0.7175819991091736,0.3127051450570485,0.0,1.7674418563776917
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,48,4812345,0.5,requested,297,3604,1802,0.5,48.24325180053711,77.47783660888672,1.0500038862228394,0.021764702021771883,1000,100,0.5,1.0,104938,0.3533265993265993,104.938,54.45588673044999,231,43030,0.1448821548821549,closed,6527,3.8929063888463307,0.818883549422692,0.14170442152672105,0.11247493430559563,0.02176470123231411,1.051960527896881,0.7175819982323682,0.31270514498617225,0.0,1.767441865556469
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,49,4912345,0.0,requested,297,3604,0,0.0,106.5088882446289,71.41597747802734,0.5999988317489624,0.005633332671935548,1000,100,0.5,1.0,76352,0.25707744107744107,76.352,60.628193721022846,195,36201,0.1218888888888889,closed,6527,3.8929063888463307,0.818883549422692,0.03667719408504558,0.02911175922533852,0.005633332766592503,0.2722777525583903,0.7175819986832869,0.31270514310059905,0.0,1.7674418613592404
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,49,4912345,0.5,requested,297,3604,1802,0.5,40.237796783447266,71.41597747802734,0.5999993681907654,0.014911353204279406,1000,100,0.5,1.0,85056,0.2863838383838384,85.056,56.733848746525155,227,39795,0.133989898989899,closed,6527,3.8929063888463307,0.818883549422692,0.09708402243142572,0.07705842151492319,0.014911353588104248,0.7207154234250387,0.7175819983192023,0.3127051444336499,0.0,1.767441860465116
