mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
real,46,0.6,0.6,0.1,6.012983798980713,6.398787617683411,2.2768824100494385,2.3521456718444824,chunk_18
real,46,0.6,0.6,0.5,5.528738021850586,8.05860811471939,2.9570157527923584,4.206768035888672,chunk_18
real,46,0.6,0.6,1.0,2.6495516300201416,4.73915958404541,3.185353994369507,5.397693634033203,chunk_18
real,46,0.6,0.6,1.5,1.2491908073425293,1.976110577583313,3.325550079345703,6.550111293792725,chunk_18
real,46,0.6,0.8,0.1,6.954620361328125,7.782426238059998,2.4429774284362793,2.5422959327697754,chunk_18
real,46,0.6,0.8,0.5,5.285240650177002,8.126697063446045,3.3173224925994873,5.105332374572754,chunk_18
real,46,0.6,0.8,1.0,4.093016624450684,5.959306120872498,3.817042350769043,7.231810569763184,chunk_18
real,46,0.6,0.8,1.5,2.8914706707000732,4.238142549991608,3.958116292953491,8.19466781616211,chunk_18
real,46,0.6,1.0,0.1,7.510528564453125,9.37398511171341,2.6683948040008545,2.827193021774292,chunk_18
real,46,0.6,1.0,0.5,5.390776634216309,7.70085346698761,3.784177303314209,5.623485088348389,chunk_18
real,46,0.6,1.0,1.0,4.814503192901611,6.783649504184723,4.385311126708984,8.449834823608398,chunk_18
real,46,0.6,1.0,1.5,4.173477649688721,5.966696739196777,5.111454963684082,11.480840682983398,chunk_18
real,46,0.8,0.6,0.1,7.613994121551514,9.236228883266449,2.935004472732544,3.100572109222412,chunk_18
real,46,0.8,0.6,0.5,4.854389190673828,8.121180415153503,3.66778302192688,5.366329669952393,chunk_18
real,46,0.8,0.6,1.0,2.7328543663024902,3.269153416156769,4.777817249298096,9.308932304382324,chunk_18
real,46,0.8,0.6,1.5,1.0485947132110596,2.208764374256134,5.244904518127441,10.928086280822754,chunk_18
real,46,0.8,0.8,0.1,9.381731033325195,10.632792890071869,3.3773305416107178,3.5281121730804443,chunk_18
real,46,0.8,0.8,0.5,5.194334983825684,7.837325096130371,4.576619625091553,7.177516460418701,chunk_18
real,46,0.8,0.8,1.0,3.5644493103027344,5.5917558670043945,5.632958889007568,11.640786170959473,chunk_18
real,46,0.8,0.8,1.5,2.4317026138305664,3.4310019612312317,5.968342304229736,13.676219940185547,chunk_18
real,46,0.8,1.0,0.1,10.172331809997559,11.950746238231659,3.808701276779175,4.022747039794922,chunk_18
real,46,0.8,1.0,0.5,7.7632293701171875,11.950961828231812,5.603972911834717,9.323416709899902,chunk_18
real,46,0.8,1.0,1.0,3.174440860748291,5.126117646694183,6.6782426834106445,13.578557968139648,chunk_18
real,46,0.8,1.0,1.5,3.5613012313842773,4.641774773597717,7.314247131347656,17.36747932434082,chunk_18
real,46,0.95,0.6,0.1,9.82404613494873,10.902646899223328,4.364010810852051,4.539380073547363,chunk_18
real,46,0.95,0.6,0.5,5.369959831237793,8.302084386348724,5.464371204376221,8.569695472717285,chunk_18
real,46,0.95,0.6,1.0,1.1545355319976807,2.0859241485595703,7.025700569152832,14.301103591918945,chunk_18
real,46,0.95,0.6,1.5,2.0969510078430176,2.3561007976531982,6.372744083404541,14.228259086608887,chunk_18
real,46,0.95,0.8,0.1,10.730648040771484,11.551880776882172,4.674116611480713,4.907074928283691,chunk_18
real,46,0.95,0.8,0.5,7.009487152099609,10.347916841506958,6.014358043670654,9.814589500427246,chunk_18
real,46,0.95,0.8,1.0,4.654561519622803,5.750816702842712,8.443602561950684,18.025325775146484,chunk_18
