model,seed,rho_target,leak,input_scale,order,ipc_contrib
local_sign+flat,0,0.95,0.8,1.0,3,0.824368417263031
local_sign+flat,0,0.95,0.8,1.0,4,2.187490463256836e-05
local_sign+flat,0,0.95,0.8,1.0,5,0.3712660074234009
local_sign+flat,0,0.95,0.8,1.0,6,0.0
local_sign+flat,0,0.95,0.8,1.0,7,0.0063988566398620605
local_sign+flat,0,0.95,0.8,1.0,8,0.0
local_sign+flat,0,0.95,0.8,1.0,9,0.002839505672454834
local_sign+flat,0,0.95,0.8,1.0,10,0.0
local_sign+sample,0,0.95,0.8,1.0,1,1.9937956929206848
local_sign+sample,0,0.95,0.8,1.0,2,0.00027501583099365234
local_sign+sample,0,0.95,0.8,1.0,3,0.9883303046226501
local_sign+sample,0,0.95,0.8,1.0,4,1.2695789337158203e-05
local_sign+sample,0,0.95,0.8,1.0,5,0.8165905475616455
local_sign+sample,0,0.95,0.8,1.0,6,0.0
local_sign+sample,0,0.95,0.8,1.0,7,0.4218308925628662
local_sign+sample,0,0.95,0.8,1.0,8,0.0015208721160888672
local_sign+sample,0,0.95,0.8,1.0,9,0.0
local_sign+sample,0,0.95,0.8,1.0,10,7.164478302001953e-05
local_sign+binary,0,0.95,0.8,1.0,1,2.8829391598701477
local_sign+binary,0,0.95,0.8,1.0,2,0.0001717209815979004
local_sign+binary,0,0.95,0.8,1.0,3,1.5910265445709229
local_sign+binary,0,0.95,0.8,1.0,4,1.704692840576172e-05
local_sign+binary,0,0.95,0.8,1.0,5,0.02671647071838379
local_sign+binary,0,0.95,0.8,1.0,6,0.00012731552124023438
local_sign+binary,0,0.95,0.8,1.0,7,0.0021075010299682617
local_sign+binary,0,0.95,0.8,1.0,8,0.0020705461502075195
local_sign+binary,0,0.95,0.8,1.0,9,0.06362473964691162
local_sign+binary,0,0.95,0.8,1.0,10,0.002695620059967041
global_sign_pres,0,0.95,0.8,1.0,1,2.4904831647872925
global_sign_pres,0,0.95,0.8,1.0,2,0.0006538033485412598
global_sign_pres,0,0.95,0.8,1.0,3,0.9861564636230469
global_sign_pres,0,0.95,0.8,1.0,4,0.0
global_sign_pres,0,0.95,0.8,1.0,5,1.1220561265945435
global_sign_pres,0,0.95,0.8,1.0,6,0.0007785558700561523
global_sign_pres,0,0.95,0.8,1.0,7,0.04936093091964722
global_sign_pres,0,0.95,0.8,1.0,8,0.005677163600921631
global_sign_pres,0,0.95,0.8,1.0,9,0.0
global_sign_pres,0,0.95,0.8,1.0,10,0.0021371841430664062
binary+shuffle,0,0.95,0.8,1.0,1,2.7863506078720093
binary+shuffle,0,0.95,0.8,1.0,2,0.0
binary+shuffle,0,0.95,0.8,1.0,3,1.7301307916641235
binary+shuffle,0,0.95,0.8,1.0,4,0.0
binary+shuffle,0,0.95,0.8,1.0,5,0.0
binary+shuffle,0,0.95,0.8,1.0,6,0.0
binary+shuffle,0,0.95,0.8,1.0,7,0.01838374137878418
binary+shuffle,0,0.95,0.8,1.0,8,0.0
binary+shuffle,0,0.95,0.8,1.0,9,0.0116349458694458
binary+shuffle,0,0.95,0.8,1.0,10,0.0
real,1,0.95,0.8,1.0,1,2.764839768409729
real,1,0.95,0.8,1.0,2,0.0007137060165405273
real,1,0.95,0.8,1.0,3,1.5347641110420227
real,1,0.95,0.8,1.0,4,5.513429641723633e-05
real,1,0.95,0.8,1.0,5,0.7724354863166809
real,1,0.95,0.8,1.0,6,0.002539396286010742
real,1,0.95,0.8,1.0,7,0.0
real,1,0.95,0.8,1.0,8,0.0007104873657226562
real,1,0.95,0.8,1.0,9,0.0
real,1,0.95,0.8,1.0,10,0.0008995532989501953
shuffle_weights,1,0.95,0.8,1.0,1,2.573592960834503
shuffle_weights,1,0.95,0.8,1.0,2,0.00026041269302368164
shuffle_weights,1,0.95,0.8,1.0,3,0.9668696522712708
shuffle_weights,1,0.95,0.8,1.0,4,0.0
shuffle_weights,1,0.95,0.8,1.0,5,0.4968358278274536
shuffle_weights,1,0.95,0.8,1.0,6,0.002855956554412842
shuffle_weights,1,0.95,0.8,1.0,7,0.0
shuffle_weights,1,0.95,0.8,1.0,8,0.0
shuffle_weights,1,0.95,0.8,1.0,9,0.001254737377166748
shuffle_weights,1,0.95,0.8,1.0,10,0.001573026180267334
cel_randN,1,0.95,0.8,1.0,1,7.059230923652649
cel_randN,1,0.95,0.8,1.0,2,1.138448715209961e-05
cel_randN,1,0.95,0.8,1.0,3,3.6545481085777283
cel_randN,1,0.95,0.8,1.0,4,0.0
cel_randN,1,0.95,0.8,1.0,5,1.2259454727172852
cel_randN,1,0.95,0.8,1.0,6,0.0
cel_randN,1,0.95,0.8,1.0,7,0.0005421638488769531
cel_randN,1,0.95,0.8,1.0,8,0.0
cel_randN,1,0.95,0.8,1.0,9,0.0
cel_randN,1,0.95,0.8,1.0,10,0.00017011165618896484
er_randN,1,0.95,0.8,1.0,1,8.610758900642395
er_randN,1,0.95,0.8,1.0,2,0.0
er_randN,1,0.95,0.8,1.0,3,4.123869061470032
er_randN,1,0.95,0.8,1.0,4,1.9073486328125e-06
er_randN,1,0.95,0.8,1.0,5,0.9081506133079529
er_randN,1,0.95,0.8,1.0,6,5.364418029785156e-07
er_randN,1,0.95,0.8,1.0,7,0.0
er_randN,1,0.95,0.8,1.0,8,1.1801719665527344e-05
er_randN,1,0.95,0.8,1.0,9,0.0
er_randN,1,0.95,0.8,1.0,10,1.3709068298339844e-05
ws_p01_randN,1,0.95,0.8,1.0,1,8.388348877429962
ws_p01_randN,1,0.95,0.8,1.0,2,2.2649765014648438e-06
ws_p01_randN,1,0.95,0.8,1.0,3,4.317817449569702
ws_p01_randN,1,0.95,0.8,1.0,4,0.0
ws_p01_randN,1,0.95,0.8,1.0,5,1.098349153995514
ws_p01_randN,1,0.95,0.8,1.0,6,7.212162017822266e-06
ws_p01_randN,1,0.95,0.8,1.0,7,0.05090576410293579
ws_p01_randN,1,0.95,0.8,1.0,8,0.0
ws_p01_randN,1,0.95,0.8,1.0,9,1.52587890625e-05
ws_p01_randN,1,0.95,0.8,1.0,10,0.0
conn_shuf,1,0.95,0.8,1.0,1,3.0881773829460144
conn_shuf,1,0.95,0.8,1.0,2,0.0012118816375732422
conn_shuf,1,0.95,0.8,1.0,3,1.3273590207099915
conn_shuf,1,0.95,0.8,1.0,4,0.0
conn_shuf,1,0.95,0.8,1.0,5,0.0
conn_shuf,1,0.95,0.8,1.0,6,0.0007519721984863281
conn_shuf,1,0.95,0.8,1.0,7,0.00018769502639770508
conn_shuf,1,0.95,0.8,1.0,8,0.00026345252990722656
conn_shuf,1,0.95,0.8,1.0,9,0.0
conn_shuf,1,0.95,0.8,1.0,10,0.0
local_sign,1,0.95,0.8,1.0,1,2.1376319527626038
local_sign,1,0.95,0.8,1.0,2,0.0
local_sign,1,0.95,0.8,1.0,3,0.9524034261703491
local_sign,1,0.95,0.8,1.0,4,2.3305416107177734e-05
local_sign,1,0.95,0.8,1.0,5,0.0
local_sign,1,0.95,0.8,1.0,6,0.0
local_sign,1,0.95,0.8,1.0,7,0.0013104081153869629
local_sign,1,0.95,0.8,1.0,8,0.0
local_sign,1,0.95,0.8,1.0,9,0.0006112456321716309
local_sign,1,0.95,0.8,1.0,10,0.0
conn_shuf_only,1,0.95,0.8,1.0,1,3.0739811658859253
conn_shuf_only,1,0.95,0.8,1.0,2,0.0
conn_shuf_only,1,0.95,0.8,1.0,3,1.6998417377471924
conn_shuf_only,1,0.95,0.8,1.0,4,1.8656253814697266e-05
conn_shuf_only,1,0.95,0.8,1.0,5,0.7054732441902161
conn_shuf_only,1,0.95,0.8,1.0,6,0.0011586546897888184
conn_shuf_only,1,0.95,0.8,1.0,7,0.0
conn_shuf_only,1,0.95,0.8,1.0,8,0.0010237693786621094
conn_shuf_only,1,0.95,0.8,1.0,9,0.00017756223678588867
conn_shuf_only,1,0.95,0.8,1.0,10,0.0004981160163879395
cel_sample,1,0.95,0.8,1.0,1,1.4352166056632996
cel_sample,1,0.95,0.8,1.0,2,0.008162200450897217
cel_sample,1,0.95,0.8,1.0,3,1.3343954682350159
cel_sample,1,0.95,0.8,1.0,4,5.632638931274414e-05
cel_sample,1,0.95,0.8,1.0,5,0.0
cel_sample,1,0.95,0.8,1.0,6,0.0
cel_sample,1,0.95,0.8,1.0,7,0.0
cel_sample,1,0.95,0.8,1.0,8,0.026127636432647705
cel_sample,1,0.95,0.8,1.0,9,0.0
cel_sample,1,0.95,0.8,1.0,10,0.011247992515563965
local_sign+flat,1,0.95,0.8,1.0,1,2.9010079503059387
local_sign+flat,1,0.95,0.8,1.0,2,0.001972675323486328
local_sign+flat,1,0.95,0.8,1.0,3,1.4114357829093933
local_sign+flat,1,0.95,0.8,1.0,4,1.4424324035644531e-05
local_sign+flat,1,0.95,0.8,1.0,5,0.27684181928634644
local_sign+flat,1,0.95,0.8,1.0,6,0.0
local_sign+flat,1,0.95,0.8,1.0,7,0.0
local_sign+flat,1,0.95,0.8,1.0,8,0.006316661834716797
local_sign+flat,1,0.95,0.8,1.0,9,0.0
local_sign+flat,1,0.95,0.8,1.0,10,0.0033295750617980957
local_sign+sample,1,0.95,0.8,1.0,1,2.1390506625175476
local_sign+sample,1,0.95,0.8,1.0,2,8.511543273925781e-05
local_sign+sample,1,0.95,0.8,1.0,3,1.2433335781097412
local_sign+sample,1,0.95,0.8,1.0,4,0.0
local_sign+sample,1,0.95,0.8,1.0,5,0.0
local_sign+sample,1,0.95,0.8,1.0,6,0.0
local_sign+sample,1,0.95,0.8,1.0,7,0.0019012689590454102
local_sign+sample,1,0.95,0.8,1.0,8,0.0
local_sign+sample,1,0.95,0.8,1.0,9,0.0
local_sign+sample,1,0.95,0.8,1.0,10,0.0
local_sign+binary,1,0.95,0.8,1.0,1,2.180172622203827
local_sign+binary,1,0.95,0.8,1.0,2,0.0
local_sign+binary,1,0.95,0.8,1.0,3,0.08109468221664429
local_sign+binary,1,0.95,0.8,1.0,4,0.0
local_sign+binary,1,0.95,0.8,1.0,5,0.12435948848724365
local_sign+binary,1,0.95,0.8,1.0,6,0.003837406635284424
local_sign+binary,1,0.95,0.8,1.0,7,0.3073279857635498
local_sign+binary,1,0.95,0.8,1.0,8,0.0
local_sign+binary,1,0.95,0.8,1.0,9,0.0027315616607666016
local_sign+binary,1,0.95,0.8,1.0,10,0.0
global_sign_pres,1,0.95,0.8,1.0,1,3.1306777000427246
global_sign_pres,1,0.95,0.8,1.0,2,0.0002791881561279297
global_sign_pres,1,0.95,0.8,1.0,3,0.0
global_sign_pres,1,0.95,0.8,1.0,4,0.0
global_sign_pres,1,0.95,0.8,1.0,5,0.12659567594528198
global_sign_pres,1,0.95,0.8,1.0,6,0.0
global_sign_pres,1,0.95,0.8,1.0,7,0.0
global_sign_pres,1,0.95,0.8,1.0,8,0.026356816291809082
global_sign_pres,1,0.95,0.8,1.0,9,0.0
global_sign_pres,1,0.95,0.8,1.0,10,0.030604779720306396
binary+shuffle,1,0.95,0.8,1.0,1,2.8826425075531006
binary+shuffle,1,0.95,0.8,1.0,2,0.0
binary+shuffle,1,0.95,0.8,1.0,3,0.6614431738853455
binary+shuffle,1,0.95,0.8,1.0,4,1.7464160919189453e-05
binary+shuffle,1,0.95,0.8,1.0,5,0.4404759407043457
binary+shuffle,1,0.95,0.8,1.0,6,0.0
binary+shuffle,1,0.95,0.8,1.0,7,0.007336556911468506
binary+shuffle,1,0.95,0.8,1.0,8,0.003401815891265869
binary+shuffle,1,0.95,0.8,1.0,9,0.0
binary+shuffle,1,0.95,0.8,1.0,10,0.0
real,2,0.95,0.8,1.0,1,2.879848301410675
real,2,0.95,0.8,1.0,2,0.00030559301376342773
real,2,0.95,0.8,1.0,3,1.1210903525352478
real,2,0.95,0.8,1.0,4,2.771615982055664e-05
real,2,0.95,0.8,1.0,5,0.011355757713317871
real,2,0.95,0.8,1.0,6,0.0
real,2,0.95,0.8,1.0,7,0.016014516353607178
real,2,0.95,0.8,1.0,8,0.0015489459037780762
real,2,0.95,0.8,1.0,9,0.0
real,2,0.95,0.8,1.0,10,8.279085159301758e-05
shuffle_weights,2,0.95,0.8,1.0,1,2.4480579495429993
shuffle_weights,2,0.95,0.8,1.0,2,0.00045806169509887695
shuffle_weights,2,0.95,0.8,1.0,3,1.6599915027618408
shuffle_weights,2,0.95,0.8,1.0,4,0.0
shuffle_weights,2,0.95,0.8,1.0,5,0.44927746057510376
shuffle_weights,2,0.95,0.8,1.0,6,0.0
shuffle_weights,2,0.95,0.8,1.0,7,0.0
shuffle_weights,2,0.95,0.8,1.0,8,0.0012496709823608398
shuffle_weights,2,0.95,0.8,1.0,9,0.0
shuffle_weights,2,0.95,0.8,1.0,10,0.00031512975692749023
cel_randN,2,0.95,0.8,1.0,1,6.632277309894562
cel_randN,2,0.95,0.8,1.0,2,0.0007843375205993652
cel_randN,2,0.95,0.8,1.0,3,2.7994110584259033
cel_randN,2,0.95,0.8,1.0,4,1.0967254638671875e-05
cel_randN,2,0.95,0.8,1.0,5,0.7924659252166748
cel_randN,2,0.95,0.8,1.0,6,0.0
cel_randN,2,0.95,0.8,1.0,7,0.0
cel_randN,2,0.95,0.8,1.0,8,0.0026116371154785156
cel_randN,2,0.95,0.8,1.0,9,0.0
cel_randN,2,0.95,0.8,1.0,10,0.0018627643585205078
er_randN,2,0.95,0.8,1.0,1,8.501224935054779
er_randN,2,0.95,0.8,1.0,2,0.0
er_randN,2,0.95,0.8,1.0,3,3.912098526954651
er_randN,2,0.95,0.8,1.0,4,0.0
er_randN,2,0.95,0.8,1.0,5,0.5882368087768555
er_randN,2,0.95,0.8,1.0,6,0.0
er_randN,2,0.95,0.8,1.0,7,0.0
er_randN,2,0.95,0.8,1.0,8,1.2516975402832031e-06
er_randN,2,0.95,0.8,1.0,9,0.0
er_randN,2,0.95,0.8,1.0,10,8.58306884765625e-06
ws_p01_randN,2,0.95,0.8,1.0,1,8.571837842464447
ws_p01_randN,2,0.95,0.8,1.0,2,5.0067901611328125e-06
ws_p01_randN,2,0.95,0.8,1.0,3,4.076910376548767
ws_p01_randN,2,0.95,0.8,1.0,4,0.0
ws_p01_randN,2,0.95,0.8,1.0,5,0.8363461494445801
ws_p01_randN,2,0.95,0.8,1.0,6,0.0
ws_p01_randN,2,0.95,0.8,1.0,7,0.0
ws_p01_randN,2,0.95,0.8,1.0,8,1.2218952178955078e-05
ws_p01_randN,2,0.95,0.8,1.0,9,0.0
ws_p01_randN,2,0.95,0.8,1.0,10,3.516674041748047e-06
conn_shuf,2,0.95,0.8,1.0,1,3.1094409823417664
conn_shuf,2,0.95,0.8,1.0,2,0.0
conn_shuf,2,0.95,0.8,1.0,3,1.2067906856536865
conn_shuf,2,0.95,0.8,1.0,4,0.0
conn_shuf,2,0.95,0.8,1.0,5,0.0017748475074768066
conn_shuf,2,0.95,0.8,1.0,6,0.00019550323486328125
conn_shuf,2,0.95,0.8,1.0,7,0.0
conn_shuf,2,0.95,0.8,1.0,8,0.0
conn_shuf,2,0.95,0.8,1.0,9,0.003575623035430908
conn_shuf,2,0.95,0.8,1.0,10,0.0
local_sign,2,0.95,0.8,1.0,1,2.158002734184265
local_sign,2,0.95,0.8,1.0,2,0.0
local_sign,2,0.95,0.8,1.0,3,0.034570395946502686
local_sign,2,0.95,0.8,1.0,4,0.0
local_sign,2,0.95,0.8,1.0,5,0.28582024574279785
local_sign,2,0.95,0.8,1.0,6,0.0
local_sign,2,0.95,0.8,1.0,7,3.147125244140625e-05
local_sign,2,0.95,0.8,1.0,8,0.0
local_sign,2,0.95,0.8,1.0,9,0.15463370084762573
local_sign,2,0.95,0.8,1.0,10,0.0
conn_shuf_only,2,0.95,0.8,1.0,1,2.82522052526474
conn_shuf_only,2,0.95,0.8,1.0,2,0.0
conn_shuf_only,2,0.95,0.8,1.0,3,0.9700127840042114
conn_shuf_only,2,0.95,0.8,1.0,4,1.3709068298339844e-06
conn_shuf_only,2,0.95,0.8,1.0,5,0.3930557370185852
conn_shuf_only,2,0.95,0.8,1.0,6,9.995698928833008e-05
conn_shuf_only,2,0.95,0.8,1.0,7,0.0009290575981140137
conn_shuf_only,2,0.95,0.8,1.0,8,0.0
conn_shuf_only,2,0.95,0.8,1.0,9,0.0021480321884155273
conn_shuf_only,2,0.95,0.8,1.0,10,0.0
cel_sample,2,0.95,0.8,1.0,1,2.319518804550171
cel_sample,2,0.95,0.8,1.0,2,0.000433504581451416
cel_sample,2,0.95,0.8,1.0,3,0.8361711502075195
cel_sample,2,0.95,0.8,1.0,4,0.0
cel_sample,2,0.95,0.8,1.0,5,0.0027375221252441406
cel_sample,2,0.95,0.8,1.0,6,0.0
cel_sample,2,0.95,0.8,1.0,7,0.0020720362663269043
cel_sample,2,0.95,0.8,1.0,8,0.0
cel_sample,2,0.95,0.8,1.0,9,0.004567563533782959
cel_sample,2,0.95,0.8,1.0,10,0.0
local_sign+flat,2,0.95,0.8,1.0,1,4.085262596607208
local_sign+flat,2,0.95,0.8,1.0,2,0.0002759695053100586
local_sign+flat,2,0.95,0.8,1.0,3,1.1334654092788696
local_sign+flat,2,0.95,0.8,1.0,4,0.0
local_sign+flat,2,0.95,0.8,1.0,5,0.0005271434783935547
local_sign+flat,2,0.95,0.8,1.0,6,0.0
local_sign+flat,2,0.95,0.8,1.0,7,0.0
local_sign+flat,2,0.95,0.8,1.0,8,0.0002276897430419922
local_sign+flat,2,0.95,0.8,1.0,9,0.0
local_sign+flat,2,0.95,0.8,1.0,10,0.0006908178329467773
local_sign+sample,2,0.95,0.8,1.0,1,3.842370092868805
local_sign+sample,2,0.95,0.8,1.0,2,0.0008524656295776367
local_sign+sample,2,0.95,0.8,1.0,3,1.9005132913589478
local_sign+sample,2,0.95,0.8,1.0,4,2.384185791015625e-07
