mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
weight_test0.0,0,0.6,0.6,0.1,4.23709774017334,4.561669290065765,1.430155634880066,1.4804461002349854,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.6,0.5,3.872459888458252,5.063494026660919,1.780045986175537,2.2535247802734375,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.6,1.0,2.382540702819824,3.270797073841095,1.957404375076294,2.989520311355591,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.6,1.5,2.7091541290283203,4.02278733253479,2.127713918685913,3.692162036895752,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.8,0.1,4.397701263427734,4.728630244731903,1.581675410270691,1.638919711112976,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.8,0.5,4.723339557647705,6.796026647090912,1.825955867767334,2.342621088027954,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.8,1.0,1.9131348133087158,2.2208667397499084,2.139082431793213,3.4261422157287598,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,0.8,1.5,2.84739089012146,4.385182440280914,2.2747795581817627,3.774470806121826,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,1.0,0.1,4.741626739501953,5.510111510753632,1.5289286375045776,1.5909032821655273,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,1.0,0.5,4.619017601013184,6.501199007034302,1.9533329010009766,2.6424009799957275,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,1.0,1.0,3.855912208557129,4.249412953853607,2.265454053878784,3.728302001953125,0.0013699823757633567,chunk_0
weight_test0.0,0,0.6,1.0,1.5,2.1327173709869385,3.094793736934662,2.4367501735687256,4.2709503173828125,0.0013699823757633567,chunk_0
weight_test0.0,0,0.8,0.6,0.1,5.101709842681885,5.4623313546180725,2.1670868396759033,2.2182095050811768,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.6,0.5,4.623157501220703,6.939484417438507,1.9208074808120728,2.582209825515747,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.6,1.0,2.91721248626709,4.003379285335541,2.721829414367676,4.229759693145752,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.6,1.5,1.801056146621704,2.1941842436790466,2.6900739669799805,4.759490966796875,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.8,0.1,5.607719421386719,6.178962290287018,1.9465411901474,2.024803400039673,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.8,0.5,4.673601150512695,6.384330689907074,1.9362995624542236,2.4798638820648193,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.8,1.0,3.2684199810028076,5.349547445774078,2.5536248683929443,4.342098236083984,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,0.8,1.5,2.694920063018799,3.780887186527252,2.7299044132232666,5.203726768493652,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,1.0,0.1,6.033790588378906,6.7237788438797,2.151315689086914,2.222334146499634,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,1.0,0.5,4.579949378967285,6.3418994545936584,2.594097852706909,3.604465961456299,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,1.0,1.0,3.784475803375244,6.416337847709656,2.595895767211914,4.386744022369385,0.001826643361710012,chunk_0
weight_test0.0,0,0.8,1.0,1.5,3.0129518508911133,4.51882141828537,3.145859479904175,6.085744857788086,0.001826643361710012,chunk_0
weight_test0.0,0,0.95,0.6,0.1,5.179815769195557,5.399385988712311,2.207515001296997,2.330418825149536,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.6,0.5,3.999692440032959,5.522512197494507,2.5120439529418945,3.3787295818328857,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.6,1.0,2.7748429775238037,3.456717014312744,3.0395054817199707,4.950958251953125,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.6,1.5,2.667872667312622,4.564750552177429,2.806806802749634,4.970906734466553,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.8,0.1,6.7514119148254395,7.124886155128479,2.386861562728882,2.4337668418884277,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.8,0.5,4.871412754058838,6.870686888694763,2.9964451789855957,4.176636219024658,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.8,1.0,2.8970370292663574,4.202641785144806,2.7831296920776367,4.793420314788818,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,0.8,1.5,3.1286215782165527,4.082958281040192,3.263174295425415,6.320018291473389,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,1.0,0.1,7.012918472290039,7.7111687660217285,2.8252110481262207,2.9950413703918457,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,1.0,0.5,6.246495246887207,8.439399302005768,2.86151123046875,3.9538722038269043,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,1.0,1.0,3.660853147506714,5.253091037273407,3.5204787254333496,6.147812366485596,0.002169138751924038,chunk_0
weight_test0.0,0,0.95,1.0,1.5,3.843942165374756,6.173064649105072,4.218765735626221,8.682478904724121,0.002169138751924038,chunk_0
weight_test0.0,0,1.05,0.6,0.1,4.826497554779053,6.393690586090088,3.139906883239746,3.42983078956604,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,0.6,0.5,5.149397850036621,7.481688499450684,3.0751006603240967,4.264682292938232,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,0.6,1.0,2.3769941329956055,3.831530272960663,3.5767128467559814,5.837161540985107,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,0.6,1.5,1.8254444599151611,3.6735759377479553,3.4825239181518555,6.449432373046875,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,0.8,0.1,4.26396369934082,6.45287549495697,2.6066367626190186,2.9211201667785645,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,0.8,0.5,4.915385723114014,7.398509979248047,3.0746936798095703,4.129973411560059,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,0.8,1.0,3.2008726596832275,4.223100304603577,3.6401383876800537,6.509977340698242,0.0023974692448973656,chunk_0
