config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,real,10,0.6,0.6,0.1,500,1500,500,4.430768013000488,100.0
baseline,shuffle_weights,10,0.6,0.6,0.1,500,1500,500,4.95404577255249,100.0
baseline,cel_randN,10,0.6,0.6,0.1,500,1500,500,7.601981163024902,100.0
baseline,er_randN,10,0.6,0.6,0.1,500,1500,500,7.934652328491211,100.0
baseline,ws_p01_randN,10,0.6,0.6,0.1,500,1500,500,8.452717781066895,100.0
baseline,conn_shuf,10,0.6,0.6,0.1,500,1500,500,5.080951690673828,100.0
baseline,local_sign,10,0.6,0.6,0.1,500,1500,500,4.134241104125977,100.0
baseline,conn_shuf_only,10,0.6,0.6,0.1,500,1500,500,4.375762939453125,100.0
baseline,cel_sample,10,0.6,0.6,0.1,500,1500,500,4.692902565002441,100.0
baseline,local_sign+flat,10,0.6,0.6,0.1,500,1500,500,4.00226354598999,100.0
baseline,local_sign+sample,10,0.6,0.6,0.1,500,1500,500,5.487828731536865,100.0
baseline,local_sign+binary,10,0.6,0.6,0.1,500,1500,500,3.9963855743408203,100.0
baseline,global_sign_pres,10,0.6,0.6,0.1,500,1500,500,4.157622337341309,100.0
baseline,binary+shuffle,10,0.6,0.6,0.1,500,1500,500,4.353918552398682,100.0
baseline,real,10,0.6,0.6,0.5,500,1500,500,3.2470860481262207,100.0
baseline,shuffle_weights,10,0.6,0.6,0.5,500,1500,500,3.017831325531006,100.0
baseline,cel_randN,10,0.6,0.6,0.5,500,1500,500,4.308520317077637,100.0
baseline,er_randN,10,0.6,0.6,0.5,500,1500,500,5.087457656860352,100.0
baseline,ws_p01_randN,10,0.6,0.6,0.5,500,1500,500,6.197803020477295,100.0
baseline,conn_shuf,10,0.6,0.6,0.5,500,1500,500,3.2938292026519775,100.0
baseline,local_sign,10,0.6,0.6,0.5,500,1500,500,3.7232418060302734,100.0
baseline,conn_shuf_only,10,0.6,0.6,0.5,500,1500,500,4.786250114440918,100.0
baseline,cel_sample,10,0.6,0.6,0.5,500,1500,500,2.6311421394348145,100.0
baseline,local_sign+flat,10,0.6,0.6,0.5,500,1500,500,3.4580211639404297,100.0
baseline,local_sign+sample,10,0.6,0.6,0.5,500,1500,500,3.5048863887786865,100.0
baseline,local_sign+binary,10,0.6,0.6,0.5,500,1500,500,3.9477944374084473,100.0
baseline,global_sign_pres,10,0.6,0.6,0.5,500,1500,500,2.3144803047180176,100.0
baseline,binary+shuffle,10,0.6,0.6,0.5,500,1500,500,2.7189369201660156,100.0
baseline,real,10,0.6,0.6,1.0,500,1500,500,2.8949005603790283,100.0
baseline,shuffle_weights,10,0.6,0.6,1.0,500,1500,500,2.135613441467285,100.0
baseline,cel_randN,10,0.6,0.6,1.0,500,1500,500,1.0406379699707031,100.0
baseline,er_randN,10,0.6,0.6,1.0,500,1500,500,1.6981220245361328,100.0
baseline,ws_p01_randN,10,0.6,0.6,1.0,500,1500,500,2.624783992767334,100.0
baseline,conn_shuf,10,0.6,0.6,1.0,500,1500,500,3.035151243209839,100.0
baseline,local_sign,10,0.6,0.6,1.0,500,1500,500,2.48826265335083,100.0
baseline,conn_shuf_only,10,0.6,0.6,1.0,500,1500,500,2.6820554733276367,100.0
baseline,cel_sample,10,0.6,0.6,1.0,500,1500,500,2.3773860931396484,100.0
baseline,local_sign+flat,10,0.6,0.6,1.0,500,1500,500,0.5770348906517029,100.0
baseline,local_sign+sample,10,0.6,0.6,1.0,500,1500,500,2.24759578704834,100.0
baseline,local_sign+binary,10,0.6,0.6,1.0,500,1500,500,3.0168282985687256,100.0
baseline,global_sign_pres,10,0.6,0.6,1.0,500,1500,500,2.92140531539917,100.0
baseline,binary+shuffle,10,0.6,0.6,1.0,500,1500,500,2.6208481788635254,100.0
baseline,real,10,0.6,0.6,1.5,500,1500,500,2.1934244632720947,100.0
baseline,shuffle_weights,10,0.6,0.6,1.5,500,1500,500,1.5121605396270752,100.0
baseline,cel_randN,10,0.6,0.6,1.5,500,1500,500,2.4364004135131836,100.0
baseline,er_randN,10,0.6,0.6,1.5,500,1500,500,1.7678346633911133,100.0
baseline,ws_p01_randN,10,0.6,0.6,1.5,500,1500,500,1.532190203666687,100.0
baseline,conn_shuf,10,0.6,0.6,1.5,500,1500,500,1.8931083679199219,100.0
baseline,local_sign,10,0.6,0.6,1.5,500,1500,500,1.881446123123169,100.0
baseline,conn_shuf_only,10,0.6,0.6,1.5,500,1500,500,1.2247463464736938,100.0
baseline,cel_sample,10,0.6,0.6,1.5,500,1500,500,1.626979112625122,100.0
baseline,local_sign+flat,10,0.6,0.6,1.5,500,1500,500,2.462009906768799,100.0
baseline,local_sign+sample,10,0.6,0.6,1.5,500,1500,500,1.8558008670806885,100.0
baseline,local_sign+binary,10,0.6,0.6,1.5,500,1500,500,2.343977451324463,100.0
baseline,global_sign_pres,10,0.6,0.6,1.5,500,1500,500,0.9541834592819214,100.0
baseline,binary+shuffle,10,0.6,0.6,1.5,500,1500,500,1.226797103881836,100.0
baseline,real,10,0.6,0.8,0.1,500,1500,500,4.95620059967041,100.0
baseline,shuffle_weights,10,0.6,0.8,0.1,500,1500,500,5.315116882324219,100.0
baseline,cel_randN,10,0.6,0.8,0.1,500,1500,500,9.866973876953125,100.0
baseline,er_randN,10,0.6,0.8,0.1,500,1500,500,11.01957893371582,100.0
baseline,ws_p01_randN,10,0.6,0.8,0.1,500,1500,500,11.175973892211914,100.0
baseline,conn_shuf,10,0.6,0.8,0.1,500,1500,500,5.300386428833008,100.0
baseline,local_sign,10,0.6,0.8,0.1,500,1500,500,4.76983118057251,100.0
baseline,conn_shuf_only,10,0.6,0.8,0.1,500,1500,500,5.496914863586426,100.0
baseline,cel_sample,10,0.6,0.8,0.1,500,1500,500,5.10267448425293,100.0
baseline,local_sign+flat,10,0.6,0.8,0.1,500,1500,500,4.4950270652771,100.0
baseline,local_sign+sample,10,0.6,0.8,0.1,500,1500,500,6.179436683654785,100.0
baseline,local_sign+binary,10,0.6,0.8,0.1,500,1500,500,4.425331115722656,100.0
