config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20288907289505007,0.20288907289505007,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.20082317590713503,0.20288907289505007,-0.002065896987915039,91,91,100.0,0,0,0,0
t_train_x0.25,0.20419600009918215,0.20288907289505007,0.0013069272041320856,91,91,100.0,0,0,0,0
t_test_x0.25,0.19938863515853883,0.20288907289505007,-0.003500437736511236,91,91,100.0,0,0,0,0
washout_x0.75,0.20181714296340944,0.20288907289505007,-0.001071929931640625,91,91,100.0,0,0,0,0
t_train_x0.75,0.20902647972106936,0.20288907289505007,0.006137406826019293,91,91,100.0,0,0,0,0
t_test_x0.75,0.20201499462127687,0.20288907289505007,-0.0008740782737731989,91,91,100.0,0,0,0,0
washout_x1.25,0.2006275534629822,0.20288907289505007,-0.002261519432067871,91,91,100.0,0,0,0,0
t_train_x1.25,0.20246275663375857,0.20288907289505007,-0.00042631626129149836,91,91,100.0,0,0,0,0
t_test_x1.25,0.20097153186798097,0.20288907289505007,-0.0019175410270690918,91,91,100.0,0,0,0,0
