EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
38,2.6835214062973307,1.2907159148484655,4.004687624948996,1.8665145294792151,3.5901045075169318,1.1542391734693935,6.409986863312898,2.8706619599341137
39,2.6761187337062977,1.3758238951633053,4.0900620637116605,1.947648284880652,3.6215181703920716,1.071264267986392,6.412773821089003,2.722259472027035
40,2.6966461106582926,1.3585673988384133,4.023488658445853,1.9986610186797988,3.6613622577102096,1.1924645309721762,6.480777719285753,2.8704242837081617
41,2.6307853098268863,1.4300421681593696,4.007995802384836,2.003993366547669,3.67141972206257,1.224182306156578,6.5807230119351985,3.1099094778463723
42,2.707319911321004,1.2431367429343099,4.1586900750796,1.8640377839089168,3.7303398785767734,1.2213132874634856,6.69122363196479,3.1585935339073083
43,2.7220701411918355,1.377090427253733,4.111271715164184,1.9711645607675603,3.821009714515121,1.2496815877634782,6.879287573143288,3.1574938430746533
44,2.5837291333410475,1.3327333891992839,3.917424991837254,1.9335207348351269,3.831073126969514,1.2696176147039768,6.898413128323025,3.2101699904106966
45,2.6492267069993196,1.495791437262157,3.9556331179760122,2.1606017764710197,3.8691282554909034,1.30694904966197,7.011377258653994,3.2615306723403377
46,2.6520982397927177,1.405511721579754,3.9528006558065063,1.9927432983820694,3.7980097505781387,1.1873996846829589,6.872111410564846,3.017427531906295
47,2.655117008421156,1.4062592885827443,4.115731907773901,2.09159725918595,3.877692222595215,1.3329778639561403,7.08265722769278,3.3978749685823493
48,2.711072180889271,1.4390266633228783,4.11095139141436,2.093593166024877,3.913838261145133,1.285714282872998,7.132523543746383,3.334257638790074
49,2.6338674147923786,1.44741898340467,4.008588280942705,2.1511199198576,3.9246125009324815,1.25625361948401,7.134895609043262,3.26520803889467
50,2.676512787518678,1.4540440547268194,4.049435626577448,2.163888633882586,4.015897745556302,1.3656315182179735,7.357498748214157,3.5583361815549166
51,2.7440106886404534,1.5043039016309756,4.114050567591632,2.161398363761745,3.924330303404066,1.324204142669688,7.192251223104972,3.4573998751847315
52,2.6032286012614216,1.4772193272717158,3.9693727533022565,2.150420711839321,4.039944322903951,1.397762417932311,7.438009942019427,3.635120852131892
53,2.693199892838796,1.5002707690651602,3.9661485892755013,2.2488046058967943,4.108739257741857,1.4665379112884243,7.588589731852213,3.7539759291196915
54,2.6846242776623477,1.491184826610035,4.061133506562975,2.2275639497616178,4.148220989439222,1.4733190900442439,7.685551516215006,3.890152302563628
55,2.626590336252142,1.4978085024311345,3.9782117190184416,2.218850676165571,4.232926158551817,1.5309450762299124,7.857012911196108,3.9228303771399653
56,2.811726751592424,1.454679311704559,4.201714186315184,2.085766794456235,4.178159858562328,1.5304512707393578,7.777179343612106,3.9534820697111535
