chunk,dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,0,12345,0.0,requested,297,3604,0,0.0,100.5592269897461,73.237548828125,0.6000003218650818,0.0059666329780078,1000,100,0.5,1.0,84579,0.2847777777777778,84.579,62.73859968863579,199,37786,0.1272255892255892,closed,6527,3.8929063888463302,0.818883549422692,0.0362982670306508,0.0248367174201264,0.005966633092612,0.1730323582887649,0.7041641664620958,0.2998122446338896,0.0,1.7058823515909305
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,0,12345,0.5,requested,297,3604,1802,0.5,48.948020935058594,73.237548828125,0.6000003814697266,0.0122579011068914,1000,100,0.5,1.0,86349,0.2907373737373737,86.349,60.78168813559404,207,38859,0.1308383838383838,closed,6527,3.8929063888463302,0.818883549422692,0.0745714644887661,0.0510247605529004,0.012257901020348,0.3554791286587715,0.7041641668079568,0.2998122433520697,0.0,1.7058823489977164
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,0,12345,0.0,requested,297,3604,0,0.0,100.5592269897461,73.237548828125,0.8000005483627319,0.0079555106373438,1000,100,0.5,1.0,86004,0.2895757575757576,86.004,62.08926687488797,203,38521,0.1297003367003367,closed,6527,3.8929063888463302,0.818883549422692,0.048397691703814,0.033115624475052,0.0079555111005902,0.2307098172605037,0.7041641668497377,0.2998122425705027,0.0,1.7058823468650686
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,0,12345,0.5,requested,297,3604,1802,0.5,48.948020935058594,73.237548828125,0.8000000715255737,0.0163438681425219,1000,100,0.5,1.0,89744,0.3021683501683501,89.744,58.551812771072925,220,40561,0.1365690235690235,closed,6527,3.8929063888463302,0.818883549422692,0.0994286153886247,0.068033012562148,0.016343867406249,0.4739721640944481,0.7041641684149038,0.2998122469344969,0.0,1.7058823588563663
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,0,12345,0.0,requested,297,3604,0,0.0,100.5592269897461,73.237548828125,0.9500007629394532,0.0094471688818458,1000,100,0.5,1.0,87492,0.2945858585858585,87.492,61.46315689627125,205,39192,0.1319595959595959,closed,6527,3.8929063888463302,0.818883549422692,0.057472253096923,0.0393248002770684,0.0094471685588359,0.2739678844809532,0.7041641659387173,0.2998122436366333,0.0,1.7058823461188792
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,0,12345,0.5,requested,297,3604,1802,0.5,48.948020935058594,73.237548828125,0.9500016570091248,0.0194083434192447,1000,100,0.5,1.0,93215,0.3138552188552188,93.215,56.66432405509326,228,42157,0.1419427609427609,closed,6527,3.8929063888463302,0.818883549422692,0.118071485620682,0.0807892048930156,0.0194083433598279,0.5628419518470764,0.7041641681687458,0.2998122457932584,0.0,1.7058823512807724
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,1.05,0,12345,0.0,requested,297,3604,0,0.0,100.5592269897461,73.237548828125,1.0500026941299438,0.0104416077115138,1000,100,0.5,1.0,88549,0.2981447811447811,88.549,60.94607471382405,211,39621,0.1334040404040404,closed,6527,3.8929063888463302,0.818883549422692,0.0635219674815664,0.0434642563843863,0.0104416077956557,0.3028066381812095,0.7041641702932413,0.2998122472991846,0.0,1.7058823637431455
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,1.05,0,12345,0.5,requested,297,3604,1802,0.5,48.948020935058594,73.237548828125,1.049998760223389,0.02145132693706,1000,100,0.5,1.0,95969,0.3231279461279461,95.969,55.33762093992921,238,43332,0.1458989898989899,closed,6527,3.8929063888463302,0.818883549422692,0.1305000587588115,0.0892933284652047,0.0214513260871171,0.6220884621143341,0.7041641667453655,0.2998122432572854,0.0,1.7058823544434467
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,1,112345,0.0,requested,297,3604,0,0.0,100.5592269897461,71.07130432128906,0.6000003218650818,0.0059666329780078,1000,100,0.5,1.0,76299,0.2568989898989899,76.299,60.4574784927862,181,35357,0.119047138047138,closed,6527,3.8929063888463302,0.818883549422692,0.0362982670306508,0.0248367174201264,0.005966633092612,0.1730323582887649,0.7041641664620958,0.2998122446338896,0.0,1.7058823515909305
chunk_0,new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,1,112345,0.5,requested,297,3604,1802,0.5,50.61214828491211,71.07130432128906,0.5999994277954102,0.0118548613392659,1000,100,0.5,1.0,81943,0.2759023569023569,81.943,57.92141781449796,206,38130,0.1283838383838383,closed,6527,3.8929063888463302,0.818883549422692,0.0721195533213479,0.0493470660645481,0.0118548609316349,0.3437909707427025,0.7041641690195719,0.2998122455503217,0.0,1.705882358377882
