config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.2029340982437134,0.2029340982437134,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.20199981927871705,0.2029340982437134,-0.0009342789649963434,91,91,100.0,0,0,0,0
t_train_x0.25,0.20864551067352297,0.2029340982437134,0.005711412429809576,91,91,100.0,0,0,0,0
t_test_x0.25,0.20699254274368287,0.2029340982437134,0.004058444499969477,91,91,100.0,0,0,0,0
washout_x0.75,0.20657252073287966,0.2029340982437134,0.0036384224891662653,91,91,100.0,0,0,0,0
t_train_x0.75,0.2072883486747742,0.2029340982437134,0.004354250431060802,91,91,100.0,0,0,0,0
t_test_x0.75,0.20631258487701418,0.2029340982437134,0.003378486633300787,91,91,100.0,0,0,0,0
washout_x1.25,0.2082107663154602,0.2029340982437134,0.005276668071746815,91,91,100.0,0,0,0,0
t_train_x1.25,0.20058940649032594,0.2029340982437134,-0.0023446917533874456,91,91,100.0,0,0,0,0
t_test_x1.25,0.20155198574066163,0.2029340982437134,-0.0013821125030517578,91,91,100.0,0,0,0,0
