EI_bal,frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
95,1,0,0.8,0.2,0.5,4.428359508514404,7.740302622318268,3.528326988220215,4.7878804206848145
95,1,0,0.8,0.2,1.0,4.418054580688477,7.4032880663871765,4.0301337242126465,7.184199333190918
95,1,0,0.8,0.2,2.0,0.9898768663406372,1.5731594562530518,4.507820129394531,8.79671573638916
95,1,0,0.8,0.5,0.5,7.797554969787598,11.099355101585388,4.2880167961120605,6.297256946563721
95,1,0,0.8,0.5,1.0,1.4812989234924316,2.5101380348205566,5.803214073181152,11.579998970031738
95,1,0,0.8,0.5,2.0,1.3458561897277832,2.150242805480957,6.409627914428711,16.67596435546875
95,1,0,0.8,0.8,0.5,5.3687944412231445,7.716534197330475,5.681651592254639,9.249368667602539
95,1,0,0.8,0.8,1.0,6.062118053436279,8.846809804439545,8.358104705810547,18.03550148010254
95,1,0,0.8,0.8,2.0,2.6378989219665527,4.761267840862274,9.990715980529785,26.453760147094727
95,1,0,1.0,0.2,0.5,6.023201942443848,9.241515815258026,5.241608142852783,7.570772171020508
95,1,0,1.0,0.2,1.0,4.417759895324707,6.43704617023468,6.1035332679748535,10.600936889648438
95,1,0,1.0,0.2,2.0,1.3241325616836548,2.0442561507225037,5.77699089050293,12.168951988220215
95,1,0,1.0,0.5,0.5,7.523534774780273,12.017526924610138,6.866830348968506,11.0825777053833
95,1,0,1.0,0.5,1.0,4.118178367614746,5.843096017837524,8.162972450256348,16.92494010925293
95,1,0,1.0,0.5,2.0,0.7348802089691162,0.8471847176551819,9.578997611999512,24.24323272705078
95,1,0,1.0,0.8,0.5,9.807098388671875,13.978849709033966,12.206066131591797,22.417577743530273
95,1,0,1.0,0.8,1.0,5.452664375305176,7.904792428016663,13.559144020080566,30.937320709228516
95,1,0,1.0,0.8,2.0,3.2381739616394043,5.135739684104919,14.897982597351074,39.98400115966797
95,1,0,1.2,0.2,0.5,4.237661361694336,8.92701917886734,7.960446834564209,12.214322090148926
95,1,0,1.2,0.2,1.0,3.64253306388855,5.765720367431641,8.072378158569336,14.579160690307617
95,1,0,1.2,0.2,2.0,0.5715677738189697,0.7830440998077393,8.164813995361328,18.73751449584961
95,1,0,1.2,0.5,0.5,7.191761493682861,10.041448414325714,13.6254243850708,23.138912200927734
95,1,0,1.2,0.5,1.0,5.484252452850342,8.502213537693024,13.882073402404785,29.40707015991211
95,1,0,1.2,0.5,2.0,2.6415152549743652,4.273435115814209,13.366436004638672,34.61275863647461
95,1,0,1.2,0.8,0.5,11.777569770812988,15.906417667865753,19.7296085357666,35.986331939697266
95,1,0,1.2,0.8,1.0,7.967194080352783,11.3627250790596,25.603748321533203,54.22347640991211
95,1,0,1.2,0.8,2.0,4.825231552124023,7.311527848243713,23.379037857055664,63.37734603881836
95,1,1,0.8,0.2,0.5,5.631954669952393,8.18493127822876,3.0313446521759033,4.210691928863525
95,1,1,0.8,0.2,1.0,3.1074235439300537,5.119722247123718,3.3917205333709717,5.567129135131836
95,1,1,0.8,0.2,2.0,1.2488408088684082,2.0261747241020203,3.7180886268615723,6.821567058563232
