mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
real,spectral_radius,0,0.6,0.6,0.1,0.0,,,1.875099778175354,2.0942392349243164,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,0.1,0.1,,,1.948987603187561,2.1669459342956543,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,0.5,0.0,,,2.284789562225342,2.548764944076538,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,0.5,0.1,,,2.549879789352417,2.784329652786255,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,1.0,0.0,,,2.679445743560791,2.9778289794921875,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,1.0,0.1,,,3.051631450653076,3.2925572395324707,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,1.5,0.0,,,2.888711929321289,3.1915805339813232,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.6,1.5,0.1,,,3.2995717525482178,3.537409782409668,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.8,0.1,0.0,,,2.107320547103882,2.5483040809631348,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.8,0.1,0.1,,,2.193347454071045,2.6097536087036133,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.8,0.5,0.0,,,2.6104776859283447,3.0761330127716064,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.8,0.5,0.1,,,2.9196159839630127,3.2514073848724365,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
real,spectral_radius,0,0.6,0.8,1.0,0.0,,,3.0889816284179688,3.5396695137023926,0.0010045660892501473,0.3302963376045227,0.6822620245328901,12346,chunk_0,78.16568756103516,78.16568756103516,0.5999996066093445,0.007676002331988624
