config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20356407165527346,0.20356407165527346,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.20661604404449463,0.20356407165527346,0.003051972389221169,91,91,100.0,0,0,0,0
t_train_x0.25,0.20183862447738649,0.20356407165527346,-0.001725447177886974,91,91,100.0,0,0,0,0
t_test_x0.25,0.2049782395362854,0.20356407165527346,0.0014141678810119518,91,91,100.0,0,0,0,0
washout_x0.75,0.20167347192764284,0.20356407165527346,-0.0018905997276306152,91,91,100.0,0,0,0,0
t_train_x0.75,0.20627198219299317,0.20356407165527346,0.00270791053771971,91,91,100.0,0,0,0,0
t_test_x0.75,0.1997886061668396,0.20356407165527346,-0.0037754654884338545,91,91,100.0,0,0,0,0
washout_x1.25,0.2075759530067444,0.20356407165527346,0.004011881351470931,91,91,100.0,0,0,0,0
t_train_x1.25,0.20247498750686646,0.20356407165527346,-0.001089084148406999,91,91,100.0,0,0,0,0
t_test_x1.25,0.2022490739822388,0.20356407165527346,-0.001314997673034668,91,91,100.0,0,0,0,0
