normalization,sign_frac,raw_rho,raw_rho_std,raw_rho_n,raw_rho_sem,ref_rho,ref_rho_std,ref_rho_n,ref_rho_sem,post_rho,post_rho_std,post_rho_n,post_rho_sem,raw_fro,raw_fro_std,raw_fro_n,raw_fro_sem,ref_fro,ref_fro_std,ref_fro_n,ref_fro_sem,post_fro,post_fro_std,post_fro_n,post_fro_sem,scale_factor,scale_factor_std,scale_factor_n,scale_factor_sem
original_radius,0.0,73.51416778564453,0.0,50,0.0,67.6279525756836,0.0,50,0.0,1.0870370864868164,0.0,50,0.0,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.1,57.38257965087891,9.466586806655632,50,1.3387775451354604,67.6279525756836,0.0,50,0.0,0.8485039496421813,0.1399804894957275,50,0.01979623067124824,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.2,45.423218994140626,9.595567861029874,50,1.3570182207739838,67.6279525756836,0.0,50,0.0,0.6716633927822113,0.1418878369153984,50,0.020065970330153834,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.2425287356321839,41.389587478637694,8.526845178358883,50,1.2058780095490764,67.6279525756836,0.0,50,0.0,0.6120188355445861,0.12608467810606738,50,0.01783106617850465,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.3,39.50524162292481,6.919473253854318,50,0.9785612920078666,67.6279525756836,0.0,50,0.0,0.5841555887460709,0.1023169762771376,50,0.014469805551213421,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.4,37.79464374542236,6.298941349431758,50,0.8908048284959077,67.6279525756836,0.0,50,0.0,0.5588613450527191,0.09314101733525591,50,0.013172128992874645,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.5,39.964569664001466,6.3616502847076415,50,0.8996732111708208,67.6279525756836,0.0,50,0.0,0.5909475165605546,0.09406841862071562,50,0.013303283340440581,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.6,39.48475040435791,7.371079803833269,50,1.0424281027915423,67.6279525756836,0.0,50,0.0,0.5838525480031967,0.10899444627664123,50,0.015414142414777171,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.7,42.21727630615234,8.624103822598428,50,1.219632458923235,67.6279525756836,0.0,50,0.0,0.6242577892541885,0.12752273597293667,50,0.01803443827238504,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,0.8,49.5052702331543,9.779308321931738,50,1.3830030459503937,67.6279525756836,0.0,50,0.0,0.7320235067605972,0.1446045200286852,50,0.020450167340501847,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
