mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similaritysrc
weight_test0.0,38,0.6,0.6,0.1,3.997750759124756,4.18806928396225,1.4421534538269043,1.4826128482818604,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.6,0.5,3.9025826454162598,5.481780767440796,1.7534183263778687,2.192167043685913,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.6,1.0,2.3221006393432617,3.9693368673324585,2.34466552734375,3.691575288772583,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.6,1.5,1.429726243019104,2.3506046533584595,2.3016293048858643,3.9460830688476562,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.8,0.1,4.457594394683838,4.70495730638504,1.5777071714401245,1.6265982389450073,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.8,0.5,3.909555435180664,5.885590970516205,1.7547826766967773,2.236265182495117,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.8,1.0,3.7963449954986572,5.7193862199783325,2.1857945919036865,3.342205047607422,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,0.8,1.5,2.8403236865997314,4.635652720928192,2.3923962116241455,4.220330238342285,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,1.0,0.1,5.309970378875732,5.5857239961624146,1.8818838596343994,1.9343042373657227,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,1.0,0.5,4.116278171539307,6.110263645648956,1.7947263717651367,2.364865779876709,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,1.0,1.0,3.7209954261779785,5.402534127235413,2.2202608585357666,3.614359140396118,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.6,1.0,1.5,2.8306338787078857,4.192813277244568,2.383528232574463,4.137816905975342,0.0013699823757633567,1.000000238418579,chunk_14
weight_test0.0,38,0.8,0.6,0.1,5.263028144836426,5.558966279029846,1.9403802156448364,1.9846949577331543,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,0.6,0.5,3.9650211334228516,5.41346001625061,1.923120379447937,2.5238378047943115,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,0.6,1.0,1.870124101638794,3.2496452927589417,2.347362995147705,3.7311856746673584,0.001826643361710012,1.0000003576278687,chunk_14
