config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20888345241546633,0.20888345241546633,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.21029158830642702,0.20888345241546633,0.001408135890960699,91,91,100.0,0,0,0,0
t_train_x0.25,0.2063024640083313,0.20888345241546633,-0.0025809884071350264,91,91,100.0,0,0,0,0
t_test_x0.25,0.2152609467506409,0.20888345241546633,0.006377494335174566,91,91,100.0,0,0,0,0
washout_x0.75,0.2137336850166321,0.20888345241546633,0.004850232601165766,91,91,100.0,0,0,0,0
t_train_x0.75,0.21587979793548584,0.20888345241546633,0.006996345520019515,91,91,100.0,0,0,0,0
t_test_x0.75,0.20878974199295045,0.20888345241546633,-9.371042251588024e-05,91,91,100.0,0,0,0,0
washout_x1.25,0.20952330827713014,0.20888345241546633,0.0006398558616638184,91,91,100.0,0,0,0,0
t_train_x1.25,0.20578835010528565,0.20888345241546633,-0.003095102310180675,91,91,100.0,0,0,0,0
t_test_x1.25,0.20888965129852297,0.20888345241546633,6.198883056640625e-06,91,91,100.0,0,0,0,0
