mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,seed,src
sign_test_er0.0,142,0.6,0.6,0.1,3.838912010192871,4.413505971431732,1.7405287027359009,1.7953683137893677,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.6,0.5,3.0517308712005615,4.6404083371162415,2.0614171028137207,2.7164390087127686,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.6,1.0,3.0081725120544434,4.282705068588257,2.371554136276245,3.7617733478546143,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.6,1.5,2.4247443675994873,2.953133285045624,2.536900520324707,4.4513840675354,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.8,0.1,4.542796611785889,5.362887501716614,1.8466296195983887,1.912990689277649,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.8,0.5,3.251927614212036,5.430929005146027,2.224505662918091,3.001053810119629,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.8,1.0,2.4768991470336914,2.9285529255867004,2.5944173336029053,4.273299217224121,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,0.8,1.5,1.6738414764404297,2.8833192586898804,2.788463592529297,5.117732524871826,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,1.0,0.1,5.248274803161621,6.356305718421936,1.999862790107727,2.0815372467041016,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,1.0,0.5,5.573381423950195,7.545989573001862,2.4599807262420654,3.417285919189453,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,1.0,1.0,3.631112813949585,5.321120202541351,2.913942813873291,5.016873836517334,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.6,1.0,1.5,3.1713860034942627,3.9593265056610107,3.146296977996826,6.0742292404174805,0.00199774163775146,0.029601022601127625,14248845,chunk_11
sign_test_er0.0,142,0.8,0.6,0.1,4.579007148742676,5.316510617733002,2.1556124687194824,2.2101359367370605,0.0026636552065610886,0.02960103005170822,14248845,chunk_11
sign_test_er0.0,142,0.8,0.6,0.5,3.8441150188446045,6.538845777511597,2.5681395530700684,3.4638116359710693,0.0026636552065610886,0.02960103005170822,14248845,chunk_11
sign_test_er0.0,142,0.8,0.6,1.0,2.5914602279663086,4.589247822761536,2.9342546463012695,4.878359317779541,0.0026636552065610886,0.02960103005170822,14248845,chunk_11
