config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,local_sign,8,0.6,0.8,0.1,500,1500,500,4.8321051597595215,100.0
baseline,conn_shuf_only,8,0.6,0.8,0.1,500,1500,500,5.13618278503418,100.0
baseline,cel_sample,8,0.6,0.8,0.1,500,1500,500,6.214300632476807,100.0
baseline,local_sign+flat,8,0.6,0.8,0.1,500,1500,500,5.006466865539551,100.0
baseline,local_sign+sample,8,0.6,0.8,0.1,500,1500,500,5.449071884155273,100.0
baseline,local_sign+binary,8,0.6,0.8,0.1,500,1500,500,4.66050910949707,100.0
baseline,global_sign_pres,8,0.6,0.8,0.1,500,1500,500,5.078774929046631,100.0
baseline,binary+shuffle,8,0.6,0.8,0.1,500,1500,500,4.787031173706055,100.0
baseline,real,8,0.6,0.8,0.5,500,1500,500,4.064166069030762,100.0
baseline,shuffle_weights,8,0.6,0.8,0.5,500,1500,500,3.425443172454834,100.0
baseline,cel_randN,8,0.6,0.8,0.5,500,1500,500,4.331567764282227,100.0
baseline,er_randN,8,0.6,0.8,0.5,500,1500,500,5.566903591156006,100.0
baseline,ws_p01_randN,8,0.6,0.8,0.5,500,1500,500,5.8682403564453125,100.0
baseline,conn_shuf,8,0.6,0.8,0.5,500,1500,500,4.509979248046875,100.0
baseline,local_sign,8,0.6,0.8,0.5,500,1500,500,3.1327710151672363,100.0
baseline,conn_shuf_only,8,0.6,0.8,0.5,500,1500,500,3.8826637268066406,100.0
baseline,cel_sample,8,0.6,0.8,0.5,500,1500,500,4.417882919311523,100.0
baseline,local_sign+flat,8,0.6,0.8,0.5,500,1500,500,4.296411514282227,100.0
baseline,local_sign+sample,8,0.6,0.8,0.5,500,1500,500,3.208141326904297,100.0
baseline,local_sign+binary,8,0.6,0.8,0.5,500,1500,500,3.463430643081665,100.0
baseline,global_sign_pres,8,0.6,0.8,0.5,500,1500,500,4.135047912597656,100.0
baseline,binary+shuffle,8,0.6,0.8,0.5,500,1500,500,3.304517984390259,100.0
baseline,real,8,0.6,0.8,1.0,500,1500,500,3.1189088821411133,100.0
baseline,shuffle_weights,8,0.6,0.8,1.0,500,1500,500,2.5018627643585205,100.0
baseline,cel_randN,8,0.6,0.8,1.0,500,1500,500,3.333409309387207,100.0
baseline,er_randN,8,0.6,0.8,1.0,500,1500,500,4.173498153686523,100.0
baseline,ws_p01_randN,8,0.6,0.8,1.0,500,1500,500,1.9951043128967285,100.0
baseline,conn_shuf,8,0.6,0.8,1.0,500,1500,500,2.3753409385681152,100.0
baseline,local_sign,8,0.6,0.8,1.0,500,1500,500,2.7387514114379883,100.0
baseline,conn_shuf_only,8,0.6,0.8,1.0,500,1500,500,2.5857670307159424,100.0
baseline,cel_sample,8,0.6,0.8,1.0,500,1500,500,2.858232021331787,100.0
baseline,local_sign+flat,8,0.6,0.8,1.0,500,1500,500,2.6071643829345703,100.0
baseline,local_sign+sample,8,0.6,0.8,1.0,500,1500,500,3.0077528953552246,100.0
baseline,local_sign+binary,8,0.6,0.8,1.0,500,1500,500,3.191730499267578,100.0
baseline,global_sign_pres,8,0.6,0.8,1.0,500,1500,500,3.2139205932617188,100.0
baseline,binary+shuffle,8,0.6,0.8,1.0,500,1500,500,2.634158134460449,100.0
baseline,real,8,0.6,0.8,1.5,500,1500,500,2.329843282699585,100.0
baseline,shuffle_weights,8,0.6,0.8,1.5,500,1500,500,1.6218757629394531,100.0
baseline,cel_randN,8,0.6,0.8,1.5,500,1500,500,1.8498845100402832,100.0
baseline,er_randN,8,0.6,0.8,1.5,500,1500,500,3.111868381500244,100.0
baseline,ws_p01_randN,8,0.6,0.8,1.5,500,1500,500,3.5278701782226562,100.0
baseline,conn_shuf,8,0.6,0.8,1.5,500,1500,500,3.1711699962615967,100.0
baseline,local_sign,8,0.6,0.8,1.5,500,1500,500,2.020669937133789,100.0
baseline,conn_shuf_only,8,0.6,0.8,1.5,500,1500,500,2.4135231971740723,100.0
baseline,cel_sample,8,0.6,0.8,1.5,500,1500,500,2.7570199966430664,100.0
baseline,local_sign+flat,8,0.6,0.8,1.5,500,1500,500,2.071611166000366,100.0
baseline,local_sign+sample,8,0.6,0.8,1.5,500,1500,500,2.074803113937378,100.0
baseline,local_sign+binary,8,0.6,0.8,1.5,500,1500,500,1.9724516868591309,100.0
baseline,global_sign_pres,8,0.6,0.8,1.5,500,1500,500,2.7211709022521973,100.0
baseline,binary+shuffle,8,0.6,0.8,1.5,500,1500,500,0.7709663510322571,100.0
baseline,real,8,0.6,1.0,0.1,500,1500,500,5.886592864990234,100.0
baseline,shuffle_weights,8,0.6,1.0,0.1,500,1500,500,6.235822677612305,100.0
baseline,cel_randN,8,0.6,1.0,0.1,500,1500,500,11.373821258544922,100.0
baseline,er_randN,8,0.6,1.0,0.1,500,1500,500,13.761414527893066,100.0
baseline,ws_p01_randN,8,0.6,1.0,0.1,500,1500,500,15.106430053710938,100.0
baseline,conn_shuf,8,0.6,1.0,0.1,500,1500,500,6.122478008270264,100.0
baseline,local_sign,8,0.6,1.0,0.1,500,1500,500,5.374234199523926,100.0
baseline,conn_shuf_only,8,0.6,1.0,0.1,500,1500,500,6.310957908630371,100.0
baseline,cel_sample,8,0.6,1.0,0.1,500,1500,500,6.904696941375732,100.0
baseline,local_sign+flat,8,0.6,1.0,0.1,500,1500,500,5.469367504119873,100.0
baseline,local_sign+sample,8,0.6,1.0,0.1,500,1500,500,6.14349365234375,100.0
baseline,local_sign+binary,8,0.6,1.0,0.1,500,1500,500,5.231020927429199,100.0
baseline,global_sign_pres,8,0.6,1.0,0.1,500,1500,500,5.599855422973633,100.0
baseline,binary+shuffle,8,0.6,1.0,0.1,500,1500,500,5.516450881958008,100.0
baseline,real,8,0.6,1.0,0.5,500,1500,500,4.975075721740723,100.0
baseline,shuffle_weights,8,0.6,1.0,0.5,500,1500,500,5.2793707847595215,100.0
baseline,cel_randN,8,0.6,1.0,0.5,500,1500,500,6.856357574462891,100.0
baseline,er_randN,8,0.6,1.0,0.5,500,1500,500,8.616634368896484,100.0
baseline,ws_p01_randN,8,0.6,1.0,0.5,500,1500,500,12.276782035827637,100.0
baseline,conn_shuf,8,0.6,1.0,0.5,500,1500,500,5.125738143920898,100.0
baseline,local_sign,8,0.6,1.0,0.5,500,1500,500,4.600229263305664,100.0
baseline,conn_shuf_only,8,0.6,1.0,0.5,500,1500,500,4.92000150680542,100.0
baseline,cel_sample,8,0.6,1.0,0.5,500,1500,500,5.12083625793457,100.0
baseline,local_sign+flat,8,0.6,1.0,0.5,500,1500,500,3.8843750953674316,100.0
baseline,local_sign+sample,8,0.6,1.0,0.5,500,1500,500,3.9917967319488525,100.0
baseline,local_sign+binary,8,0.6,1.0,0.5,500,1500,500,3.42246150970459,100.0
