config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.19955922961235048,0.19955922961235048,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.19314411282539368,0.19955922961235048,-0.006415116786956804,91,91,100.0,0,0,0,0
t_train_x0.25,0.21078914403915405,0.19955922961235048,0.011229914426803572,91,91,100.0,0,0,0,0
t_test_x0.25,0.19674201011657716,0.19955922961235048,-0.002817219495773321,91,91,100.0,0,0,0,0
washout_x0.75,0.19984267950057985,0.19955922961235048,0.0002834498882293701,91,91,100.0,0,0,0,0
t_train_x0.75,0.20153208971023562,0.19955922961235048,0.0019728600978851374,91,91,100.0,0,0,0,0
t_test_x0.75,0.19927293062210083,0.19955922961235048,-0.00028629899024965044,91,91,100.0,0,0,0,0
washout_x1.25,0.19936122298240663,0.19955922961235048,-0.00019800662994384766,91,91,100.0,0,0,0,0
t_train_x1.25,0.19473010897636414,0.19955922961235048,-0.004829120635986339,91,91,100.0,0,0,0,0
t_test_x1.25,0.20149950981140138,0.19955922961235048,0.0019402801990509033,91,91,100.0,0,0,0,0
