chunk,dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,0.2,requested,297,3604,720,0.1997780244173141,61.0744743347168,78.16568756103516,0.5999999642372131,0.0098240714559689,1000,100,0.5,1.0,87042,0.2930707070707071,87.042,61.91210984407933,206,38889,0.1309393939393939,closed,6527,3.8929063888463302,0.818883549422692,0.0639620228630917,0.0507685239743698,0.0098240710794925,0.4748300909996032,0.7175819987787205,0.3127051444149817,0.0,1.767441862515956
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,0.4,requested,297,3604,1441,0.3998335183129856,67.47215270996094,78.16568756103516,0.5999996066093445,0.0088925575352425,1000,100,0.5,1.0,85434,0.2876565656565656,85.434,61.62367338224103,201,38327,0.129047138047138,closed,6527,3.8929063888463302,0.818883549422692,0.057897175593991,0.0459546777645319,0.0088925575837492,0.4298069477081299,0.7175819987095091,0.3127051455410023,0.0,1.767441859898699
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,0.6,requested,297,3604,2162,0.5998890122086571,46.29368591308594,78.16568756103516,0.5999992489814758,0.0129607307814389,1000,100,0.5,1.0,89208,0.3003636363636364,89.208,59.58344504074032,214,40133,0.1351279461279461,closed,6527,3.8929063888463302,0.818883549422692,0.0843840151505411,0.0669780552455081,0.0129607310518622,0.6264353295167288,0.717581995691521,0.3127051450343285,0.0,1.7674418507494238
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,0.8,requested,297,3604,2883,0.7999445061043285,71.97528076171875,78.16568756103516,0.6000010967254639,0.0083361953388741,1000,100,0.5,1.0,86802,0.2922626262626263,86.802,61.56888437777254,204,38706,0.1303232323232323,closed,6527,3.8929063888463302,0.818883549422692,0.0542748453761336,0.0430795286604352,0.0083361957222223,0.4029161334037781,0.7175819976655974,0.3127051454038547,0.0,1.7674418568397945
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,1.0,requested,297,3604,3604,1.0,106.50869750976562,78.16568756103516,0.6000009775161743,0.0056333427600594,1000,100,0.5,1.0,84962,0.2860673400673401,84.962,62.58820847284127,199,37879,0.1275387205387205,closed,6527,3.8929063888463302,0.818883549422692,0.0366772573751969,0.0291118094703531,0.0056333425454795,0.272278219461441,0.7175819989912474,0.3127051452968112,0.0,1.7674418671710357
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,0.2,requested,297,3604,720,0.1997780244173141,61.0744743347168,78.16568756103516,0.8000001907348633,0.0130987619412919,1000,100,0.5,1.0,90127,0.3034579124579125,90.127,60.09087938102408,213,40325,0.1357744107744107,closed,6527,3.8929063888463302,0.818883549422692,0.0852827038964718,0.0676913705067276,0.013098762370646,0.6331068476041158,0.7175820000111072,0.3127051429910452,0.0,1.7674418639259082
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,0.4,requested,297,3604,1441,0.3998335183129856,67.47215270996094,78.16568756103516,0.7999997735023499,0.0118567433803234,1000,100,0.5,1.0,88321,0.2973771043771043,88.321,60.35210299016378,209,39581,0.1332693602693602,closed,6527,3.8929063888463302,0.818883549422692,0.0771962323268745,0.0612729020346661,0.0118567431345582,0.573075920343399,0.7175819972977614,0.3127051432250441,0.0,1.7674418608899294
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,0.6,requested,297,3604,2162,0.5998890122086571,46.29368591308594,78.16568756103516,0.7999997735023499,0.0172809743752519,1000,100,0.5,1.0,94518,0.3182424242424242,94.518,56.36018227566467,231,42297,0.1424141414141414,closed,6527,3.8929063888463302,0.818883549422692,0.1125120134774486,0.0893040684204822,0.0172809734940528,0.8352470497290293,0.7175819977997551,0.3127051444073206,0.0,1.767441853469817
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,0.8,requested,297,3604,2883,0.7999445061043285,71.97528076171875,78.16568756103516,0.8000001311302185,0.0111149271184989,1000,100,0.5,1.0,89297,0.3006632996632997,89.297,60.14029968869998,210,39519,0.133060606060606,closed,6527,3.8929063888463302,0.818883549422692,0.0723664572418491,0.0574393687549276,0.011114927008748,0.5372214814027151,0.7175819985735251,0.3127051430001473,0.0,1.7674418541208023
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,1.0,requested,297,3604,3604,1.0,106.50869750976562,78.16568756103516,0.8000006675720215,0.0075111236800792,1000,100,0.5,1.0,86602,0.2915892255892255,86.602,61.75439418536305,205,38613,0.130010101010101,closed,6527,3.8929063888463302,0.818883549422692,0.048903010162793,0.0388157464852476,0.0075111235491931,0.3630376358826955,0.7175819945321339,0.3127051448164271,0.0,1.767441862812188
