EI_bal,frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
18,1,0,0.0,0.2,0.5,0.5981512665748596,0.6106340885162354,1.000002145767212,1.000001311302185
18,1,0,0.0,0.2,1.0,0.5683774948120117,0.49624210596084595,1.000001072883606,1.0000016689300537
18,1,0,0.0,0.2,2.0,0.7246580719947815,0.6721516251564026,1.0000027418136597,1.0000030994415283
18,1,0,0.0,0.5,0.5,0.447399377822876,0.39054572582244873,1.0000040531158447,1.000002384185791
18,1,0,0.0,0.5,1.0,0.34698164463043213,0.24820959568023682,1.0000041723251343,1.0000026226043701
18,1,0,0.0,0.5,2.0,0.3545355200767517,0.33828526735305786,1.0000035762786865,1.0000019073486328
18,1,0,0.0,0.8,0.5,0.2153884768486023,0.11844676733016968,1.0000027418136597,1.000001311302185
18,1,0,0.0,0.8,1.0,0.1609351634979248,0.06114089488983154,1.0000004768371582,1.0000001192092896
18,1,0,0.0,0.8,2.0,0.12695413827896118,0.06479614973068237,1.0000014305114746,1.0000014305114746
18,1,1,0.0,0.2,0.5,0.867430567741394,0.6966330409049988,1.0000032186508179,1.0000005960464478
18,1,1,0.0,0.2,1.0,0.6791791915893555,0.6503620147705078,1.0000009536743164,1.0000027418136597
18,1,1,0.0,0.2,2.0,0.5684096217155457,0.5941428542137146,1.0,1.0000027418136597
18,1,1,0.0,0.5,0.5,0.37431466579437256,0.24290674924850464,1.0000026226043701,1.0000025033950806
18,1,1,0.0,0.5,1.0,0.3392767310142517,0.29761940240859985,1.0000027418136597,1.0000029802322388
18,1,1,0.0,0.5,2.0,0.23960137367248535,0.23883551359176636,1.0000020265579224,1.0000025033950806
18,1,1,0.0,0.8,0.5,0.24647057056427002,0.12417441606521606,1.0000029802322388,1.0000020265579224
18,1,1,0.0,0.8,1.0,0.14031004905700684,0.11289036273956299,1.0000017881393433,1.000003695487976
18,1,1,0.0,0.8,2.0,0.1525052785873413,0.10518068075180054,1.0000026226043701,1.0000027418136597
18,1,2,0.0,0.2,0.5,0.634697675704956,0.5521531105041504,1.0000019073486328,1.0000026226043701
18,1,2,0.0,0.2,1.0,0.7646850347518921,0.6414214372634888,1.000002145767212,1.0000020265579224
18,1,2,0.0,0.2,2.0,0.8483831882476807,0.7416936159133911,1.0000030994415283,1.0000027418136597
18,1,2,0.0,0.5,0.5,0.3571203351020813,0.24645066261291504,1.0000022649765015,1.000000238418579
18,1,2,0.0,0.5,1.0,0.36831843852996826,0.310358464717865,1.0000019073486328,1.0000003576278687
18,1,2,0.0,0.5,2.0,0.27205920219421387,0.2746468186378479,1.0000025033950806,1.0000026226043701
18,1,2,0.0,0.8,0.5,0.16021275520324707,0.11716359853744507,1.0000025033950806,1.0000040531158447
18,1,2,0.0,0.8,1.0,0.06533932685852051,0.06694960594177246,1.000001072883606,1.000002384185791
18,1,2,0.0,0.8,2.0,0.236528217792511,0.07680010795593262,1.0000022649765015,1.0000027418136597
