model,d_max,mean_mc,std_mc,mean_capture_pct,std_capture_pct,n_runs
real,30,4.384463250637054,0.6068270121857312,97.17618521880581,0.6634294671671347,20
real,50,4.430808734893799,0.6114014164480406,98.20950458947414,0.6094428228746697,20
real,80,4.509432685375214,0.6062832981001434,100.0,0.0,20
cel_randN,30,7.674370360374451,0.5966465139719368,98.53158303592781,0.3088942089453309,20
cel_randN,50,7.7162761926651005,0.5964070352749751,99.07347557030104,0.2559078642204579,20
cel_randN,80,7.788186764717102,0.5987933608243611,100.0,0.0,20
er_randN,30,8.898568487167358,0.41692362723680393,98.78648096708699,0.2804322594621137,20
er_randN,50,8.935145664215089,0.42286243481559366,99.19026847970675,0.24116497415943391,20
er_randN,80,9.008496475219726,0.434297660011639,100.0,0.0,20
ws_p01_randN,30,8.972792148590088,0.22343100335708596,98.88640158644345,0.23741509392756618,20
ws_p01_randN,50,9.015996551513672,0.23094529301728026,99.360565592437,0.14740329398002108,20
ws_p01_randN,80,9.074120235443115,0.23595087154820676,100.0,0.0,20
local_sign,30,6.154854416847229,1.2184899021500426,98.15056205708831,0.5099375391474191,20
local_sign,50,6.198655271530152,1.2169236497348324,98.89098955555616,0.3211421733620746,20
local_sign,80,6.265927636623383,1.2203046887873017,100.0,0.0,20
local_sign+flat,30,5.384214627742767,0.8215273034014784,97.85155594166585,0.40760587972279627,20
local_sign+flat,50,5.428697562217712,0.8218955651405467,98.67645422518243,0.29288730198442203,20
local_sign+flat,80,5.500323963165283,0.8256241771493551,100.0,0.0,20
local_sign+binary,30,4.5205547451972965,0.6803654368956474,97.5324634619317,0.5363058403435615,20
local_sign+binary,50,4.565214228630066,0.6813431047373253,98.51604977691254,0.3783590490121489,20
local_sign+binary,80,4.633209156990051,0.6854486157591997,100.0,0.0,20
global_sign_pres,30,3.943112480640411,0.44879546054330394,97.26158397193723,0.5958161274857292,20
global_sign_pres,50,3.9840420126914977,0.4497970448407317,98.28284086901658,0.484518422105995,20
global_sign_pres,80,4.0527741551399235,0.4503403830158581,100.0,0.0,20
global_sign_pres_real_weight,30,4.550889229774475,0.5683972772306961,97.48649969782284,0.38035298375423565,20
global_sign_pres_real_weight,50,4.59319623708725,0.5708170793229692,98.40081906176837,0.2927463699157414,20
global_sign_pres_real_weight,80,4.667182922363281,0.574669686443584,100.0,0.0,20
binary_base,30,3.512174892425537,0.4484590264343693,96.89981277409002,0.5801885799354284,20
binary_base,50,3.556849730014801,0.4536039055756502,98.13527925580419,0.47056499784183076,20
binary_base,80,3.6231659650802612,0.45415408925018513,100.0,0.0,20
