model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.1,0.01,6,even,0.0
real,0,0.95,0.8,1.0,0.1,0.01,7,odd,0.06435487233102322
real,0,0.95,0.8,1.0,0.1,0.01,8,even,0.0
real,0,0.95,0.8,1.0,0.1,0.01,9,odd,0.018589848652482033
real,0,0.95,0.8,1.0,0.1,0.01,10,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,1,odd,3.3851714441393987
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,2,even,0.04819158981507794
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.6577222073117355
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,4,even,0.02953180527789201
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.5125174476793717
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,6,even,0.041525459968550615
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.3248861144476725
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,8,even,0.04030388081243608
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.16272691216738622
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,10,even,0.040557321311013084
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,1,odd,3.368693116819486
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,2,even,0.03343131369911134
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,3,odd,1.639393373974599
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,4,even,0.012649294687435031
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,5,odd,0.4913739716866985
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,6,even,0.026534867007285357
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.30490757315419614
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,8,even,0.026315913069993258
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.14566124673001468
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,10,even,0.026568480767309666
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,1,odd,3.3540225215256214
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,2,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,3,odd,1.6083278059959412
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,4,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,5,odd,0.45335319684818387
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,6,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.27730719512328506
