run_index,shuffle_seed,unknown_sign_seed,edges,max_swaps,successful_swaps,successful_fraction,failed_swap_attempts,retained_edge_fraction,reached_max_swaps,hit_failed_attempt_limit,termination_reason,in_degree_preserved,out_degree_preserved,edge_count_preserved,diagonal_clear,weight_multiset_preserved
129,12912345,35912345,3604,1802,1801,0.9994450610432852,20000,0.04855715871254162,False,True,retry_limit_reached,True,True,True,True,True
130,13012345,36012345,3604,1802,1800,0.9988901220865705,20000,0.051054384017758046,False,True,retry_limit_reached,True,True,True,True,True
131,13112345,36112345,3604,1802,1801,0.9994450610432852,20000,0.0474472807991121,False,True,retry_limit_reached,True,True,True,True,True
132,13212345,36212345,3604,1802,1800,0.9988901220865705,20000,0.04772475027746948,False,True,retry_limit_reached,True,True,True,True,True
133,13312345,36312345,3604,1802,1802,1.0,469,0.04384017758046615,True,False,all_edge_pairs_swapped,True,True,True,True,True
134,13412345,36412345,3604,1802,1801,0.9994450610432852,20000,0.048834628190899,False,True,retry_limit_reached,True,True,True,True,True
135,13512345,36512345,3604,1802,1801,0.9994450610432852,20000,0.05632630410654828,False,True,retry_limit_reached,True,True,True,True,True
136,13612345,36612345,3604,1802,1802,1.0,422,0.049944506104328525,True,False,all_edge_pairs_swapped,True,True,True,True,True
137,13712345,36712345,3604,1802,1801,0.9994450610432852,20000,0.048834628190899,False,True,retry_limit_reached,True,True,True,True,True
138,13812345,36812345,3604,1802,1801,0.9994450610432852,20000,0.0474472807991121,False,True,retry_limit_reached,True,True,True,True,True
139,13912345,36912345,3604,1802,1802,1.0,439,0.04716981132075472,True,False,all_edge_pairs_swapped,True,True,True,True,True
140,14012345,37012345,3604,1802,1801,0.9994450610432852,20000,0.05133185349611543,False,True,retry_limit_reached,True,True,True,True,True
141,14112345,37112345,3604,1802,1802,1.0,416,0.0474472807991121,True,False,all_edge_pairs_swapped,True,True,True,True,True
142,14212345,37212345,3604,1802,1802,1.0,448,0.04605993340732519,True,False,all_edge_pairs_swapped,True,True,True,True,True
143,14312345,37312345,3604,1802,1801,0.9994450610432852,20000,0.050499445061043285,False,True,retry_limit_reached,True,True,True,True,True
144,14412345,37412345,3604,1802,1800,0.9988901220865705,20000,0.04966703662597114,False,True,retry_limit_reached,True,True,True,True,True
145,14512345,37512345,3604,1802,1802,1.0,462,0.04855715871254162,True,False,all_edge_pairs_swapped,True,True,True,True,True
146,14612345,37612345,3604,1802,1801,0.9994450610432852,20000,0.048834628190899,False,True,retry_limit_reached,True,True,True,True,True
147,14712345,37712345,3604,1802,1801,0.9994450610432852,20000,0.05133185349611543,False,True,retry_limit_reached,True,True,True,True,True
148,14812345,37812345,3604,1802,1801,0.9994450610432852,20000,0.054106548279689234,False,True,retry_limit_reached,True,True,True,True,True
149,14912345,37912345,3604,1802,1802,1.0,434,0.04772475027746948,True,False,all_edge_pairs_swapped,True,True,True,True,True
150,15012345,38012345,3604,1802,1801,0.9994450610432852,20000,0.04772475027746948,False,True,retry_limit_reached,True,True,True,True,True
151,15112345,38112345,3604,1802,1801,0.9994450610432852,20000,0.05216426193118757,False,True,retry_limit_reached,True,True,True,True,True
152,15212345,38212345,3604,1802,1802,1.0,435,0.04661487236403995,True,False,all_edge_pairs_swapped,True,True,True,True,True
153,15312345,38312345,3604,1802,1801,0.9994450610432852,20000,0.04772475027746948,False,True,retry_limit_reached,True,True,True,True,True
154,15412345,38412345,3604,1802,1802,1.0,471,0.05299667036625971,True,False,all_edge_pairs_swapped,True,True,True,True,True
155,15512345,38512345,3604,1802,1802,1.0,406,0.04411764705882353,True,False,all_edge_pairs_swapped,True,True,True,True,True
156,15612345,38612345,3604,1802,1801,0.9994450610432852,20000,0.048834628190899,False,True,retry_limit_reached,True,True,True,True,True
157,15712345,38712345,3604,1802,1802,1.0,461,0.04605993340732519,True,False,all_edge_pairs_swapped,True,True,True,True,True
158,15812345,38812345,3604,1802,1802,1.0,423,0.04384017758046615,True,False,all_edge_pairs_swapped,True,True,True,True,True
159,15912345,38912345,3604,1802,1802,1.0,428,0.048834628190899,True,False,all_edge_pairs_swapped,True,True,True,True,True
160,16012345,39012345,3604,1802,1801,0.9994450610432852,20000,0.05327413984461709,False,True,retry_limit_reached,True,True,True,True,True
161,16112345,39112345,3604,1802,1801,0.9994450610432852,20000,0.051054384017758046,False,True,retry_limit_reached,True,True,True,True,True
162,16212345,39212345,3604,1802,1801,0.9994450610432852,20000,0.04550499445061043,False,True,retry_limit_reached,True,True,True,True,True
163,16312345,39312345,3604,1802,1801,0.9994450610432852,20000,0.0474472807991121,False,True,retry_limit_reached,True,True,True,True,True
164,16412345,39412345,3604,1802,1802,1.0,474,0.051054384017758046,True,False,all_edge_pairs_swapped,True,True,True,True,True
165,16512345,39512345,3604,1802,1802,1.0,408,0.053551609322974474,True,False,all_edge_pairs_swapped,True,True,True,True,True
166,16612345,39612345,3604,1802,1801,0.9994450610432852,20000,0.048834628190899,False,True,retry_limit_reached,True,True,True,True,True
167,16712345,39712345,3604,1802,1801,0.9994450610432852,20000,0.050499445061043285,False,True,retry_limit_reached,True,True,True,True,True
168,16812345,39812345,3604,1802,1802,1.0,467,0.050499445061043285,True,False,all_edge_pairs_swapped,True,True,True,True,True
169,16912345,39912345,3604,1802,1801,0.9994450610432852,20000,0.04467258601553829,False,True,retry_limit_reached,True,True,True,True,True
170,17012345,40012345,3604,1802,1801,0.9994450610432852,20000,0.046337402885682576,False,True,retry_limit_reached,True,True,True,True,True
171,17112345,40112345,3604,1802,1801,0.9994450610432852,20000,0.05271920088790233,False,True,retry_limit_reached,True,True,True,True,True
172,17212345,40212345,3604,1802,1801,0.9994450610432852,20000,0.05382907880133185,False,True,retry_limit_reached,True,True,True,True,True
173,17312345,40312345,3604,1802,1802,1.0,433,0.048834628190899,True,False,all_edge_pairs_swapped,True,True,True,True,True
174,17412345,40412345,3604,1802,1802,1.0,430,0.04966703662597114,True,False,all_edge_pairs_swapped,True,True,True,True,True
175,17512345,40512345,3604,1802,1802,1.0,410,0.04605993340732519,True,False,all_edge_pairs_swapped,True,True,True,True,True
176,17612345,40612345,3604,1802,1801,0.9994450610432852,20000,0.051054384017758046,False,True,retry_limit_reached,True,True,True,True,True
177,17712345,40712345,3604,1802,1802,1.0,425,0.04495005549389567,True,False,all_edge_pairs_swapped,True,True,True,True,True
178,17812345,40812345,3604,1802,1802,1.0,413,0.049389567147613764,True,False,all_edge_pairs_swapped,True,True,True,True,True
179,17912345,40912345,3604,1802,1802,1.0,422,0.0502219755826859,True,False,all_edge_pairs_swapped,True,True,True,True,True
180,18012345,41012345,3604,1802,1802,1.0,436,0.0502219755826859,True,False,all_edge_pairs_swapped,True,True,True,True,True
181,18112345,41112345,3604,1802,1801,0.9994450610432852,20000,0.05327413984461709,False,True,retry_limit_reached,True,True,True,True,True
182,18212345,41212345,3604,1802,1801,0.9994450610432852,20000,0.04550499445061043,False,True,retry_limit_reached,True,True,True,True,True
183,18312345,41312345,3604,1802,1800,0.9988901220865705,20000,0.05216426193118757,False,True,retry_limit_reached,True,True,True,True,True
184,18412345,41412345,3604,1802,1801,0.9994450610432852,20000,0.05216426193118757,False,True,retry_limit_reached,True,True,True,True,True
185,18512345,41512345,3604,1802,1802,1.0,476,0.04384017758046615,True,False,all_edge_pairs_swapped,True,True,True,True,True
186,18612345,41612345,3604,1802,1802,1.0,390,0.050499445061043285,True,False,all_edge_pairs_swapped,True,True,True,True,True
187,18712345,41712345,3604,1802,1802,1.0,394,0.04411764705882353,True,False,all_edge_pairs_swapped,True,True,True,True,True
188,18812345,41812345,3604,1802,1802,1.0,426,0.05160932297447281,True,False,all_edge_pairs_swapped,True,True,True,True,True
189,18912345,41912345,3604,1802,1802,1.0,432,0.046337402885682576,True,False,all_edge_pairs_swapped,True,True,True,True,True
190,19012345,42012345,3604,1802,1801,0.9994450610432852,20000,0.050499445061043285,False,True,retry_limit_reached,True,True,True,True,True
191,19112345,42112345,3604,1802,1802,1.0,460,0.05077691453940067,True,False,all_edge_pairs_swapped,True,True,True,True,True
192,19212345,42212345,3604,1802,1802,1.0,406,0.04855715871254162,True,False,all_edge_pairs_swapped,True,True,True,True,True
193,19312345,42312345,3604,1802,1801,0.9994450610432852,20000,0.04855715871254162,False,True,retry_limit_reached,True,True,True,True,True
194,19412345,42412345,3604,1802,1802,1.0,414,0.04467258601553829,True,False,all_edge_pairs_swapped,True,True,True,True,True
195,19512345,42512345,3604,1802,1801,0.9994450610432852,20000,0.04495005549389567,False,True,retry_limit_reached,True,True,True,True,True
196,19612345,42612345,3604,1802,1801,0.9994450610432852,20000,0.04328523862375139,False,True,retry_limit_reached,True,True,True,True,True
197,19712345,42712345,3604,1802,1802,1.0,443,0.05133185349611543,True,False,all_edge_pairs_swapped,True,True,True,True,True
198,19812345,42812345,3604,1802,1801,0.9994450610432852,20000,0.05133185349611543,False,True,retry_limit_reached,True,True,True,True,True
199,19912345,42912345,3604,1802,1801,0.9994450610432852,20000,0.04911209766925638,False,True,retry_limit_reached,True,True,True,True,True
200,20012345,43012345,3604,1802,1802,1.0,438,0.04911209766925638,True,False,all_edge_pairs_swapped,True,True,True,True,True
201,20112345,43112345,3604,1802,1802,1.0,424,0.043007769145394004,True,False,all_edge_pairs_swapped,True,True,True,True,True
202,20212345,43212345,3604,1802,1801,0.9994450610432852,20000,0.04800221975582686,False,True,retry_limit_reached,True,True,True,True,True
203,20312345,43312345,3604,1802,1801,0.9994450610432852,20000,0.05688124306326304,False,True,retry_limit_reached,True,True,True,True,True
204,20412345,43412345,3604,1802,1801,0.9994450610432852,20000,0.05216426193118757,False,True,retry_limit_reached,True,True,True,True,True
205,20512345,43512345,3604,1802,1802,1.0,439,0.05160932297447281,True,False,all_edge_pairs_swapped,True,True,True,True,True
206,20612345,43612345,3604,1802,1801,0.9994450610432852,20000,0.049944506104328525,False,True,retry_limit_reached,True,True,True,True,True
207,20712345,43712345,3604,1802,1802,1.0,459,0.05160932297447281,True,False,all_edge_pairs_swapped,True,True,True,True,True
