common_tail_length,reference_tail_length,pearson_model_means_vs_reference,spearman_model_means_vs_reference,n_models
0,3,0.9924304484020139,1.0,9
1,3,0.994586483929737,1.0,9
2,3,0.9985585083142293,1.0,9
3,3,1.0,1.0,9
4,3,0.9990136579639006,1.0,9
5,3,0.9970344647389872,0.9833333333333333,9
7,3,0.9914393066722044,0.9500000000000001,9
10,3,0.9834799974106373,0.9,9
