model,seed,rho_target,leak,input_scale,neuron_bias,num_streams,prefix_length,common_tail_length,total_stream_length,gr_seed,GR
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,300,7,2,9,23000005,10.463936805725098
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,300,7,3,10,23000005,8.314413070678711
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,300,7,4,11,23000005,6.764096260070801
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,300,7,5,12,23000005,5.395122528076172
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,300,7,7,14,23000005,3.6904611587524414
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,300,7,10,17,23000005,2.371511220932007
binary_base,2,0.95,0.8,1.0,0.0,300,7,0,7,23000005,3.7669358253479004
binary_base,2,0.95,0.8,1.0,0.0,300,7,1,8,23000005,4.715000152587891
binary_base,2,0.95,0.8,1.0,0.0,300,7,2,9,23000005,3.4647693634033203
binary_base,2,0.95,0.8,1.0,0.0,300,7,3,10,23000005,2.4526937007904053
binary_base,2,0.95,0.8,1.0,0.0,300,7,4,11,23000005,1.8045324087142944
binary_base,2,0.95,0.8,1.0,0.0,300,7,5,12,23000005,1.732401728630066
binary_base,2,0.95,0.8,1.0,0.0,300,7,7,14,23000005,1.3679934740066528
binary_base,2,0.95,0.8,1.0,0.0,300,7,10,17,23000005,1.1839340925216675
real,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,5.610769748687744
real,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,7.794680118560791
real,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,6.859515190124512
real,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,5.446768760681152
real,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,4.367264270782471
real,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,3.8092234134674072
real,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,3.013733386993408
