config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20051944255828857,0.20051944255828857,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.2054927706718445,0.20051944255828857,0.004973328113555914,91,91,100.0,0,0,0,0
t_train_x0.25,0.20605618953704835,0.20051944255828857,0.005536746978759777,91,91,100.0,0,0,0,0
t_test_x0.25,0.20654151439666749,0.20051944255828857,0.006022071838378912,91,91,100.0,0,0,0,0
washout_x0.75,0.2027660131454468,0.20051944255828857,0.0022465705871582142,91,91,100.0,0,0,0,0
t_train_x0.75,0.2074283838272095,0.20051944255828857,0.006908941268920915,91,91,100.0,0,0,0,0
t_test_x0.75,0.1995741367340088,0.20051944255828857,-0.000945305824279763,91,91,100.0,0,0,0,0
washout_x1.25,0.20177592039108277,0.20051944255828857,0.0012564778327942006,91,91,100.0,0,0,0,0
t_train_x1.25,0.2022878408432007,0.20051944255828857,0.001768398284912126,91,91,100.0,0,0,0,0
t_test_x1.25,0.19922168254852296,0.20051944255828857,-0.001297760009765614,91,91,100.0,0,0,0,0
