config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20829384326934816,0.20829384326934816,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.2078444838523865,0.20829384326934816,-0.0004493594169616699,91,91,100.0,0,0,0,0
t_train_x0.25,0.20420112609863283,0.20829384326934816,-0.0040927171707153265,91,91,100.0,0,0,0,0
t_test_x0.25,0.20706691741943362,0.20829384326934816,-0.0012269258499145452,91,91,100.0,0,0,0,0
washout_x0.75,0.20590038299560548,0.20829384326934816,-0.0023934602737426813,91,91,100.0,0,0,0,0
t_train_x0.75,0.20596704483032227,0.20829384326934816,-0.00232679843902589,91,91,100.0,0,0,0,0
t_test_x0.75,0.20200244188308716,0.20829384326934816,-0.006291401386260997,91,91,100.0,0,0,0,0
washout_x1.25,0.20529537200927736,0.20829384326934816,-0.0029984712600708008,91,91,100.0,0,0,0,0
t_train_x1.25,0.2064178228378296,0.20829384326934816,-0.0018760204315185491,91,91,100.0,0,0,0,0
t_test_x1.25,0.2047824263572693,0.20829384326934816,-0.003511416912078874,91,91,100.0,0,0,0,0
