model,d_max,mean_ipc_kset,std_ipc_kset,mean_capture_pct,std_capture_pct,n_runs
real,30,4.212787973880768,0.7761202661479577,100.0,0.0,10
real,50,4.212787973880768,0.7761202661479577,100.0,0.0,10
real,80,4.212787973880768,0.7761202661479577,100.0,0.0,10
shuffle_weights,30,4.1642078220844265,0.823602410464992,100.0,0.0,10
shuffle_weights,50,4.1642078220844265,0.823602410464992,100.0,0.0,10
shuffle_weights,80,4.1642078220844265,0.823602410464992,100.0,0.0,10
cel_randN,30,10.763079541921616,1.2821905714937418,100.0,0.0,10
cel_randN,50,10.763079541921616,1.2821905714937418,100.0,0.0,10
cel_randN,80,10.763079541921616,1.2821905714937418,100.0,0.0,10
er_randN,30,13.07692093849182,0.496407872394761,100.0,0.0,10
er_randN,50,13.07692093849182,0.496407872394761,100.0,0.0,10
er_randN,80,13.07692093849182,0.496407872394761,100.0,0.0,10
ws_p01_randN,30,13.13720319867134,0.5450689379728907,100.0,0.0,10
ws_p01_randN,50,13.13720319867134,0.5450689379728907,100.0,0.0,10
ws_p01_randN,80,13.13720319867134,0.5450689379728907,100.0,0.0,10
conn_shuf,30,4.374162650108337,0.775079524976695,100.0,0.0,10
conn_shuf,50,4.374162650108337,0.775079524976695,100.0,0.0,10
conn_shuf,80,4.374162650108337,0.775079524976695,100.0,0.0,10
local_sign,30,3.841153973340988,0.9693590910910929,100.0,0.0,10
local_sign,50,3.841153973340988,0.9693590910910929,100.0,0.0,10
local_sign,80,3.841153973340988,0.9693590910910929,100.0,0.0,10
conn_shuf_only,30,4.628472167253494,1.0507557063762107,100.0,0.0,10
conn_shuf_only,50,4.628472167253494,1.0507557063762107,100.0,0.0,10
conn_shuf_only,80,4.628472167253494,1.0507557063762107,100.0,0.0,10
cel_sample,30,4.756251382827759,1.2176445447283102,100.0,0.0,10
cel_sample,50,4.756251382827759,1.2176445447283102,100.0,0.0,10
cel_sample,80,4.756251382827759,1.2176445447283102,100.0,0.0,10
local_sign+flat,30,3.7302025735378264,0.8372255260753207,100.0,0.0,10
local_sign+flat,50,3.7302025735378264,0.8372255260753207,100.0,0.0,10
local_sign+flat,80,3.7302025735378264,0.8372255260753207,100.0,0.0,10
local_sign+sample,30,4.4483139455318454,0.8051940685381515,100.0,0.0,10
local_sign+sample,50,4.4483139455318454,0.8051940685381515,100.0,0.0,10
local_sign+sample,80,4.4483139455318454,0.8051940685381515,100.0,0.0,10
local_sign+binary,30,3.2046378314495088,0.7704525665826654,99.97456358998457,0.0700507467899712,10
local_sign+binary,50,3.2047209322452543,0.7705664985138077,99.97651363983938,0.07045908048185794,10
local_sign+binary,80,3.205348068475723,0.770128551494636,100.0,0.0,10
global_sign_pres,30,3.604415553808212,0.7652568258119026,100.0,0.0,10
global_sign_pres,50,3.604415553808212,0.7652568258119026,100.0,0.0,10
global_sign_pres,80,3.604415553808212,0.7652568258119026,100.0,0.0,10
binary+shuffle,30,4.135197043418884,0.7400411367458254,100.0,0.0,10
binary+shuffle,50,4.135197043418884,0.7400411367458254,100.0,0.0,10
binary+shuffle,80,4.135197043418884,0.7400411367458254,100.0,0.0,10
