dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,34,3412345,0.0,requested,297,3604,0,0.0,100.5592269897461,67.1409912109375,0.6000003218650818,0.005966632978007889,1000,100,0.5,1.0,77358,0.26046464646464645,77.358,60.210506899885345,186,33294,0.1121010101010101,closed,6527,3.8929063888463307,0.818883549422692,0.036298267030650894,0.02483671742012647,0.005966633092612028,0.17303235828876495,0.7041641664620958,0.29981224463388967,0.0,1.7058823515909303
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,34,3412345,0.5,requested,297,3604,1802,0.5,35.585697174072266,67.1409912109375,0.6000009775161743,0.016860706622242597,1000,100,0.5,1.0,85530,0.287979797979798,85.53,56.67598492542734,215,37261,0.12545791245791246,closed,6527,3.8929063888463307,0.818883549422692,0.10257283030269493,0.07018441001435655,0.016860706731677055,0.48896051198244095,0.7041641704142583,0.29981224785257177,0.0,1.7058823663202036
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,34,3412345,0.0,requested,297,3604,0,0.0,100.5592269897461,67.1409912109375,0.8000005483627319,0.007955510637343852,1000,100,0.5,1.0,78448,0.2641346801346801,78.448,59.82058005233481,192,33949,0.1143063973063973,closed,6527,3.8929063888463307,0.818883549422692,0.048397691703814014,0.03311562447505209,0.007955511100590229,0.23070981726050377,0.7041641668497377,0.29981224257050276,0.0,1.7058823468650686
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,34,3412345,0.5,requested,297,3604,1802,0.5,35.585697174072266,67.1409912109375,0.8000015020370483,0.022480942162990132,1000,100,0.5,1.0,92553,0.31162626262626264,92.553,53.60713493478192,237,40586,0.13665319865319867,closed,6527,3.8929063888463307,0.818883549422692,0.13676377367912218,0.0935792120112915,0.02248094230890274,0.6519473344087601,0.7041641691022898,0.29981224569103115,0.0,1.705882358675045
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,34,3412345,0.0,requested,297,3604,0,0.0,100.5592269897461,67.1409912109375,0.9500007629394531,0.009447168881845823,1000,100,0.5,1.0,79502,0.2676835016835017,79.502,59.29049973949755,199,34511,0.1161986531986532,closed,6527,3.8929063888463307,0.818883549422692,0.05747225309692304,0.039324800277068486,0.009447168558835983,0.2739678844809532,0.7041641659387173,0.29981224363663334,0.0,1.7058823461188792
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,34,3412345,0.5,requested,297,3604,1802,0.5,35.585697174072266,67.1409912109375,0.9500014781951904,0.02669611881855078,1000,100,0.5,1.0,99105,0.3336868686868687,99.105,50.89751007202152,250,43317,0.14584848484848484,closed,6527,3.8929063888463307,0.818883549422692,0.16240698415566288,0.1111253155671729,0.02669611945748329,0.7741874754428864,0.7041641675402966,0.29981224359391406,0.0,1.705882355355437
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,1.05,34,3412345,0.0,requested,297,3604,0,0.0,100.5592269897461,67.1409912109375,1.0500026941299438,0.010441607711513807,1000,100,0.5,1.0,80459,0.2709057239057239,80.459,58.735425163772916,203,35029,0.11794276094276095,closed,6527,3.8929063888463307,0.818883549422692,0.06352196748156647,0.0434642563843863,0.010441607795655727,0.30280663818120956,0.7041641702932413,0.29981224729918465,0.0,1.7058823637431455
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,1.05,34,3412345,0.5,requested,297,3604,1802,0.5,35.585697174072266,67.1409912109375,1.049999713897705,0.02950623658892455,1000,100,0.5,1.0,103427,0.34823905723905724,103.427,49.178890128125445,254,44793,0.15081818181818182,closed,6527,3.8929063888463307,0.818883549422692,0.179502448907081,0.12282271228884743,0.02950623631477356,0.8556808531284332,0.7041641672741588,0.29981224457520733,0.0,1.7058823529411764
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,35,3512345,0.0,requested,297,3604,0,0.0,100.5592269897461,68.0393295288086,0.6000003218650818,0.005966632978007889,1000,100,0.5,1.0,74980,0.25245791245791244,74.98,56.13015405460949,175,32774,0.11035016835016835,closed,6527,3.8929063888463307,0.818883549422692,0.036298267030650894,0.02483671742012647,0.005966633092612028,0.17303235828876495,0.7041641664620958,0.29981224463388967,0.0,1.7058823515909303
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,35,3512345,0.5,requested,297,3604,1802,0.5,61.27288818359375,68.0393295288086,0.5999993085861206,0.00979225915060838,1000,100,0.5,1.0,75802,0.25522558922558924,75.802,55.36607443370171,186,33398,0.11245117845117845,closed,6527,3.8929063888463307,0.818883549422692,0.05957162636767174,0.0407612757240766,0.009792258962988853,0.2839755192399025,0.7041641702568889,0.2998122458988919,0.0,1.7058823628139832
