mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,seed,src
real,475,0.6,0.6,0.1,4.876685619354248,5.070543646812439,1.6685450077056885,1.7228431701660156,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.6,0.5,4.219660758972168,5.574907183647156,1.963755488395691,2.52602481842041,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.6,1.0,3.239703416824341,4.347891926765442,2.253765344619751,3.4386160373687744,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.6,1.5,2.181764602661133,3.0308712124824524,2.4113175868988037,4.0632243156433105,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.8,0.1,5.265762805938721,5.52312844991684,1.760021448135376,1.819075584411621,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.8,0.5,4.165173530578613,5.752998650074005,2.0948381423950195,2.7310550212860107,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.8,1.0,3.029355049133301,4.466817855834961,2.427748203277588,3.793705701828003,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,0.8,1.5,2.645069122314453,3.7299015522003174,2.608891248703003,4.534946441650391,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,1.0,0.1,5.778446674346924,6.248163938522339,1.8980369567871094,1.9630541801452637,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,1.0,0.5,4.134622573852539,6.591317713260651,2.286809206008911,3.0205862522125244,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,1.0,1.0,4.353354454040527,5.924704730510712,2.675309181213379,4.283524513244629,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.6,1.0,1.5,2.2596511840820312,3.2591113448143005,2.885073184967041,5.1780829429626465,0.0009280519443564117,0.5628097057342529,47512468,chunk_19
real,475,0.8,0.6,0.1,5.935239791870117,6.219307720661163,2.086373805999756,2.159719705581665,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.6,0.5,3.4022738933563232,4.515561580657959,2.466261148452759,3.231889247894287,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.6,1.0,3.8680691719055176,5.482666313648224,2.815683364868164,4.448038578033447,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.6,1.5,1.2504321336746216,1.9610270261764526,2.9861693382263184,5.261168479919434,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.8,0.1,6.412885665893555,6.835526347160339,2.217439889907837,2.300966262817383,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.8,0.5,4.84415864944458,6.89424741268158,2.6711511611938477,3.57532000541687,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.8,1.0,2.7070655822753906,4.239275395870209,3.0960757732391357,5.060840606689453,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,0.8,1.5,3.286412477493286,5.383604407310486,3.3055715560913086,6.068718910217285,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,1.0,0.1,7.1520819664001465,7.825917541980743,2.4337053298950195,2.530393123626709,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,1.0,0.5,5.777644157409668,7.735039055347443,2.9893527030944824,4.0870490074157715,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,1.0,1.0,4.346117973327637,5.344714283943176,3.509631872177124,5.936737537384033,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.8,1.0,1.5,1.9949744939804077,3.3305749893188477,3.764075994491577,7.204170227050781,0.0012374025536701083,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.6,0.1,6.3693108558654785,6.632077693939209,2.6398181915283203,2.7236337661743164,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.6,0.5,4.294666767120361,5.373260974884033,3.06022572517395,4.112020969390869,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.6,1.0,1.6752519607543945,1.9923698902130127,3.418278694152832,5.588774681091309,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.6,1.5,2.8286733627319336,3.969469726085663,3.574124813079834,6.5449066162109375,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.8,0.1,7.028555870056152,7.477270662784576,2.8033194541931152,2.916032314300537,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.8,0.5,3.2406022548675537,5.072960317134857,3.3369157314300537,4.611743927001953,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.8,1.0,2.618589401245117,4.669710397720337,3.80430006980896,6.485543727874756,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,0.8,1.5,2.4858696460723877,3.7013555765151978,4.013447284698486,7.709204196929932,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,1.0,0.1,7.987800598144531,8.741888284683228,3.1021602153778076,3.2485272884368896,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,1.0,0.5,5.042462348937988,6.476731836795807,3.7942256927490234,5.399996757507324,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,1.0,1.0,3.577089548110962,4.714875876903534,4.393397331237793,7.806375026702881,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,0.95,1.0,1.5,2.974919557571411,4.914498150348663,4.658531188964844,9.37352466583252,0.0014694154961034656,0.5628095865249634,47512468,chunk_19
real,475,1.05,0.6,0.1,5.325070381164551,6.673006653785706,2.793998956680298,3.0326786041259766,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.6,0.5,2.472550868988037,3.102656364440918,3.628849983215332,5.029648303985596,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.6,1.0,2.6421937942504883,3.792787551879883,3.9378819465637207,6.636970043182373,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.6,1.5,1.5107028484344482,1.524203896522522,4.060277462005615,7.656129360198975,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.8,0.1,6.87867546081543,8.76218867301941,3.027754783630371,3.326530694961548,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.8,0.5,4.257702827453613,6.083231091499329,3.9535179138183594,5.698660850524902,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.8,1.0,2.050417423248291,2.8159043192863464,4.4042887687683105,7.770392417907715,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,0.8,1.5,1.4010624885559082,2.392239570617676,4.592941761016846,9.115866661071777,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,1.0,0.1,6.953371047973633,8.673159897327423,3.4222302436828613,3.8240787982940674,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
real,475,1.05,1.0,0.5,3.9147605895996094,5.786348521709442,4.522058010101318,6.759838104248047,0.0016240908298641443,0.5628097057342529,47512468,chunk_19
