config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.21382342576980592,0.21382342576980592,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.2134304642677307,0.21382342576980592,-0.00039296150207521197,91,91,100.0,0,0,0,0
t_train_x0.25,0.21021426916122438,0.21382342576980592,-0.0036091566085815485,91,91,100.0,0,0,0,0
t_test_x0.25,0.207832407951355,0.21382342576980592,-0.005991017818450933,91,91,100.0,0,0,0,0
washout_x0.75,0.20815629959106446,0.21382342576980592,-0.005667126178741461,91,91,100.0,0,0,0,0
t_train_x0.75,0.21364963054656982,0.21382342576980592,-0.00017379522323610064,91,91,100.0,0,0,0,0
t_test_x0.75,0.20765585899353028,0.21382342576980592,-0.00616756677627564,91,91,100.0,0,0,0,0
washout_x1.25,0.20777815580368042,0.21382342576980592,-0.006045269966125505,91,91,100.0,0,0,0,0
t_train_x1.25,0.20543596744537354,0.21382342576980592,-0.008387458324432384,91,91,100.0,0,0,0,0
t_test_x1.25,0.20736649036407473,0.21382342576980592,-0.006456935405731196,91,91,100.0,0,0,0,0
