dataset,job,normalization,rho_target,sign_frac,triad_scope,n_edges_mean,n_edges_std,n_edges_min,n_edges_max,n_edges_count,negative_edge_fraction_mean,negative_edge_fraction_std,negative_edge_fraction_min,negative_edge_fraction_max,negative_edge_fraction_count,raw_rho_mean,raw_rho_std,raw_rho_min,raw_rho_max,raw_rho_count,ref_rho_mean,ref_rho_std,ref_rho_min,ref_rho_max,ref_rho_count,post_rho_mean,post_rho_std,post_rho_min,post_rho_max,post_rho_count,scale_factor_mean,scale_factor_std,scale_factor_min,scale_factor_max,scale_factor_count,triad_count_mean,triad_count_std,triad_count_min,triad_count_max,triad_count_count,triad_edge_count_mean_mean,triad_edge_count_mean_std,triad_edge_count_mean_min,triad_edge_count_mean_max,triad_edge_count_mean_count,triad_avg_abs_w_mean_mean,triad_avg_abs_w_mean_std,triad_avg_abs_w_mean_min,triad_avg_abs_w_mean_max,triad_avg_abs_w_mean_count,triad_avg_abs_w_std_mean,triad_avg_abs_w_std_std,triad_avg_abs_w_std_min,triad_avg_abs_w_std_max,triad_avg_abs_w_std_count,triad_avg_abs_w_min_mean,triad_avg_abs_w_min_std,triad_avg_abs_w_min_min,triad_avg_abs_w_min_max,triad_avg_abs_w_min_count,triad_avg_abs_w_max_mean,triad_avg_abs_w_max_std,triad_avg_abs_w_max_min,triad_avg_abs_w_max_max,triad_avg_abs_w_max_count,triad_cv_abs_w_mean_mean,triad_cv_abs_w_mean_std,triad_cv_abs_w_mean_min,triad_cv_abs_w_mean_max,triad_cv_abs_w_mean_count,triad_cv_abs_w_std_mean,triad_cv_abs_w_std_std,triad_cv_abs_w_std_min,triad_cv_abs_w_std_max,triad_cv_abs_w_std_count
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.0,any_edge,3604.0,0.0,3604,3604,2,0.0,0.0,0.0,0.0,2,100.5592269897461,0.0,100.5592269897461,100.5592269897461,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.6000003218650818,0.0,0.6000003218650818,0.6000003218650818,2,0.0059666329780078,0.0,0.0059666329780078,0.0059666329780078,2,793451.0,0.0,793451,793451,2,1.3399441175321476,0.0,1.3399441175321476,1.3399441175321476,2,0.0317511573001546,0.0,0.0317511573001546,0.0317511573001546,2,0.0360651701217551,0.0,0.0360651701217551,0.0360651701217551,2,0.005966633092612,0.0,0.005966633092612,0.005966633092612,2,0.1789989918470382,0.0,0.1789989918470382,0.1789989918470382,2,0.1359943833418681,0.0,0.1359943833418681,0.1359943833418681,2,0.263442983680144,0.0,0.263442983680144,0.263442983680144,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.0,closed,3604.0,0.0,3604,3604,2,0.0,0.0,0.0,0.0,2,100.5592269897461,0.0,100.5592269897461,100.5592269897461,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.6000003218650818,0.0,0.6000003218650818,0.6000003218650818,2,0.0059666329780078,0.0,0.0059666329780078,0.0059666329780078,2,6527.0,0.0,6527,6527,2,3.8929063888463302,0.0,3.8929063888463302,3.8929063888463302,2,0.0362982670306508,0.0,0.0362982670306508,0.0362982670306508,2,0.0248367174201264,0.0,0.0248367174201264,0.0248367174201264,2,0.005966633092612,0.0,0.005966633092612,0.005966633092612,2,0.1730323582887649,0.0,0.1730323582887649,0.1730323582887649,2,0.7041641664620958,0.0,0.7041641664620958,0.7041641664620958,2,0.2998122446338896,0.0,0.2998122446338896,0.2998122446338896,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.0,weak_connected,3604.0,0.0,3604,3604,2,0.0,0.0,0.0,0.0,2,100.5592269897461,0.0,100.5592269897461,100.5592269897461,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.6000003218650818,0.0,0.6000003218650818,0.6000003218650818,2,0.0059666329780078,0.0,0.0059666329780078,0.0059666329780078,2,64962.0,0.0,64962,64962,2,2.549321141590468,0.0,2.549321141590468,2.549321141590468,2,0.0330589330585193,0.0,0.0330589330585193,0.0330589330585193,2,0.0271365383449208,0.0,0.0271365383449208,0.0271365383449208,2,0.005966633092612,0.0,0.005966633092612,0.005966633092612,2,0.1789989918470382,0.0,0.1789989918470382,0.1789989918470382,2,0.5259102664016643,0.0,0.5259102664016643,0.5259102664016643,2,0.3109101758629826,0.0,0.3109101758629826,0.3109101758629826,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.2,any_edge,3604.0,0.0,3604,3604,2,0.1997780244173141,0.0,0.1997780244173141,0.1997780244173141,2,56.57772445678711,8.241226170426176,50.75029754638672,62.4051513671875,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.6000001430511475,8.429369702178807e-07,0.5999995470046997,0.6000007390975952,2,0.0107185908378466,0.0015612916951161936,0.0096145908928197,0.0118225907828735,2,793451.0,0.0,793451,793451,2,1.3399441175321476,0.0,1.3399441175321476,1.3399441175321476,2,0.05703847607939855,0.008308340778972889,0.0511635919741781,0.062913360184619,2,0.06478826326533135,0.009437189646161179,0.0581151624711873,0.0714613640594754,2,0.0107185905799269,0.0015612918075045942,0.0096145905554294,0.0118225906044244,2,0.3215577155351639,0.046838741054248054,0.2884377241134643,0.3546777069568634,2,0.13599438370576944,9.378562629295152e-11,0.135994383639453,0.1359943837720859,2,0.2634429842777576,3.615717839021313e-10,0.2634429840220877,0.2634429845334274,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.2,closed,3604.0,0.0,3604,3604,2,0.1997780244173141,0.0,0.1997780244173141,0.1997780244173141,2,56.57772445678711,8.241226170426176,50.75029754638672,62.4051513671875,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.6000001430511475,8.429369702178807e-07,0.5999995470046997,0.6000007390975952,2,0.0107185908378466,0.0015612916951161936,0.0096145908928197,0.0118225907828735,2,6527.0,0.0,6527,6527,2,3.8929063888463302,0.0,3.8929063888463302,3.8929063888463302,2,0.065207003836211,0.009498185042933188,0.0584907727833883,0.0719232348890337,2,0.0446172243279822,0.006499035068690598,0.0400217125597419,0.0492127360962225,2,0.0107185905799269,0.0015612918075045942,0.0096145905554294,0.0118225906044244,2,0.31083912402391434,0.04527745319801047,0.2788231298327446,0.3428551182150841,2,0.7041641674274568,2.6903013401373313e-09,0.7041641655251265,0.7041641693297872,2,0.2998122436636962,2.931430526861446e-09,0.2998122415908618,0.2998122457365306,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.2,weak_connected,3604.0,0.0,3604,3604,2,0.1997780244173141,0.0,0.1997780244173141,0.1997780244173141,2,56.57772445678711,8.241226170426176,50.75029754638672,62.4051513671875,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.6000001430511475,8.429369702178807e-07,0.5999995470046997,0.6000007390975952,2,0.0107185908378466,0.0015612916951161936,0.0096145908928197,0.0118225907828735,2,64962.0,0.0,64962,64962,2,2.549321141590468,0.0,2.549321141590468,2.549321141590468,2,0.059387793140132546,0.008650547051876328,0.0532709326587775,0.0655046536214876,2,0.048748673085427796,0.0071008303760407045,0.043727627774474,0.0537697183963816,2,0.0107185905799269,0.0015612918075045942,0.0096145905554294,0.0118225906044244,2,0.3215577155351639,0.046838741054248054,0.2884377241134643,0.3546777069568634,2,0.5259102678870181,6.323200386915535e-10,0.5259102674399003,0.5259102683341359,2,0.31091017555535105,1.3852634707077417e-09,0.3109101745758219,0.3109101765348803,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.2205882352941176,any_edge,3604.0,0.0,3604,3604,2,0.2205882352941176,0.0,0.2205882352941176,0.2205882352941176,2,55.4868221282959,7.797355792396725,49.97325897216797,61.00038528442383,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.5999995470046997,3.371747880871523e-07,0.5999993085861206,0.5999997854232788,2,0.01092121236456355,0.0015347171675091776,0.0098360034482144,0.0120064212809127,2,793451.0,0.0,793451,793451,2,1.3399441175321476,0.0,1.3399441175321476,1.3399441175321476,2,0.05811671839060445,0.008166927462560617,0.0523418286003692,0.0638916081808397,2,0.06601300624235495,0.009276563763128062,0.0594534850993377,0.0725725273853722,2,0.010921212378889301,0.0015347175609740074,0.0098360031843185,0.0120064215734601,2,0.32763637602329254,0.04604153341466447,0.2950800955295563,0.3601926565170288,2,0.13599438361517657,3.4314537506856236e-11,0.1359943835909125,0.1359943836394406,2,0.2634429840795992,6.864381425667117e-11,0.2634429840310607,0.2634429841281377,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.2205882352941176,closed,3604.0,0.0,3604,3604,2,0.2205882352941176,0.0,0.2205882352941176,0.2205882352941176,2,55.4868221282959,7.797355792396725,49.97325897216797,61.00038528442383,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.5999995470046997,3.371747880871523e-07,0.5999993085861206,0.5999997854232788,2,0.01092121236456355,0.0015347171675091776,0.0098360034482144,0.0120064212809127,2,6527.0,0.0,6527,6527,2,3.8929063888463302,0.0,3.8929063888463302,3.8929063888463302,2,0.0664396621710865,0.009336520014235293,0.0598377455563368,0.0730415787858362,2,0.0454606585516723,0.006388418401896302,0.0409433645786345,0.0499779525247101,2,0.010921212378889301,0.0015347175609740074,0.0098360031843185,0.0120064215734601,2,0.31671516224741936,0.04450681387805699,0.2852440923452377,0.348186232149601,2,0.7041641675473891,9.207355822368291e-11,0.7041641674822833,0.704164167612495,2,0.2998122445556558,1.2476109723331417e-10,0.2998122444674364,0.2998122446438752,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.2205882352941176,weak_connected,3604.0,0.0,3604,3604,2,0.2205882352941176,0.0,0.2205882352941176,0.2205882352941176,2,55.4868221282959,7.797355792396725,49.97325897216797,61.00038528442383,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.5999995470046997,3.371747880871523e-07,0.5999993085861206,0.5999997854232788,2,0.01092121236456355,0.0015347171675091776,0.0098360034482144,0.0120064212809127,2,64962.0,0.0,64962,64962,2,2.549321141590468,0.0,2.549321141590468,2.549321141590468,2,0.06051044645043585,0.008503309245379414,0.0544976988205018,0.0665231940803699,2,0.0496702073017928,0.006979970699456353,0.0447346226877238,0.0546057919158618,2,0.010921212378889301,0.0015347175609740074,0.0098360031843185,0.0120064215734601,2,0.32763637602329254,0.04604153341466447,0.2950800955295563,0.3601926565170288,2,0.5259102675887677,1.0681649089685591e-10,0.5259102675132371,0.5259102676642984,2,0.31091017585748654,2.384960239139673e-10,0.3109101756888444,0.3109101760261287,2
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.4,any_edge,3604.0,0.0,3604,3604,2,0.3998335183129856,0.0,0.3998335183129856,0.3998335183129856,2,46.22703170776367,8.412985704876075,40.27815246582031,52.17591094970703,2,65.35665893554688,1.6655355572183443,64.17894744873047,66.53437042236328,2,0.5999997854232788,3.371747880871523e-07,0.5999995470046997,0.6000000238418579,2,0.0131979863969005,0.002401938147190706,0.0114995596450313,0.0148964131487697,2,793451.0,0.0,793451,793451,2,1.3399441175321476,0.0,1.3399441175321476,1.3399441175321476,2,0.0702324641310114,0.012781801985229713,0.0611943652714718,0.079270562990551,2,0.07977491273287675,0.014518458773133262,0.0695088120820169,0.0900410133837366,2,0.01319798640906805,0.002401938359923711,0.0114995595067739,0.0148964133113622,2,0.3959396034479141,0.07205815079771176,0.3449867963790893,0.4468924105167389,2,0.13599438348480014,5.740328683108522e-11,0.1359943834442099,0.1359943835253904,2,0.2634429840385729,2.0305801656137635e-10,0.2634429838949892,0.2634429841821566,2
