mode,series_kind,metric,raw_rho,raw_rho_sd,performance,performance_sd,cv,cv_sd,n_groups,n_hparams,series,series_key,color,marker,normalization,sign_frac,dataset
binary_base,shuffle,GR,15.278559684753418,0.0,4.984501248883705,0.5397045479200666,0.46677757053315555,0.021246715049872585,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base,shuffle,IPC,15.278559684753418,0.0,6.811368693425494,0.4075290074248535,0.23168348013841636,0.017072931316871563,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base,shuffle,KR,15.278559684753418,0.0,3.0543692421292263,0.29779858375157064,0.28618271334159007,0.02002789504938371,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base,shuffle,MC,15.278559684753418,0.0,3.8299402494573345,0.20017221757162645,0.2904764193298946,0.022142130335678568,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,GR,15.456112418174744,0.1067804300747368,4.6131428205594425,0.44660579563564545,0.4572329193122072,0.01915910166028585,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,IPC,15.456112418174744,0.1067804300747368,6.6762846006894145,0.3588756860699359,0.23098612547684325,0.016589825607278105,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,KR,15.456112418174744,0.1067804300747368,2.8506812687466545,0.25653179406904925,0.2708910656429525,0.018042375782355045,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,MC,15.456112418174744,0.1067804300747368,3.694305127761327,0.16044067652982721,0.26096899575697985,0.020521742883292324,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary+conshuffle+wshuffle,shuffle,GR,8.62475715637207,0.27985476369698226,8.520476615385464,0.8095536779227207,0.6232424759680483,0.016547778877279557,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+conshuffle+wshuffle,shuffle,IPC,8.62475715637207,0.27985476369698226,8.492713259383459,0.5856870911510292,0.3045103633167225,0.02298181661365433,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+conshuffle+wshuffle,shuffle,KR,8.62475715637207,0.27985476369698226,4.610234300792217,0.38950939986552163,0.4088417217959499,0.018026494542036448,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+conshuffle+wshuffle,shuffle,MC,8.62475715637207,0.27985476369698226,4.848506484987835,0.24669137366285934,0.36168855236925757,0.024871061205726932,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,GR,7.783235368728637,0.3283528607218993,10.17920324501892,1.1513085294123409,0.6617952749688363,0.019857254595104932,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,IPC,7.783235368728637,0.3283528607218993,9.005955816793126,0.7502610295343815,0.3332477502666015,0.024775222877738402,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,KR,7.783235368728637,0.3283528607218993,5.343426969610155,0.538440208614915,0.45008510041895433,0.023391433771374218,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,MC,7.783235368728637,0.3283528607218993,5.167722702343017,0.3103497959728718,0.38550373384138964,0.02776877711607781,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
