dataset,job,normalization,rho_target,sign_frac,triad_scope,n_edges_mean,n_edges_std,n_edges_min,n_edges_max,n_edges_count,negative_edge_fraction_mean,negative_edge_fraction_std,negative_edge_fraction_min,negative_edge_fraction_max,negative_edge_fraction_count,raw_rho_mean,raw_rho_std,raw_rho_min,raw_rho_max,raw_rho_count,ref_rho_mean,ref_rho_std,ref_rho_min,ref_rho_max,ref_rho_count,post_rho_mean,post_rho_std,post_rho_min,post_rho_max,post_rho_count,scale_factor_mean,scale_factor_std,scale_factor_min,scale_factor_max,scale_factor_count,active_state_count_mean,active_state_count_std,active_state_count_min,active_state_count_max,active_state_count_count,active_state_fraction_mean,active_state_fraction_std,active_state_fraction_min,active_state_fraction_max,active_state_fraction_count,active_neurons_per_step_mean_mean,active_neurons_per_step_mean_std,active_neurons_per_step_mean_min,active_neurons_per_step_mean_max,active_neurons_per_step_mean_count,neurons_active_at_least_once_mean,neurons_active_at_least_once_std,neurons_active_at_least_once_min,neurons_active_at_least_once_max,neurons_active_at_least_once_count,activation_onset_count_mean,activation_onset_count_std,activation_onset_count_min,activation_onset_count_max,activation_onset_count_count,activation_onset_rate_mean,activation_onset_rate_std,activation_onset_rate_min,activation_onset_rate_max,activation_onset_rate_count,triad_count_mean,triad_count_std,triad_count_min,triad_count_max,triad_count_count,triad_edge_count_mean_mean,triad_edge_count_mean_std,triad_edge_count_mean_min,triad_edge_count_mean_max,triad_edge_count_mean_count,triad_avg_abs_w_mean_mean,triad_avg_abs_w_mean_std,triad_avg_abs_w_mean_min,triad_avg_abs_w_mean_max,triad_avg_abs_w_mean_count,triad_avg_abs_w_std_mean,triad_avg_abs_w_std_std,triad_avg_abs_w_std_min,triad_avg_abs_w_std_max,triad_avg_abs_w_std_count,triad_avg_abs_w_min_mean,triad_avg_abs_w_min_std,triad_avg_abs_w_min_min,triad_avg_abs_w_min_max,triad_avg_abs_w_min_count,triad_avg_abs_w_max_mean,triad_avg_abs_w_max_std,triad_avg_abs_w_max_min,triad_avg_abs_w_max_max,triad_avg_abs_w_max_count,triad_cv_abs_w_mean_mean,triad_cv_abs_w_mean_std,triad_cv_abs_w_mean_min,triad_cv_abs_w_mean_max,triad_cv_abs_w_mean_count,triad_cv_abs_w_std_mean,triad_cv_abs_w_std_std,triad_cv_abs_w_std_min,triad_cv_abs_w_std_max,triad_cv_abs_w_std_count
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.6,0.2,closed,3604.0,,3604,3604,1,0.1997780244173141,,0.1997780244173141,0.1997780244173141,1,54.5872802734375,,54.5872802734375,54.5872802734375,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.6000008583068848,,0.6000008583068848,0.6000008583068848,1,0.0109915716077901,,0.0109915716077901,0.0109915716077901,1,78690.0,,78690,78690,1,0.2649494949494949,,0.2649494949494949,0.2649494949494949,1,78.69,,78.69,78.69,1,210.0,,210,210,1,38311.0,,38311,38311,1,0.128993265993266,,0.128993265993266,0.128993265993266,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0715633196038239,,0.0715633196038239,0.0715633196038239,1,0.0568018950635965,,0.0568018950635965,0.0568018950635965,1,0.010991571471095,,0.010991571471095,0.010991571471095,1,0.53125927845637,,0.53125927845637,0.53125927845637,1,0.7175819980270206,,0.7175819980270206,0.7175819980270206,1,0.3127051458052931,,0.3127051458052931,0.3127051458052931,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.6,0.4,closed,3604.0,,3604,3604,1,0.3998335183129856,,0.3998335183129856,0.3998335183129856,1,56.92266845703125,,56.92266845703125,56.92266845703125,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.5999997854232788,,0.5999997854232788,0.5999997854232788,1,0.0105406161774182,,0.0105406161774182,0.0105406161774182,1,79211.0,,79211,79211,1,0.2667037037037037,,0.2667037037037037,0.2667037037037037,1,79.211,,79.211,79.211,1,208.0,,208,208,1,38612.0,,38612,38612,1,0.130006734006734,,0.130006734006734,0.130006734006734,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0686272623619192,,0.0686272623619192,0.0686272623619192,1,0.0544714607364537,,0.0544714607364537,0.0544714607364537,1,0.0105406157672405,,0.0105406157672405,0.0105406157672405,1,0.5094630817572275,,0.5094630817572275,0.5094630817572275,1,0.7175819975888186,,0.7175819975888186,0.7175819975888186,1,0.3127051441946933,,0.3127051441946933,0.3127051441946933,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.6,0.6,closed,3604.0,,3604,3604,1,0.5998890122086571,,0.5998890122086571,0.5998890122086571,1,61.02265548706055,,61.02265548706055,61.02265548706055,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.6000015139579773,,0.6000015139579773,0.6000015139579773,1,0.0098324138012516,,0.0098324138012516,0.0098324138012516,1,78379.0,,78379,78379,1,0.2639023569023569,,0.2639023569023569,0.2639023569023569,1,78.379,,78.379,78.379,1,203.0,,203,203,1,38282.0,,38282,38282,1,0.1288956228956229,,0.1288956228956229,0.1288956228956229,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0640163405113141,,0.0640163405113141,0.0640163405113141,1,0.0508116376541818,,0.0508116376541818,0.0508116376541818,1,0.0098324138671159,,0.0098324138671159,0.0098324138671159,1,0.47523333132267,,0.47523333132267,0.47523333132267,1,0.7175819984864678,,0.7175819984864678,0.7175819984864678,1,0.31270514538469,,0.31270514538469,0.31270514538469,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.6,0.8,closed,3604.0,,3604,3604,1,0.7999445061043285,,0.7999445061043285,0.7999445061043285,1,76.0899429321289,,76.0899429321289,76.0899429321289,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.5999999046325684,,0.5999999046325684,0.5999999046325684,1,0.0078854047838515,,0.0078854047838515,0.0078854047838515,1,77594.0,,77594,77594,1,0.2612592592592592,,0.2612592592592592,0.2612592592592592,1,77.594,,77.594,77.594,1,202.0,,202,202,1,37743.0,,37743,37743,1,0.127080808080808,,0.127080808080808,0.127080808080808,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0513398614299882,,0.0513398614299882,0.0513398614299882,1,0.0407499461161735,,0.0407499461161735,0.0407499461161735,1,0.0078854048624634,,0.0078854048624634,0.0078854048624634,1,0.3811279038588206,,0.3811279038588206,0.3811279038588206,1,0.7175819984282489,,0.7175819984282489,0.7175819984282489,1,0.3127051434002956,,0.3127051434002956,0.3127051434002956,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.6,1.0,closed,3604.0,,3604,3604,1,1.0,,1.0,1.0,1,106.50869750976562,,106.50869750976562,106.50869750976562,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.6000009775161743,,0.6000009775161743,0.6000009775161743,1,0.0056333427600594,,0.0056333427600594,0.0056333427600594,1,76418.0,,76418,76418,1,0.2572996632996633,,0.2572996632996633,0.2572996632996633,1,76.418,,76.418,76.418,1,195.0,,195,195,1,36927.0,,36927,36927,1,0.1243333333333333,,0.1243333333333333,0.1243333333333333,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0366772573751969,,0.0366772573751969,0.0366772573751969,1,0.0291118094703531,,0.0291118094703531,0.0291118094703531,1,0.0056333425454795,,0.0056333425454795,0.0056333425454795,1,0.272278219461441,,0.272278219461441,0.272278219461441,1,0.7175819989912474,,0.7175819989912474,0.7175819989912474,1,0.3127051452968112,,0.3127051452968112,0.3127051452968112,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.8,0.2,closed,3604.0,,3604,3604,1,0.1997780244173141,,0.1997780244173141,0.1997780244173141,1,54.5872802734375,,54.5872802734375,54.5872802734375,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.8000010251998901,,0.8000010251998901,0.8000010251998901,1,0.0146554288103868,,0.0146554288103868,0.0146554288103868,1,82411.0,,82411,82411,1,0.2774781144781145,,0.2774781144781145,0.2774781144781145,1,82.411,,82.411,82.411,1,222.0,,222,222,1,40332.0,,40332,40332,1,0.1357979797979798,,0.1357979797979798,0.1357979797979798,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0954177621900371,,0.0954177621900371,0.0954177621900371,1,0.0757358620556429,,0.0757358620556429,0.0757358620556429,1,0.0146554289385676,,0.0146554289385676,0.0146554289385676,1,0.7083457211653391,,0.7083457211653391,0.7083457211653391,1,0.7175819987930062,,0.7175819987930062,0.7175819987930062,1,0.3127051446557378,,0.3127051446557378,0.3127051446557378,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.8,0.4,closed,3604.0,,3604,3604,1,0.3998335183129856,,0.3998335183129856,0.3998335183129856,1,56.92266845703125,,56.92266845703125,56.92266845703125,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.799999475479126,,0.799999475479126,0.799999475479126,1,0.0140541549032243,,0.0140541549032243,0.0140541549032243,1,82116.0,,82116,82116,1,0.2764848484848485,,0.2764848484848485,0.2764848484848485,1,82.116,,82.116,82.116,1,222.0,,222,222,1,40146.0,,40146,40146,1,0.1351717171717171,,0.1351717171717171,0.1351717171717171,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0915030201294502,,0.0915030201294502,0.0915030201294502,1,0.0726286174909099,,0.0726286174909099,0.0726286174909099,1,0.0140541549772024,,0.0140541549772024,0.0140541549772024,1,0.6792841752370199,,0.6792841752370199,0.6792841752370199,1,0.7175819978685063,,0.7175819978685063,0.7175819978685063,1,0.3127051458533345,,0.3127051458533345,0.3127051458533345,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.8,0.6,closed,3604.0,,3604,3604,1,0.5998890122086571,,0.5998890122086571,0.5998890122086571,1,61.02265548706055,,61.02265548706055,61.02265548706055,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.8000001311302185,,0.8000001311302185,0.8000001311302185,1,0.0131098850683355,,0.0131098850683355,0.0131098850683355,1,81135.0,,81135,81135,1,0.2731818181818182,,0.2731818181818182,0.2731818181818182,1,81.135,,81.135,81.135,1,217.0,,217,217,1,39573.0,,39573,39573,1,0.1332424242424242,,0.1332424242424242,0.1332424242424242,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.085355120617511,,0.085355120617511,0.085355120617511,1,0.0677488499855247,,0.0677488499855247,0.0677488499855247,1,0.0131098851561546,,0.0131098851561546,0.0131098851561546,1,0.6336444516976675,,0.6336444516976675,0.6336444516976675,1,0.7175819980882847,,0.7175819980882847,0.7175819980882847,1,0.3127051446304988,,0.3127051446304988,0.3127051446304988,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.8,0.8,closed,3604.0,,3604,3604,1,0.7999445061043285,,0.7999445061043285,0.7999445061043285,1,76.0899429321289,,76.0899429321289,76.0899429321289,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.800000011920929,,0.800000011920929,0.800000011920929,1,0.0105138730451353,,0.0105138730451353,0.0105138730451353,1,79797.0,,79797,79797,1,0.2686767676767677,,0.2686767676767677,0.2686767676767677,1,79.797,,79.797,79.797,1,209.0,,209,209,1,38926.0,,38926,38926,1,0.131063973063973,,0.131063973063973,0.131063973063973,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.0684531461978608,,0.0684531461978608,0.0684531461978608,1,0.0543332594717759,,0.0543332594717759,0.0543332594717759,1,0.0105138728395104,,0.0105138728395104,0.0105138728395104,1,0.5081705252329508,,0.5081705252329508,0.5081705252329508,1,0.7175819974128927,,0.7175819974128927,0.7175819974128927,1,0.3127051430247841,,0.3127051430247841,0.3127051430247841,1
new_cel_sign_matched,sign_test_og_cel,spectral_radius,0.8,1.0,closed,3604.0,,3604,3604,1,1.0,,1.0,1.0,1,106.50869750976562,,106.50869750976562,106.50869750976562,1,69.71288299560547,,69.71288299560547,69.71288299560547,1,0.8000006675720215,,0.8000006675720215,0.8000006675720215,1,0.0075111236800792,,0.0075111236800792,0.0075111236800792,1,77341.0,,77341,77341,1,0.2604074074074074,,0.2604074074074074,0.2604074074074074,1,77.341,,77.341,77.341,1,200.0,,200,200,1,37389.0,,37389,37389,1,0.1258888888888888,,0.1258888888888888,0.1258888888888888,1,6527.0,,6527,6527,1,3.8929063888463302,,3.8929063888463302,3.8929063888463302,1,0.048903010162793,,0.048903010162793,0.048903010162793,1,0.0388157464852476,,0.0388157464852476,0.0388157464852476,1,0.0075111235491931,,0.0075111235491931,0.0075111235491931,1,0.3630376358826955,,0.3630376358826955,0.3630376358826955,1,0.7175819945321339,,0.7175819945321339,0.7175819945321339,1,0.3127051448164271,,0.3127051448164271,0.3127051448164271,1
