mode,metric,mean_v11,n_groups_v11,mean_frac025,n_groups_frac025,delta,pct_delta,drop_from_a_to_b,pct_drop_from_a_to_b
binary+shuffle,GR,,,0.43224783671858824,345,,,,
cel+randN,GR,0.7776095550236505,500.0,0.7499892219019239,345,-0.027620333121726626,-3.551953926400322,0.027620333121726626,3.551953926400322
celW+connShuf,GR,0.5630934727663652,500.0,0.5437629080558057,345,-0.019330564710559495,-3.432922888555662,0.019330564710559495,3.432922888555662
cel_sample,GR,0.5552152849755018,500.0,0.5380169304805694,345,-0.017198354494932344,-3.097601049598482,0.017198354494932344,3.097601049598482
conn_shuf_only,GR,0.565192902014396,500.0,0.5483122882086573,345,-0.016880613805738687,-2.9866995402056062,0.016880613805738687,2.9866995402056062
er+randN,GR,0.7949294707125538,500.0,0.7739011485036607,345,-0.02102832220889317,-2.6453066572112283,0.02102832220889317,2.6453066572112283
global_sign_pres,GR,0.4470506803007075,500.0,0.43461663335969536,345,-0.012434046941012133,-2.7813506362742597,0.012434046941012133,2.7813506362742597
local_sign,GR,0.4967535493266173,500.0,0.48126931849290583,345,-0.015484230833711476,-3.117085092738922,0.015484230833711476,3.117085092738922
local_sign+binary,GR,0.43796957383279234,500.0,0.42530307819994184,345,-0.012666495632850494,-2.8920948827569237,0.012666495632850494,2.8920948827569237
local_sign+flat,GR,0.4722696015604552,500.0,0.458710277058378,345,-0.013559324502077197,-2.871098300054671,0.013559324502077197,2.871098300054671
local_sign+sample,GR,0.5430274049615588,500.0,0.5272751138402494,345,-0.01575229112130938,-2.9008280203509242,0.01575229112130938,2.9008280203509242
real,GR,0.44120438853343,500.0,0.43286632028455374,345,-0.008338068248876285,-1.8898425458985455,0.008338068248876285,1.8898425458985455
shuffle,GR,0.5553555692353556,500.0,0.5383252871796205,345,-0.01703028205573509,-3.06655465419809,0.01703028205573509,3.06655465419809
ws_p0.1+randN,GR,0.7955865424358153,500.0,0.7740261894911079,345,-0.021560352944707373,-2.709994676216733,0.021560352944707373,2.709994676216733
binary+shuffle,IPC,,,0.29719850611691007,345,,,,
cel+randN,IPC,0.5112478533932907,500.0,0.44390705618533177,345,-0.06734079720795894,-13.171849380100042,0.06734079720795894,13.171849380100042
celW+connShuf,IPC,0.37102252225368043,500.0,0.3274813359437274,345,-0.04354118630995302,-11.735456393717916,0.04354118630995302,11.735456393717916
cel_sample,IPC,0.37453671515178266,500.0,0.32128043209690027,345,-0.05325628305488239,-14.219242306672136,0.05325628305488239,14.219242306672136
conn_shuf_only,IPC,0.3861401978097853,500.0,0.3231224905034263,345,-0.06301770730635903,-16.319903409124446,0.06301770730635903,16.319903409124446
er+randN,IPC,0.49603627383161064,500.0,0.5639753155440469,345,0.06793904171243625,13.696385788007815,-0.06793904171243625,-13.696385788007815
global_sign_pres,IPC,0.3154571106131003,500.0,0.2996836679507519,345,-0.01577344266234837,-5.00018612092535,0.01577344266234837,5.00018612092535
local_sign,IPC,0.34046192033014505,500.0,0.313324961000181,345,-0.027136959329964072,-7.970629814826114,0.027136959329964072,7.970629814826114
local_sign+binary,IPC,0.3122265519944162,500.0,0.2948816756163662,345,-0.01734487637804999,-5.555221446496383,0.01734487637804999,5.555221446496383
local_sign+flat,IPC,0.32982854106366866,500.0,0.3075934042443519,345,-0.02223513681931677,-6.74142290646236,0.02223513681931677,6.74142290646236
local_sign+sample,IPC,0.36910054866161346,500.0,0.3191275236347709,345,-0.04997302502684253,-13.53913593681952,0.04997302502684253,13.53913593681952
real,IPC,0.32724645869695085,500.0,0.2749194746134219,345,-0.05232698408352893,-15.990084137774197,0.05232698408352893,15.990084137774197
shuffle,IPC,0.3755015366171186,500.0,0.3205646864756758,345,-0.05493685014144278,-14.630259741775523,0.05493685014144278,14.630259741775523
ws_p0.1+randN,IPC,0.49819739773967936,500.0,0.5781688194625432,345,0.07997142172286381,16.05215564868343,-0.07997142172286381,-16.05215564868343
binary+shuffle,KR,,,0.26001964314195564,345,,,,
