mode,mean_v11,mean_frac025,drop_from_a_to_b,pct_drop_from_a_to_b
cel_sample,0.5645815497040748,0.5631227520108223,0.0014587976932525,0.2583856475680353
conn_shuf_only,0.0305440657325088,0.029943714821711,0.0006003509107977,1.965523896050113
cel+randN,-0.0009433169633557,-0.0013446876517991,0.0004013706884434,42.54886788164874
local_sign,0.7001677178144455,0.700063341408968,0.0001043764054775,0.0149073433153081
celW+connShuf,0.030147510698065,0.030073516438715,7.399425935000412e-05,0.2454406935653005
global_sign_pres,0.8777351497113705,0.8777351479232312,1.7881393032936899e-09,2.0372196600326326e-07
local_sign+binary,0.8777352720499039,0.8777352720499039,0.0,0.0
real,0.5628096461296082,0.5628096461296082,0.0,0.0
shuffle,0.562809636771679,0.5628096374869347,-7.152557435219363e-10,-1.2708661984267017e-07
ws_p0.1+randN,-0.0002313439823046,-0.0002006772116874,-3.066677061724549e-05,-13.255918875321226
er+randN,8.041325440717347e-05,0.0002055338470017,-0.0001251205925946,-155.59697653954652
local_sign+flat,0.7600686056315898,0.7602096612751484,-0.0001410556435585,-0.0185582778335363
local_sign+sample,0.5638730151951313,0.5646731573343277,-0.0008001421391963,-0.1419011227056913
