config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.22263246774673462,0.22263246774673462,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.22194194793701172,0.22263246774673462,-0.0006905198097229004,91,91,100.0,0,0,0,0
t_train_x0.25,0.24295319318771363,0.22263246774673462,0.020320725440979015,91,91,100.0,0,0,0,0
t_test_x0.25,0.22014031410217286,0.22263246774673462,-0.002492153644561762,91,91,100.0,0,0,0,0
washout_x0.75,0.21594312191009524,0.22263246774673462,-0.006689345836639382,91,91,100.0,0,0,0,0
t_train_x0.75,0.22795658111572267,0.22263246774673462,0.005324113368988054,91,91,100.0,0,0,0,0
t_test_x0.75,0.2303909420967102,0.22263246774673462,0.0077584743499755915,91,91,100.0,0,0,0,0
washout_x1.25,0.21344074010849,0.22263246774673462,-0.009191727638244607,91,91,100.0,0,0,0,0
t_train_x1.25,0.22438008785247804,0.22263246774673462,0.0017476201057434193,91,91,100.0,0,0,0,0
t_test_x1.25,0.22211893796920779,0.22263246774673462,-0.0005135297775268333,91,91,100.0,0,0,0,0
