config,model_a,model_b,tost_bound,tost_pval,tost_significant,n_model_a,n_model_b
baseline,real,shuffle_weights,0.22263246774673462,0.3850223464042981,0.0,8,8
baseline,real,cel_randN,0.22263246774673462,0.9635516675325352,0.0,8,8
baseline,real,er_randN,0.22263246774673462,0.999994888228047,0.0,8,8
baseline,real,ws_p01_randN,0.22263246774673462,0.9999958390044513,0.0,8,8
baseline,real,conn_shuf,0.22263246774673462,0.6468445427594652,0.0,8,8
baseline,real,local_sign,0.22263246774673462,0.6529641239560953,0.0,8,8
baseline,real,conn_shuf_only,0.22263246774673462,0.42333869338152086,0.0,8,8
baseline,real,cel_sample,0.22263246774673462,0.4961704246026275,0.0,8,8
baseline,real,local_sign+flat,0.22263246774673462,0.6516625544679868,0.0,8,8
baseline,real,local_sign+sample,0.22263246774673462,0.5022643651692887,0.0,8,8
baseline,real,local_sign+binary,0.22263246774673462,0.8610021772009544,0.0,8,8
baseline,real,global_sign_pres,0.22263246774673462,0.5205227455583488,0.0,8,8
baseline,real,binary+shuffle,0.22263246774673462,0.9385687836688206,0.0,8,8
baseline,shuffle_weights,cel_randN,0.22263246774673462,0.9536278524071408,0.0,8,8
baseline,shuffle_weights,er_randN,0.22263246774673462,0.9999869203882326,0.0,8,8
baseline,shuffle_weights,ws_p01_randN,0.22263246774673462,0.9999880803248824,0.0,8,8
baseline,shuffle_weights,conn_shuf,0.22263246774673462,0.6233625257173361,0.0,8,8
baseline,shuffle_weights,local_sign,0.22263246774673462,0.5893453609496193,0.0,8,8
baseline,shuffle_weights,conn_shuf_only,0.22263246774673462,0.45851894504253415,0.0,8,8
baseline,shuffle_weights,cel_sample,0.22263246774673462,0.5130163569199078,0.0,8,8
baseline,shuffle_weights,local_sign+flat,0.22263246774673462,0.5922195902605432,0.0,8,8
baseline,shuffle_weights,local_sign+sample,0.22263246774673462,0.4828929297938043,0.0,8,8
baseline,shuffle_weights,local_sign+binary,0.22263246774673462,0.7626232682160765,0.0,8,8
baseline,shuffle_weights,global_sign_pres,0.22263246774673462,0.49649981368296153,0.0,8,8
baseline,shuffle_weights,binary+shuffle,0.22263246774673462,0.8292216783040708,0.0,8,8
baseline,cel_randN,er_randN,0.22263246774673462,0.997175275346511,0.0,8,8
baseline,cel_randN,ws_p01_randN,0.22263246774673462,0.9966151223293972,0.0,8,8
baseline,cel_randN,conn_shuf,0.22263246774673462,0.9283391056821225,0.0,8,8
baseline,cel_randN,local_sign,0.22263246774673462,0.9824819725602042,0.0,8,8
baseline,cel_randN,conn_shuf_only,0.22263246774673462,0.9504746183641207,0.0,8,8
baseline,cel_randN,cel_sample,0.22263246774673462,0.93789654770952,0.0,8,8
baseline,cel_randN,local_sign+flat,0.22263246774673462,0.9818907843432271,0.0,8,8
baseline,cel_randN,local_sign+sample,0.22263246774673462,0.9758768150059007,0.0,8,8
baseline,cel_randN,local_sign+binary,0.22263246774673462,0.9902916870794566,0.0,8,8
baseline,cel_randN,global_sign_pres,0.22263246774673462,0.9758055832609116,0.0,8,8
baseline,cel_randN,binary+shuffle,0.22263246774673462,0.9932048688287627,0.0,8,8
baseline,er_randN,ws_p01_randN,0.22263246774673462,0.5096829585463424,0.0,8,8
baseline,er_randN,conn_shuf,0.22263246774673462,0.999989695728353,0.0,8,8
baseline,er_randN,local_sign,0.22263246774673462,0.9999974693160405,0.0,8,8
baseline,er_randN,conn_shuf_only,0.22263246774673462,0.9999909303479714,0.0,8,8
baseline,er_randN,cel_sample,0.22263246774673462,0.9999860962372935,0.0,8,8
baseline,er_randN,local_sign+flat,0.22263246774673462,0.9999971433299037,0.0,8,8
baseline,er_randN,local_sign+sample,0.22263246774673462,0.99999661981084,0.0,8,8
baseline,er_randN,local_sign+binary,0.22263246774673462,0.9999984439477915,0.0,8,8
baseline,er_randN,global_sign_pres,0.22263246774673462,0.9999963074104768,0.0,8,8
baseline,er_randN,binary+shuffle,0.22263246774673462,0.9999990489791523,0.0,8,8
baseline,ws_p01_randN,conn_shuf,0.22263246774673462,0.9999912876111707,0.0,8,8
baseline,ws_p01_randN,local_sign,0.22263246774673462,0.9999980189769743,0.0,8,8
baseline,ws_p01_randN,conn_shuf_only,0.22263246774673462,0.9999921847301039,0.0,8,8
baseline,ws_p01_randN,cel_sample,0.22263246774673462,0.9999875498954484,0.0,8,8
baseline,ws_p01_randN,local_sign+flat,0.22263246774673462,0.9999977252613568,0.0,8,8
baseline,ws_p01_randN,local_sign+sample,0.22263246774673462,0.9999973143023917,0.0,8,8
baseline,ws_p01_randN,local_sign+binary,0.22263246774673462,0.9999988077489463,0.0,8,8
baseline,ws_p01_randN,global_sign_pres,0.22263246774673462,0.9999970234739333,0.0,8,8
baseline,ws_p01_randN,binary+shuffle,0.22263246774673462,0.9999993078284776,0.0,8,8
baseline,conn_shuf,local_sign,0.22263246774673462,0.8901126429121945,0.0,8,8
baseline,conn_shuf,conn_shuf_only,0.22263246774673462,0.5440356648195009,0.0,8,8
baseline,conn_shuf,cel_sample,0.22263246774673462,0.47474909114049557,0.0,8,8
baseline,conn_shuf,local_sign+flat,0.22263246774673462,0.8807921955145261,0.0,8,8
baseline,conn_shuf,local_sign+sample,0.22263246774673462,0.8060237997456949,0.0,8,8
baseline,conn_shuf,local_sign+binary,0.22263246774673462,0.9669364925821039,0.0,8,8
baseline,conn_shuf,global_sign_pres,0.22263246774673462,0.8060257506642964,0.0,8,8
baseline,conn_shuf,binary+shuffle,0.22263246774673462,0.9901587174621471,0.0,8,8
baseline,local_sign,conn_shuf_only,0.22263246774673462,0.7100576056292007,0.0,8,8
baseline,local_sign,cel_sample,0.22263246774673462,0.7483207992315479,0.0,8,8
baseline,local_sign,local_sign+flat,0.22263246774673462,0.32217230217293574,0.0,8,8
baseline,local_sign,local_sign+sample,0.22263246774673462,0.4553055898168564,0.0,8,8
baseline,local_sign,local_sign+binary,0.22263246774673462,0.5894934032273894,0.0,8,8
baseline,local_sign,global_sign_pres,0.22263246774673462,0.4390504005500152,0.0,8,8
baseline,local_sign,binary+shuffle,0.22263246774673462,0.7211576971148617,0.0,8,8
baseline,conn_shuf_only,cel_sample,0.22263246774673462,0.42561753558965043,0.0,8,8
baseline,conn_shuf_only,local_sign+flat,0.22263246774673462,0.7076426843995751,0.0,8,8
baseline,conn_shuf_only,local_sign+sample,0.22263246774673462,0.5894856155332118,0.0,8,8
baseline,conn_shuf_only,local_sign+binary,0.22263246774673462,0.8715850128912286,0.0,8,8
baseline,conn_shuf_only,global_sign_pres,0.22263246774673462,0.6013481782039003,0.0,8,8
baseline,conn_shuf_only,binary+shuffle,0.22263246774673462,0.9308395856106886,0.0,8,8
baseline,cel_sample,local_sign+flat,0.22263246774673462,0.7455665337695807,0.0,8,8
baseline,cel_sample,local_sign+sample,0.22263246774673462,0.6457090141538406,0.0,8,8
